Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Пробег;Руль;Поколение;Цвет;Тип кузова;Комплектация;Особые отметки;
BMW;7-Series;2021;8900000;https://auto.drom.ru/himki/bmw/7-series/933223766.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;дизель, 3.0 л;320 л.с., налог;АКПП;4WD;37 854 км;левый;6 поколение, рестайлинг;серый;;;;
BMW;7-Series;2021;8290000;https://auto.drom.ru/moscow/bmw/7-series/53747629.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;286 л.с., налог;автомат;задний;10 545 км;левый;;белый;;;;
BMW;X4;2021;7450000;https://auto.drom.ru/moscow/bmw/x4/54036181.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;22 067 км;левый;2 поколение, рестайлинг;черный;;xDrive 30d AT Base;;
BMW;5-Series;2021;7995000;https://auto.drom.ru/moscow/bmw/5-series/54034315.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;28 945 км;левый;7 поколение, рестайлинг;черный;седан;;;
BMW;5-Series;2021;5990000;https://auto.drom.ru/tver/bmw/5-series/54034299.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Твери;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;62 417 км;левый;7 поколение, рестайлинг;серый;седан;520d AT xDrive;;
BMW;X4;2021;6650000;https://auto.drom.ru/moscow/bmw/x4/54034304.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;21 890 км;левый;2 поколение;серый;;;;
BMW;2-Series;2021;3279700;https://auto.drom.ru/moscow/bmw/2-series/53754228.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.5 л;140 л.с., налог;робот;передний;36 568 км;левый;1 поколение, рестайлинг;синий;седан;218i DCT M Sport Pro;;
BMW;X4;2021;6050000;https://auto.drom.ru/moscow/bmw/x4/53753396.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;55 921 км;левый;2 поколение;черный;;xDrive 20d AT M Sport;;
BMW;X5;2021;9490000;https://auto.drom.ru/moscow/bmw/x5/53753368.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;24 816 км;левый;4 поколение;зеленый;;;;
BMW;5-Series;2021;5100000;https://auto.drom.ru/moscow/bmw/5-series/53751513.html;;;;;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;52 000 км;левый;7 поколение, рестайлинг;синий;седан;520i AT Business;;
BMW;X3;2021;5250000;https://auto.drom.ru/moscow/bmw/x3/52928698.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;36 850 км;левый;3 поколение;серый;;;;
BMW;X7;2021;9050000;https://auto.drom.ru/moscow/bmw/x7/52920558.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;82 534 км;левый;1 поколение;белый;;xDrive40i AT M Sport Edition 21;;
BMW;3-Series;2021;4350000;https://auto.drom.ru/moscow/bmw/3-series/52042656.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;44 600 км;левый;7 поколение;синий;седан;;;
