Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Пробег;Руль;Поколение;Цвет;Тип кузова;Комплектация;Особые отметки;
BMW;X5;2020;8570000;https://auto.drom.ru/dmitrov/bmw/x5/53519136.html;;;;;Дмитрове;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;66 140 км;левый;4 поколение;синий;;;;
BMW;X5;2020;6429000;https://auto.drom.ru/spb/bmw/x5/53513398.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;110 203 км;левый;4 поколение;белый;;;;
BMW;X3;2020;4100000;https://auto.drom.ru/spb/bmw/x3/53513126.html;;;;;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;95 000 км;левый;3 поколение;серый;;;;
BMW;5-Series;2020;7100000;https://auto.drom.ru/moscow/bmw/5-series/53107067.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;22 000 км;левый;7 поколение, рестайлинг;черный;седан;530d AT xDrive M Sport Plus;;
BMW;X3;2020;4385000;https://auto.drom.ru/moscow/bmw/x3/53097987.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;89 362 км;левый;3 поколение;белый;;;;
BMW;X3;2020;4675000;https://auto.drom.ru/moscow/bmw/x3/52651233.html;;;;;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;41 000 км;левый;3 поколение;белый;;;;
BMW;3-Series;2020;2900000;https://auto.drom.ru/moscow/bmw/3-series/53823217.html;;;;;Москве;дизель, 2.0 л;150 л.с., налог;АКПП;задний;63 000 км, без пробега по РФ;левый;7 поколение;серый;универсал;318d AT M Sport;;
BMW;X4;2020;5389350;https://auto.drom.ru/moscow/bmw/x4/466609311.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Есть ограничения;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;39 300 км;левый;2 поколение;красный;;;;
BMW;3-Series;2020;3650000;https://auto.drom.ru/moscow/bmw/3-series/53785036.html;;;;;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;79 000 км, без пробега по РФ;левый;7 поколение;белый;седан;320i AT xDrive M Sport;;
BMW;X3;2020;4479000;https://auto.drom.ru/moscow/bmw/x3/839852570.html;;;;;Москве;2.0 л;;автомат;;74 749 км;левый;3 поколение;серый;;;;
