Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;
BMW;1-Series;2007;777000;https://auto.drom.ru/spb/bmw/1-series/52815496.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;136 л.с., налог;АКПП;задний;хэтчбек 3 дв.;черный;156 984 км;левый;1 поколение, рестайлинг;118i AT Базовая;;
BMW;1-Series;2007;1200000;https://auto.drom.ru/moscow/bmw/1-series/52347749.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;136 л.с., налог;АКПП;задний;хэтчбек 5 дв.;серый;167 636 км;левый;1 поколение, рестайлинг;118i AT Base;;
BMW;5-Series;2007;1100000;https://auto.drom.ru/spb/bmw/5-series/133830321.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;177 л.с., налог;АКПП;задний;седан;черный;367 682 км;левый;5 поколение, рестайлинг;520d AT;;
BMW;5-Series;2007;1370000;https://auto.drom.ru/belgorod/bmw/5-series/53647325.html;Объем двигателя не совпадает с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Белгороде;дизель, 3.0 л;235 л.с., налог;АКПП;задний;седан;черный;450 000 км;левый;5 поколение, рестайлинг;530d AT;;
BMW;3-Series;2007;1155000;https://auto.drom.ru/stariy-oskol/bmw/3-series/53236501.html;Характеристики совпадают с ПТС;9 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Старом Осколе;бензин, 2.5 л;218 л.с., налог;АКПП;задний;седан;черный;310 000 км;левый;5 поколение;325i AT;;
BMW;X5;2007;1500000;https://auto.drom.ru/donetsk/bmw/x5/333455954.html;Характеристики совпадают с ПТС;12 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Донецке;бензин, 4.8 л;355 л.с., налог;АКПП;4WD;;синий;156 000 км;левый;2 поколение;;;
BMW;X5;2007;1990000;https://auto.drom.ru/yaroslavl/bmw/x5/52128797.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Ярославле;бензин, 4.8 л;355 л.с., налог;АКПП;4WD;;серый;129 829 км;левый;2 поколение;;;
BMW;6-Series;2007;1500000;https://auto.drom.ru/ivanteevka/bmw/6-series/53210023.html;Характеристики совпадают с ПТС;8 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Ивантеевке;бензин, 3.0 л;272 л.с., налог;АКПП;задний;купе;черный;240 000 км;левый;2 поколение, рестайлинг;630Ci AT;;
BMW;X5;2007;1590000;https://auto.drom.ru/moscow/bmw/x5/53543399.html;Характеристики совпадают с ПТС;10 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;272 л.с., налог;АКПП;4WD;;серый;171 000 км;левый;2 поколение;;;
BMW;1-Series;2007;695000;https://auto.drom.ru/belgorod/bmw/1-series/778508597.html;Год не совпадает с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Белгороде;бензин, 2.0 л;156 л.с., налог;АКПП;задний;хэтчбек 5 дв.;черный;180 000 км;левый;1 поколение, рестайлинг;120i AT Base;;
BMW;5-Series;2007;1700000;https://auto.drom.ru/togliatti/bmw/5-series/53948761.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Тольятти;бензин, 3.0 л;272 л.с., налог;АКПП;задний;седан;черный;75 000 км;левый;5 поколение, рестайлинг;530i AT;;
BMW;3-Series;2007;920000;https://auto.drom.ru/moscow/bmw/3-series/52723996.html;Характеристики совпадают с ПТС;11 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;150 л.с., налог;АКПП;задний;седан;серый;216 000 км;левый;5 поколение;320i AT;;
