Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Пробег;Руль;Поколение;;;;;
BMW;5-Series;2017;2649000;https://auto.drom.ru/kazan/bmw/5-series/53557584.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;дизель, 2.0 л;190 л.с., налог;АКПП;задний;223 000 км;левый;7 поколение;черный;седан;520d AT Efficient Dynamic Edition;;
BMW;1-Series;2017;1616500;https://auto.drom.ru/himki/bmw/1-series/53919324.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;бензин, 1.5 л;136 л.с., налог;АКПП;задний;124 827 км;левый;2 поколение;синий;хэтчбек 5 дв.;;;
BMW;X1;2017;2549000;https://auto.drom.ru/moscow/bmw/x1/788339838.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;150 л.с., налог;АКПП;4WD;75 452 км;левый;2 поколение;коричневый;;;;
BMW;5-Series;2017;3410000;https://auto.drom.ru/moscow/bmw/5-series/319052892.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;114 874 км;левый;;серый;седан;;;
BMW;5-Series;2017;3970000;https://auto.drom.ru/moscow/bmw/5-series/454559601.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;110 000 км;левый;7 поколение;черный;седан;;;
BMW;4-Series;2017;2519000;https://auto.drom.ru/spb/bmw/4-series/52694999.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;150 л.с., налог;автомат;задний;116 765 км;левый;;серый;купе;;;
BMW;X1;2017;2150000;https://auto.drom.ru/moscow/bmw/x1/103360279.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.5 л;136 л.с., налог;АКПП;передний;99 621 км;левый;2 поколение;коричневый;;;;
BMW;5-Series;2017;3334688;https://auto.drom.ru/spb/bmw/5-series/910425169.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;76 054 км;левый;;белый;седан;;;
BMW;1-Series;2017;1790000;https://auto.drom.ru/moscow/bmw/1-series/834867560.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.5 л;136 л.с., налог;АКПП;задний;72 000 км;левый;2 поколение, 2 рестайлинг;красный;хэтчбек 5 дв.;118i AT Model Sport Line;;
BMW;X1;2017;2545000;https://auto.drom.ru/yaroslavl/bmw/x1/53914000.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Ярославле;дизель, 2.0 л;150 л.с., налог;АКПП;4WD;100 602 км;левый;2 поколение;черный;;;;
