Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Пробег;Руль;Поколение;Цвет;Тип кузова;Комплектация;Особые отметки;VIN;
Mercedes-Benz;C-Class;1997;400000;https://auto.drom.ru/shatki/mercedes-benz/c-class/53244934.html;;;;;Шатках;бензин, 1.8 л;122 л.с., налог;механика;задний;640 000 км;левый;1 поколение;зеленый;седан;C180 MT Classic;;;
Mercedes-Benz;E-Class;1997;300000;https://auto.drom.ru/konakovo/mercedes-benz/e-class/903975645.html;Характеристики совпадают с ПТС;12 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Конакове;бензин, 2.3 л;150 л.с., налог;АКПП;задний;425 000 км;левый;2 поколение;синий;седан;E 230 АТ Avantgarde;;;
Mercedes-Benz;Vito;1997;390000;https://auto.drom.ru/podolsk/mercedes-benz/vito/488175536.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Подольске;дизель, 2.3 л;79 л.с., налог;механика;передний;480 000 км;левый;1 поколение;синий;;108 D MT;;;
Mercedes-Benz;S-Class;1997;1250000;https://auto.drom.ru/moscow/mercedes-benz/s-class/51108783.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 5.0 л;320 л.с., налог;АКПП;задний;410 000 км;левый;3 поколение;черный;седан;S 500 AT;;;
Mercedes-Benz;E-Class;1997;230000;https://auto.drom.ru/lukoyanov/mercedes-benz/e-class/622439394.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Лукоянове;бензин, 2.4 л;170 л.с., налог;АКПП;задний;220 000 км;левый;2 поколение;красный;седан;E 240 АТ Classic;;;
Mercedes-Benz;S-Class;1997;510000;https://auto.drom.ru/spb/mercedes-benz/s-class/323235615.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;177 л.с., налог;АКПП;задний;455 000 км;левый;3 поколение, рестайлинг;черный;седан;S 300 Turbodiesel AT;;;
Mercedes-Benz;E-Class;1997;290000;https://auto.drom.ru/klintsy/mercedes-benz/e-class/53559865.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Клинцах;бензин, 2.0 л;136 л.с., налог;механика;задний;530 000 км;левый;2 поколение;черный;седан;E 200 MT;;;
Mercedes-Benz;E-Class;1997;350000;https://auto.drom.ru/volgograd/mercedes-benz/e-class/839588606.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Волгограде;бензин, 2.0 л;136 л.с., налог;АКПП;задний;350 000 км;левый;2 поколение;белый;седан;E 200 АТ Classic;;;
Mercedes-Benz;Vito;1997;500000;https://auto.drom.ru/bryansk/mercedes-benz/vito/364029008.html;Характеристики совпадают с ПТС;9 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Брянске;дизель, 2.3 л;79 л.с., налог;механика;передний;267 000 км;левый;1 поколение;красный;;108 D MT;;;
Mercedes-Benz;C-Class;1997;500000;https://auto.drom.ru/kazan/mercedes-benz/c-class/305406415.html;;;;;Казани;бензин, 2.8 л;193 л.с., налог;механика;задний;210 000 км;левый;1 поколение;;седан;;;;
Mercedes-Benz;S-Class;1997;750000;https://auto.drom.ru/bologoe/mercedes-benz/s-class/51804791.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Бологое;дизель, 3.0 л;176 л.с., налог;автомат;задний;300 000 км;левый;3 поколение;синий;седан;;требуется ремонт или не на ходу;;
Mercedes-Benz;E-Class;1997;2300000;https://auto.drom.ru/moscow/mercedes-benz/e-class/52635900.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.2 л;224 л.с., налог;АКПП;4WD;261 000 км;левый;2 поколение;белый;универсал;E 320 4MATIC АТ Avantgarde;;;
Mercedes-Benz;E-Class;1997;500000;https://auto.drom.ru/sergiev-posad/mercedes-benz/e-class/54153932.html;Характеристики совпадают с ПТС;;Не числится в розыске;Ограничений не обнаружено;Сергиевом Посаде;бензин, 4.2 л;279 л.с., налог;АКПП;задний;213 000 км;левый;2 поколение;серебристый;седан;;;;
Mercedes-Benz;E-Class;1997;350000;https://auto.drom.ru/kostroma/mercedes-benz/e-class/54153441.html;Характеристики совпадают с ПТС;15 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Костроме;бензин, 2.3 л;150 л.с., налог;АКПП;задний;348 000 км;левый;2 поколение;зеленый;седан;E 230 АТ Classic;;;
Mercedes-Benz;S-Class;1998;4800000;https://auto.drom.ru/moscow/mercedes-benz/s-class/493223539.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.2 л;231 л.с., налог;автомат;задний;85 026 км;левый;3 поколение;синий;седан;;;;
Mercedes-Benz;G-Class;1998;1750000;https://auto.drom.ru/moscow/mercedes-benz/g-class/790757059.html;Характеристики совпадают с ПТС;9 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 5.0 л;296 л.с., налог;АКПП;4WD;245 000 км;левый;2 поколение, 2 рестайлинг;черный;джип/suv 5 дв.;G 500;;;
Mercedes-Benz;E-Class;1998;370000;https://auto.drom.ru/spb/mercedes-benz/e-class/576201523.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.4 л;170 л.с., налог;АКПП;задний;377 000 км;левый;2 поколение;зеленый;седан;;;;
Mercedes-Benz;G-Class;1998;1800000;https://auto.drom.ru/pavlovskaya-sloboda/mercedes-benz/g-class/277116490.html;Характеристики совпадают с ПТС;10 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Павловской Слободе;бензин, 5.0 л;296 л.с., налог;АКПП;4WD;191 000 км;левый;2 поколение, 2 рестайлинг;синий;джип/suv 5 дв.;G 500;;;
Mercedes-Benz;A-Class;1998;265000;https://auto.drom.ru/pskov/mercedes-benz/a-class/53827820.html;Характеристики совпадают с ПТС;11 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Пскове;бензин, 1.4 л;82 л.с., налог;механика;передний;180 000 км;левый;1 поколение;зеленый;хэтчбек 5 дв.;A 140 MT Avantgarde;;;
Mercedes-Benz;M-Class;1998;535000;https://auto.drom.ru/moscow/mercedes-benz/m-class/53826786.html;Год не совпадает с ПТС;8 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.2 л, ГБО;218 л.с., налог;АКПП;4WD;260 000 км;левый;1 поколение;серебристый;;ML 320 AT 4MATIC;;;
Mercedes-Benz;M-Class;1998;410000;https://auto.drom.ru/nizhniy-novgorod/mercedes-benz/m-class/49210186.html;Мощность двигателя не совпадает с ПТС;;Не числится в розыске;Ограничений не обнаружено;Нижнем Новгороде;бензин, 3.2 л, ГБО;218 л.с., налог;АКПП;4WD;240 000 км;левый;1 поколение;черный;;;документы с проблемами или отсутствуют;;
Mercedes-Benz;E-Class;1998;450000;https://auto.drom.ru/krasnogorsk/mercedes-benz/e-class/54080833.html;Характеристики совпадают с ПТС;12 записей о регистрации;Не числится в розыске;Есть ограничения;Красногорске;бензин, 2.4 л;170 л.с., налог;АКПП;задний;370 000 км;левый;2 поколение;черный;седан;E 240 АТ Avantgarde;;;
