Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;VIN;
Mercedes-Benz;S-Class;2018;5998000;https://auto.drom.ru/moscow/mercedes-benz/s-class/221801633.html;Цвет не совпадает с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.9 л;249 л.с., налог;АКПП;4WD;седан;серый;91 618 км;левый;6 поколение, рестайлинг;S 350 d 4MATIC L;;;
Mercedes-Benz;CLA-Class;2018;2400000;https://auto.drom.ru/spb/mercedes-benz/cla-class/564476762.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;211 л.с., налог;робот;4WD;седан;черный;79 300 км;левый;1 поколение, рестайлинг;;;;
Mercedes-Benz;E-Class;2018;3320000;https://auto.drom.ru/moscow/mercedes-benz/e-class/822215696.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;седан;черный;142 358 км;левый;5 поколение;;;;
Mercedes-Benz;GLE Coupe;2018;5197000;https://auto.drom.ru/moscow/mercedes-benz/gle_coupe/308513899.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;161 000 км;левый;1 поколение;;;;
Mercedes-Benz;GLE;2018;5500000;https://auto.drom.ru/moscow/mercedes-benz/gle-class/54118560.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;333 л.с., налог;АКПП;4WD;;черный;56 000 км;левый;1 поколение;;;;
Mercedes-Benz;X-Class;2018;4390000;https://auto.drom.ru/spb/mercedes-benz/x-class/54117289.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.3 л;190 л.с., налог;АКПП;4WD;;синий;87 000 км;левый;1 поколение;X 250d AT 4MATIC Power;;;
Mercedes-Benz;S-Class;2018;16700000;https://auto.drom.ru/moscow/mercedes-benz/s-class/54116396.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 4.0 л;612 л.с., налог;АКПП;4WD;купе;черный;29 000 км;левый;6 поколение, рестайлинг;AMG S 63 4MATIC+;;;
Mercedes-Benz;E-Class;2018;3032000;https://auto.drom.ru/kazan/mercedes-benz/e-class/53826447.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;бензин, 2.0 л;184 л.с., налог;АКПП;задний;седан;черный;137 621 км;левый;5 поколение;E 200 Sport Plus;;;
Mercedes-Benz;E-Class;2018;4225000;https://auto.drom.ru/spb/mercedes-benz/e-class/53820962.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;184 л.с., налог;АКПП;задний;купе;белый;63 204 км;левый;5 поколение;;;;
Mercedes-Benz;V-Class;2018;5390000;https://auto.drom.ru/moscow/mercedes-benz/v-class/53463253.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.1 л;190 л.с., налог;АКПП;4WD;;коричневый;100 457 км;левый;3 поколение;;;;
