Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;
BMW;X6;2010;3050000;https://auto.drom.ru/moscow/bmw/x6/28177221.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 4.4 л;555 л.с., налог;АКПП;4WD;;черный;128 000 км;левый;1 поколение;M;;
BMW;X1;2010;1420000;https://auto.drom.ru/moscow/bmw/x1/837538960.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;177 л.с., налог;АКПП;4WD;;белый;214 182 км;левый;1 поколение;;;
BMW;X5;2010;1968000;https://auto.drom.ru/moscow/bmw/x5/53695962.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;286 л.с., налог;АКПП;4WD;;коричневый;197 512 км;левый;2 поколение;;;
BMW;X5;2010;2170000;https://auto.drom.ru/kursk/bmw/x5/826526076.html;Объем двигателя не совпадает с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Курске;дизель, 3.5 л;269 л.с., налог;автомат;4WD;;серебристый;257 000 км;левый;2 поколение, рестайлинг;;;
BMW;X5;2010;2999999;https://auto.drom.ru/spb/bmw/x5/54107362.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;245 л.с., налог;АКПП;4WD;;коричневый;112 221 км;левый;2 поколение, рестайлинг;;;
BMW;3-Series;2010;1170000;https://auto.drom.ru/kaluga/bmw/3-series/54105706.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Калуге;бензин, 2.0 л;136 л.с., налог;АКПП;задний;седан;черный;138 500 км;левый;5 поколение, рестайлинг;318i AT Базовая;;
BMW;X6;2010;2079000;https://auto.drom.ru/spb/bmw/x6/54104134.html;Характеристики совпадают с ПТС;11 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;245 л.с., налог;АКПП;4WD;;черный;208 000 км;левый;1 поколение;;;
BMW;X3;2010;1410000;https://auto.drom.ru/moscow/bmw/x3/54099606.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;306 л.с., налог;АКПП;4WD;;коричневый;200 497 км;левый;2 поколение;;;
BMW;X5;2010;2720000;https://auto.drom.ru/spb/bmw/x5/147329362.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;245 л.с., налог;АКПП;4WD;;коричневый;244 000 км;левый;2 поколение, рестайлинг;xDrive 30d AT Специальная серия;;
BMW;1-Series;2010;850000;https://auto.drom.ru/cherepovets/bmw/1-series/50880089.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Есть ограничения;Череповце;бензин, 1.6 л;116 л.с., налог;АКПП;задний;хэтчбек 5 дв.;черный;210 000 км;левый;1 поколение, рестайлинг;116i AT Base;;
BMW;5-Series;2010;1399000;https://auto.drom.ru/moscow/bmw/5-series/54094756.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.5 л;204 л.с., налог;АКПП;задний;седан;черный;245 711 км;левый;6 поколение;523i АT Базовая;;
BMW;5-Series Gran Turismo;2010;1840000;https://auto.drom.ru/spb/bmw/5-series_gran_turismo/53802849.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;245 л.с., налог;АКПП;задний;;черный;258 000 км;левый;6 поколение;;;
BMW;5-Series;2010;1431000;https://auto.drom.ru/spb/bmw/5-series/53434740.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.5 л;204 л.с., налог;АКПП;задний;седан;синий;190 918 км;левый;6 поколение;523i АT Базовая;;
BMW;5-Series Gran Turismo;2010;2150000;https://auto.drom.ru/moscow/bmw/5-series_gran_turismo/53429527.html;Модель не совпадает с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;245 л.с., налог;АКПП;задний;;серый;242 000 км;левый;6 поколение;530d AT;;
BMW;1-Series;2010;800000;https://auto.drom.ru/tambov/bmw/1-series/358334169.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Тамбове;бензин, 1.6 л;115 л.с., налог;автомат;задний;хэтчбек 5 дв.;черный;181 000 км;левый;;;;
BMW;1-Series;2010;920000;https://auto.drom.ru/moscow/bmw/1-series/53408475.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;136 л.с., налог;АКПП;задний;хэтчбек 5 дв.;белый;130 220 км;левый;1 поколение, рестайлинг;118i AT Base;;
BMW;3-Series;2010;1150000;https://auto.drom.ru/ryazan/bmw/3-series/50862265.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Рязани;бензин, 2.0 л;136 л.с., налог;АКПП;задний;седан;белый;145 000 км;левый;5 поколение, рестайлинг;318i AT Базовая;;
BMW;X5;2010;2171640;https://auto.drom.ru/minsk/bmw/x5/54084536.html;;;;;Минске;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;;черный;287 000 км;левый;2 поколение, рестайлинг;xDrive 35d AT;;
BMW;5-Series;2010;2150000;https://auto.drom.ru/moscow/bmw/5-series/54078827.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;258 л.с., налог;АКПП;задний;седан;черный;205 000 км;левый;6 поколение;528i AT;;
BMW;1-Series;2010;930000;https://auto.drom.ru/tver/bmw/1-series/275572628.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Твери;бензин, 2.0 л;136 л.с., налог;АКПП;задний;хэтчбек 5 дв.;белый;148 000 км;левый;1 поколение, рестайлинг;118i AT Base;;
BMW;X5;2010;2400000;https://auto.drom.ru/moscow/bmw/x5/48825419.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Есть ограничения;Москве;бензин, 4.4 л;407 л.с., налог;АКПП;4WD;;черный;180 000 км;левый;2 поколение, рестайлинг;xDrive 50i AT;;
BMW;X6;2010;2000000;https://auto.drom.ru/mihnevo/bmw/x6/54070875.html;Мощность двигателя не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Михнево;бензин, 3.0 л;306 л.с., налог;АКПП;4WD;;черный;160 000 км;левый;1 поколение;;;
BMW;7-Series;2010;983130;https://auto.drom.ru/kazan/bmw/7-series/54069977.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;бензин, 4.4 л;407 л.с., налог;АКПП;4WD;;черный;214 839 км;левый;5 поколение;;;
BMW;X6;2010;1912000;https://auto.drom.ru/moscow/bmw/x6/53780377.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 4.4 л;555 л.с., налог;АКПП;4WD;;красный;141 227 км;левый;1 поколение;;;
BMW;X5;2010;2450000;https://auto.drom.ru/moscow/bmw/x5/52790101.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;245 л.с., налог;АКПП;4WD;;черный;315 000 км;левый;2 поколение, рестайлинг;xDrive 30d AT Luxury;;
BMW;5-Series;2010;1249000;https://auto.drom.ru/himki/bmw/5-series/419017820.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;бензин, 2.5 л;204 л.с., налог;АКПП;задний;седан;бежевый;216 000 км;левый;6 поколение;523i АT Базовая;;
BMW;X5;2010;1680000;https://auto.drom.ru/penza/bmw/x5/653287077.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Пензе;бензин, 3.0 л;306 л.с., налог;АКПП;4WD;;белый;190 000 км;левый;2 поколение, рестайлинг;xDrive 35i AT Luxury;;
BMW;5-Series;2010;1800000;https://auto.drom.ru/spb/bmw/5-series/53779184.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 3.0 л;306 л.с., налог;АКПП;задний;седан;черный;325 000 км;левый;6 поколение;535i AT;;
BMW;X5;2010;3200000;https://auto.drom.ru/moscow/bmw/x5/52502857.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 4.4 л;555 л.с., налог;АКПП;4WD;;синий;97 000 км;левый;2 поколение, рестайлинг;;;
BMW;X5;2010;2400000;https://auto.drom.ru/shebekino/bmw/x5/585168779.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Есть ограничения;Шебекино;бензин, 3.0 л;306 л.с., налог;АКПП;4WD;;черный;256 452 км;левый;2 поколение, рестайлинг;;;
BMW;X6;2010;2400000;https://auto.drom.ru/voronezh/bmw/x6/53315367.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Есть ограничения;Воронеже;дизель, 3.0 л;306 л.с., налог;АКПП;4WD;;черный;144 444 км;левый;1 поколение;xDrive 40d AT;;
BMW;X6;2010;1369789;https://auto.drom.ru/spb/bmw/x6/262373868.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 3.0 л;306 л.с., налог;АКПП;4WD;;синий;236 492 км;левый;1 поколение;;;
BMW;1-Series;2010;950000;https://auto.drom.ru/nizhniy-novgorod/bmw/1-series/54044665.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Нижнем Новгороде;бензин, 1.6 л;116 л.с., налог;АКПП;задний;хэтчбек 5 дв.;белый;251 912 км;левый;1 поколение, рестайлинг;116i AT Base;;
BMW;X5;2010;2090000;https://auto.drom.ru/moscow/bmw/x5/52480837.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 4.8 л;355 л.с., налог;автомат;4WD;;черный;178 000 км;левый;2 поколение, рестайлинг;;;
BMW;3-Series;2010;1100000;https://auto.drom.ru/moscow/bmw/3-series/54030594.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;156 л.с., налог;АКПП;задний;седан;черный;260 000 км;левый;5 поколение, рестайлинг;;;
BMW;3-Series;2010;1280000;https://auto.drom.ru/stupino/bmw/3-series/54026814.html;;;;;Ступино;бензин, 2.0 л;136 л.с., налог;АКПП;задний;седан;синий;240 000 км;левый;5 поколение, рестайлинг;;;
BMW;3-Series;2010;1185000;https://auto.drom.ru/kirzhach/bmw/3-series/53351582.html;;;;;Киржаче;бензин, 2.5 л;218 л.с., налог;АКПП;задний;седан;белый;205 000 км;левый;5 поколение, рестайлинг;;;
BMW;3-Series;2010;1235000;https://auto.drom.ru/voronezh/bmw/3-series/48788176.html;Характеристики совпадают с ПТС;11 записей о регистрации;Не числится в розыске;Есть ограничения;Воронеже;бензин, 2.5 л;218 л.с., налог;АКПП;задний;купе;белый;177 000 км;левый;5 поколение;325i AT;;
BMW;7-Series;2010;1385000;https://auto.drom.ru/moscow/bmw/7-series/940434039.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 4.4 л;407 л.с., налог;АКПП;4WD;;черный;241 352 км;левый;5 поколение;;;
BMW;1-Series;2010;749000;https://auto.drom.ru/kazan/bmw/1-series/54015784.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;бензин, 1.6 л;115 л.с., налог;автомат;задний;хэтчбек 5 дв.;белый;236 314 км;левый;;;;
