Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Пробег;Руль;Поколение;Цвет;Тип кузова;Комплектация;Особые отметки;
BMW;X5;2019;7449000;https://auto.drom.ru/himki/bmw/x5/393847372.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;96 375 км;левый;4 поколение;серый;;;;
BMW;X6;2019;5800000;https://auto.drom.ru/millerovo/bmw/x6/53992404.html;;;;;Миллерово;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;95 000 км;левый;2 поколение;белый;;xDrive 30d AT M Sport;;
BMW;5-Series;2019;3640000;https://auto.drom.ru/spb/bmw/5-series/53693851.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;93 000 км;левый;7 поколение;серый;универсал;520d AT xDrive;;
BMW;3-Series;2019;3500000;https://auto.drom.ru/moscow/bmw/3-series/53693611.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;80 000 км;правый;7 поколение;белый;седан;320d xDrive M Sport;;
BMW;X1;2019;2670000;https://auto.drom.ru/minsk/bmw/x1/53300894.html;;;;;Минске;бензин, 2.0 л;231 л.с., налог;робот;передний;83 900 км;левый;2 поколение;синий;;sDrive28i AT;;
BMW;3-Series;2019;3520000;https://auto.drom.ru/moscow/bmw/3-series/49659434.html;;;;;Москве;бензин, 2.0 л;258 л.с., налог;АКПП;4WD;60 000 км, без пробега по РФ;левый;7 поколение;белый;седан;;;
BMW;X2;2019;2498500;https://auto.drom.ru/minsk/bmw/x2/775886561.html;;;;;Минске;бензин, 2.0 л;192 л.с., налог;АКПП;4WD;99 800 км, без пробега по РФ;левый;1 поколение;оранжевый;;xDrive 20i AT Base;;
BMW;4-Series;2019;4000000;https://auto.drom.ru/moscow/bmw/4-series/47707907.html;;;;;Москве;бензин, 3.0 л;326 л.с., налог;механика;4WD;27 000 км;левый;1 поколение, рестайлинг;синий;купе;;;
BMW;3-Series;2019;2421147;https://auto.drom.ru/minsk/bmw/3-series/887025490.html;;;;;Минске;дизель, 2.0 л;190 л.с., налог;АКПП;задний;173 000 км;левый;7 поколение;черный;универсал;;;
BMW;X4;2019;5299000;https://auto.drom.ru/moscow/bmw/x4/252565148.html;;;;;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;91 500 км, без пробега по РФ;левый;2 поколение;черный;;xDrive 20d AT M Sport;;
BMW;5-Series;2019;3700000;https://auto.drom.ru/pskov/bmw/5-series/47613477.html;;;;;Пскове;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;32 592 км;левый;7 поколение;черный;седан;520d AT xDrive M Sport;;
BMW;5-Series;2019;4490000;https://auto.drom.ru/moscow/bmw/5-series/330852428.html;;;;;Москве;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;94 700 км;левый;7 поколение;;седан;530d AT xDrive;;
BMW;3-Series Gran Turismo;2019;3580000;https://auto.drom.ru/pskov/bmw/3-series_gran_turismo/53521991.html;;;;;Пскове;дизель, 2.0 л;184 л.с., налог;АКПП;4WD;68 000 км;левый;6 поколение, рестайлинг;синий;;320d AT xDrive Base;;
BMW;X5;2020;9499000;https://auto.drom.ru/vologda/bmw/x5/612528929.html;;;;;Вологде;дизель, 3.0 л;400 л.с., налог;АКПП;4WD;52 500 км;левый;4 поколение;синий;;xDrive M50d AT M Special by Individual;;
BMW;5-Series;2020;6550000;https://auto.drom.ru/moscow/bmw/5-series/846078288.html;;;;;Москве;бензин, 4.4 л;530 л.с., налог;АКПП;4WD;83 000 км;левый;7 поколение, рестайлинг;;седан;540d AT xDrive;;
BMW;X7;2020;9599000;https://auto.drom.ru/tula/bmw/x7/53767065.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Туле;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;39 315 км;левый;1 поколение;черный;;;;
BMW;5-Series;2020;6985000;https://auto.drom.ru/moscow/bmw/5-series/53384517.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;64 100 км;левый;7 поколение;белый;седан;;;
BMW;5-Series;2020;4945000;https://auto.drom.ru/volgograd/bmw/5-series/758451463.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Волгограде;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;63 000 км;левый;7 поколение;черный;седан;;;
BMW;5-Series;2020;3919000;https://auto.drom.ru/moscow/bmw/5-series/606881024.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;102 005 км;левый;7 поколение;белый;седан;;;
BMW;5-Series;2020;3990000;https://auto.drom.ru/moscow/bmw/5-series/53770452.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;102 297 км;левый;7 поколение;синий;седан;;;
BMW;X5;2020;6288000;https://auto.drom.ru/moscow/bmw/x5/482335586.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;231 л.с., налог;АКПП;4WD;89 242 км;левый;4 поколение;серый;;;;
BMW;X3;2020;4185000;https://auto.drom.ru/moscow/bmw/x3/167330155.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;48 000 км;левый;3 поколение;белый;;xDrive 20d AT xLine;;
BMW;3-Series;2020;4900000;https://auto.drom.ru/moscow/bmw/3-series/115523222.html;;;;;Москве;дизель, 3.0 л;286 л.с., налог;АКПП;4WD;88 400 км, без пробега по РФ;левый;7 поколение;оранжевый;седан;;;
BMW;5-Series;2020;4450000;https://auto.drom.ru/moscow/bmw/5-series/54004089.html;;;;;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;29 000 км, без пробега по РФ;левый;7 поколение, рестайлинг;белый;универсал;520i AT;;
BMW;X7;2020;8307677;https://auto.drom.ru/minsk/bmw/x7/53768987.html;;;;;Минске;дизель, 3.0 л;400 л.с., налог;АКПП;4WD;78 000 км;левый;1 поколение;черный;;M50d AT Special;;
BMW;X7;2020;9600000;https://auto.drom.ru/moscow/bmw/x7/52942941.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;65 500 км;левый;1 поколение;черный;;;;
BMW;3-Series;2020;2950000;https://auto.drom.ru/moscow/bmw/3-series/882781678.html;;;;;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;78 000 км, без пробега по РФ;левый;7 поколение;черный;седан;320i AT Base;;
BMW;3-Series;2020;3300000;https://auto.drom.ru/moscow/bmw/3-series/382313150.html;;;;;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;задний;140 000 км;левый;7 поколение;черный;седан;320d AT Sport Line;;
BMW;X5;2020;6400000;https://auto.drom.ru/moscow/bmw/x5/51101436.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;73 000 км;левый;4 поколение;белый;;;;
BMW;X4;2020;5044000;https://auto.drom.ru/moscow/bmw/x4/759148160.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;79 000 км;левый;2 поколение;черный;;;;
BMW;3-Series;2020;3750000;https://auto.drom.ru/moscow/bmw/3-series/54038100.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;23 000 км;левый;7 поколение;черный;седан;320i AT Sport Line;;
BMW;5-Series;2020;5250000;https://auto.drom.ru/volgograd/bmw/5-series/54036313.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Есть ограничения;Волгограде;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;99 116 км;левый;7 поколение, рестайлинг;белый;седан;530d AT xDrive M Sport Plus;;
BMW;5-Series;2020;4850000;https://auto.drom.ru/spb/bmw/5-series/54035620.html;;;;;Санкт-Петербурге;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;60 022 км;левый;7 поколение;черный;универсал;530d AT xDrive;;
BMW;3-Series;2020;4150000;https://auto.drom.ru/spb/bmw/3-series/780713262.html;;;;;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;55 834 км;левый;7 поколение;белый;седан;;;
BMW;X4;2020;4949000;https://auto.drom.ru/moscow/bmw/x4/53757061.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;41 784 км;левый;2 поколение;синий;;;;
BMW;7-Series;2020;6550000;https://auto.drom.ru/moscow/bmw/7-series/53755057.html;;;;;Москве;дизель, 3.0 л;286 л.с., налог;автомат;задний;44 000 км;левый;6 поколение, рестайлинг;;;;;
BMW;3-Series;2020;3609700;https://auto.drom.ru/moscow/bmw/3-series/285063424.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;37 890 км;левый;7 поколение;белый;седан;320i AT Sport Line;;
BMW;5-Series;2020;4340000;https://auto.drom.ru/moscow/bmw/5-series/53752156.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;66 021 км;левый;7 поколение;черный;седан;;;
BMW;X3;2020;6900000;https://auto.drom.ru/spb/bmw/x3/53751356.html;;;;;Санкт-Петербурге;бензин, 3.0 л;510 л.с., налог;АКПП;4WD;36 000 км;левый;3 поколение;черный;;M Competition;;
BMW;3-Series;2020;3200000;https://auto.drom.ru/mozyr/bmw/3-series/53362630.html;;;;;Мозыре;бензин, 2.0 л;258 л.с., налог;АКПП;задний;40 000 км;левый;7 поколение;серый;седан;330i AT M Sport;;
BMW;X5;2020;6990000;https://auto.drom.ru/moscow/bmw/x5/289247172.html;;;;;Москве;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;78 600 км;левый;4 поколение;черный;;xDrive 40i AT M Sport Pro;;
BMW;X6;2020;10500000;https://auto.drom.ru/moscow/bmw/x6/335123553.html;Цвет не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;36 412 км;левый;3 поколение;черный;;xDrive 30d AT M Sport Pro;;
BMW;5-Series;2020;6500000;https://auto.drom.ru/moscow/bmw/5-series/700411326.html;;;;;Москве;дизель, 3.0 л;340 л.с., налог;АКПП;4WD;69 000 км;левый;7 поколение, рестайлинг;черный;универсал;540d AT xDrive;;
