Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;
BMW;5-Series;2014;1930000;https://auto.drom.ru/spb/bmw/5-series/53957304.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;184 л.с., налог;АКПП;задний;седан;черный;198 000 км;левый;6 поколение, рестайлинг;520d AT;
BMW;5-Series;2014;1749000;https://auto.drom.ru/spb/bmw/5-series/53933601.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;184 л.с., налог;АКПП;задний;седан;серый;183 000 км;левый;6 поколение, рестайлинг;;
BMW;X6;2015;3749900;https://auto.drom.ru/voronezh/bmw/x6/53607462.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Воронеже;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;135 891 км;левый;2 поколение;;
BMW;5-Series;2015;2295000;https://auto.drom.ru/voronezh/bmw/5-series/53945192.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Есть ограничения;Воронеже;дизель, 2.0 л;190 л.с., налог;АКПП;задний;седан;серый;95 933 км;левый;6 поколение, рестайлинг;;
BMW;X5;2015;4350000;https://auto.drom.ru/penza/bmw/x5/53598036.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Пензе;дизель, 3.0 л;218 л.с., налог;АКПП;4WD;;черный;106 000 км;левый;3 поколение;;
BMW;X3;2015;2699149;https://auto.drom.ru/spb/bmw/x3/53188350.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;черный;68 950 км;левый;2 поколение, рестайлинг;;
BMW;X3;2015;3320000;https://auto.drom.ru/moscow/bmw/x3/295954383.html;Цвет не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;77 000 км;левый;2 поколение, рестайлинг;;
BMW;3-Series;2015;2425000;https://auto.drom.ru/serpuhov/bmw/3-series/913470348.html;Цвет не совпадает с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Серпухове;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;седан;коричневый;99 409 км;левый;6 поколение;;
BMW;X1;2015;2769000;https://auto.drom.ru/spb/bmw/x1/662049133.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;черный;48 804 км;левый;2 поколение;;
BMW;3-Series;2015;1850000;https://auto.drom.ru/kazan/bmw/3-series/258458828.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;бензин, 1.6 л;136 л.с., налог;АКПП;задний;седан;черный;170 000 км;левый;6 поколение;316i AT Special Edition;
BMW;4-Series;2015;2369000;https://auto.drom.ru/moscow/bmw/4-series/386164030.html;Цвет не совпадает с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;184 л.с., налог;АКПП;4WD;лифтбек;синий;132 269 км;левый;1 поколение;;
BMW;X4;2015;3018000;https://auto.drom.ru/moscow/bmw/x4/52577011.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;;серый;37 060 км;левый;1 поколение;xDrive 20i AT M Sport;
BMW;X5;2015;3646000;https://auto.drom.ru/kazan/bmw/x5/888826469.html;Цвет не совпадает с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;177 501 км;левый;3 поколение;;
BMW;X1;2015;1979000;https://auto.drom.ru/moscow/bmw/x1/174558468.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;192 л.с., налог;автомат;4WD;;синий;97 000 км;левый;2 поколение;;
BMW;X6;2015;4990000;https://auto.drom.ru/moscow/bmw/x6/371172505.html;Характеристики совпадают с ПТС;14 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 4.4 л;575 л.с., налог;АКПП;4WD;;белый;110 000 км;левый;2 поколение;M;
BMW;X5;2015;4850000;https://auto.drom.ru/spb/bmw/x5/53549412.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 4.4 л;575 л.с., налог;АКПП;4WD;;голубой;99 000 км;левый;3 поколение;M;
BMW;5-Series;2015;2150000;https://auto.drom.ru/moscow/bmw/5-series/51824240.html;;;;;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;универсал;синий;250 000 км, без пробега по РФ;левый;6 поколение, рестайлинг;520d AT xDrive;
BMW;4-Series;2015;2031678;https://auto.drom.ru/minsk/bmw/4-series/209214372.html;;;;;Минске;бензин, 2.0 л;245 л.с., налог;АКПП;4WD;лифтбек;серый;140 000 км;левый;1 поколение;428i AT xDrive;
BMW;X6;2015;3878000;https://auto.drom.ru/himki/bmw/x6/662080489.html;Цвет не совпадает с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;111 343 км;левый;2 поколение;;
BMW;1-Series;2015;1650000;https://auto.drom.ru/moscow/bmw/1-series/158463465.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.6 л;136 л.с., налог;АКПП;задний;хэтчбек 5 дв.;белый;93 917 км;левый;2 поколение;;
BMW;5-Series;2015;2050000;https://auto.drom.ru/spb/bmw/5-series/785150006.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;218 л.с., налог;АКПП;4WD;седан;черный;199 000 км;левый;6 поколение, рестайлинг;525d AT xDrive;
BMW;3-Series;2015;2032000;https://auto.drom.ru/himki/bmw/3-series/376429986.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;бензин, 2.0 л;184 л.с., налог;АКПП;задний;седан;белый;130 175 км;левый;6 поколение;;
BMW;X6;2015;3170000;https://auto.drom.ru/spb/bmw/x6/907120391.html;Цвет не совпадает с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;176 025 км;левый;2 поколение;;
BMW;X3;2015;2340000;https://auto.drom.ru/spb/bmw/x3/53522173.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;черный;76 205 км;левый;2 поколение, рестайлинг;;
BMW;X4;2015;2480000;https://auto.drom.ru/kazan/bmw/x4/53521953.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;белый;181 600 км;левый;1 поколение;;
BMW;3-Series;2015;2070000;https://auto.drom.ru/spb/bmw/3-series/375911654.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;184 л.с., налог;АКПП;задний;седан;белый;209 000 км;левый;6 поколение, рестайлинг;320i AT;
BMW;X4;2015;2598000;https://auto.drom.ru/moscow/bmw/x4/53873719.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;черный;102 124 км;левый;1 поколение;;
BMW;3-Series;2015;2190000;https://auto.drom.ru/spb/bmw/3-series/53510305.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;черный;260 000 км;левый;6 поколение, рестайлинг;320d AT xDrive Sport Line;
BMW;5-Series;2015;3150000;https://auto.drom.ru/spb/bmw/5-series/53509945.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;258 л.с., налог;АКПП;4WD;седан;синий;164 000 км;левый;6 поколение, рестайлинг;;
BMW;X6;2015;6250000;https://auto.drom.ru/moscow/bmw/x6/52862640.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 4.4 л;575 л.с., налог;АКПП;4WD;;голубой;54 000 км;левый;2 поколение;;
BMW;X5;2015;3500000;https://auto.drom.ru/kingisepp/bmw/x5/52849762.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Кингисеппе;бензин, 3.0 л;306 л.с., налог;АКПП;4WD;;серебристый;98 000 км;левый;3 поколение;xDrive 35i AT Prestige;
BMW;3-Series;2015;1999999;https://auto.drom.ru/ulyanovsk/bmw/3-series/54154956.html;Характеристики совпадают с ПТС;;Не числится в розыске;Ограничений не обнаружено;Ульяновске;бензин, 1.6 л;136 л.с., налог;АКПП;задний;седан;черный;216 792 км;левый;6 поколение;;
BMW;X6;2015;3645000;https://auto.drom.ru/moscow/bmw/x6/54154277.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;коричневый;139 000 км;левый;2 поколение;xDrive 30d AT Luxury;
BMW;3-Series;2015;1800000;https://auto.drom.ru/moscow/bmw/3-series/54153741.html;Характеристики совпадают с ПТС;;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;седан;белый;171 000 км;левый;6 поколение, рестайлинг;320i AT;
BMW;X3;2015;2280000;https://auto.drom.ru/spb/bmw/x3/54153217.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;;белый;191 730 км;левый;2 поколение, рестайлинг;xDrive 20i AT;
