Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Пробег;Руль;Поколение;Цвет;Тип кузова;Комплектация;Особые отметки;VIN;
Mercedes-Benz;C-Class;2013;1589000;https://auto.drom.ru/volgograd/mercedes-benz/c-class/251754768.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Волгограде;бензин, 1.6 л;156 л.с., налог;АКПП;задний;132 085 км;левый;;белый;седан;;;;
Mercedes-Benz;E-Class;2013;2459000;https://auto.drom.ru/moscow/mercedes-benz/e-class/877847789.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;71 167 км;левый;4 поколение, рестайлинг;синий;седан;;;;
Mercedes-Benz;A-Class;2013;1257000;https://auto.drom.ru/kazan/mercedes-benz/a-class/53986014.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;бензин, 1.6 л;122 л.с., налог;робот;передний;198 301 км;правый;3 поколение;серый;хэтчбек 5 дв.;A 180;;;
Mercedes-Benz;B-Class;2013;1049000;https://auto.drom.ru/spb/mercedes-benz/b-class/53984912.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.6 л;156 л.с., налог;робот;передний;201 000 км;левый;2 поколение;черный;;;;;
Mercedes-Benz;CLS-Class;2013;4650000;https://auto.drom.ru/moscow/mercedes-benz/cls-class/53679532.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 5.5 л;585 л.с., налог;АКПП;4WD;121 500 км;левый;2 поколение;синий;универсал;CLS 63 AMG S 4MATIC;;;
Mercedes-Benz;C-Class;2013;1610000;https://auto.drom.ru/moscow/mercedes-benz/c-class/53659994.html;Характеристики совпадают с ПТС;8 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.8 л;204 л.с., налог;АКПП;задний;177 000 км;левый;3 поколение, рестайлинг;черный;седан;C 250 AT Avantgarde;;;
Mercedes-Benz;E-Class;2013;2200000;https://auto.drom.ru/engels/mercedes-benz/e-class/590655427.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Энгельсе;бензин, 1.8 л;184 л.с., налог;автомат;задний;99 999 км;левый;4 поколение;черный;седан;;;;
Mercedes-Benz;CLS-Class;2013;2300000;https://auto.drom.ru/moscow/mercedes-benz/cls-class/937299899.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.5 л;306 л.с., налог;АКПП;задний;145 500 км;левый;2 поколение;черный;седан;CLS 350 AT;;;
Mercedes-Benz;Vito;2013;1790000;https://auto.drom.ru/volgograd/mercedes-benz/vito/52331647.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Волгограде;дизель, 2.1 л;136 л.с., налог;АКПП;задний;340 507 км;левый;2 поколение, рестайлинг;серебристый;;;;;
Mercedes-Benz;E-Class;2013;2189648;https://auto.drom.ru/spb/mercedes-benz/e-class/336822118.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;211 л.с., налог;АКПП;задний;123 516 км;левый;4 поколение, рестайлинг;синий;купе;;;;
