Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;;;;
BMW;3-Series;1986;270000;https://auto.drom.ru/vyksa/bmw/3-series/264517592.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Выксе;бензин, 1.8 л;102 л.с., налог;механика;задний;купе;белый;290 000 км;левый;2 поколение;318i MT;;
BMW;3-Series;1986;400000;https://auto.drom.ru/spb/bmw/3-series/460121327.html;;;;;Санкт-Петербурге;бензин, 1.8 л;90 л.с., налог;механика;задний;седан;белый;100 000 км;левый;2 поколение;316 MT;;
BMW;3-Series;1986;770000;https://auto.drom.ru/moscow/bmw/3-series/184589997.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.8 л;105 л.с., налог;механика;задний;седан;серый;243 000 км;левый;2 поколение;318i MT;;
BMW;3-Series;1986;160000;https://auto.drom.ru/moscow/bmw/3-series/640263868.html;;;;;Москве;дизель, 2.4 л;86 л.с., налог;механика;задний;седан;черный;388 000 км;левый;2 поколение;324d MT;;
BMW;3-Series;1987;5500000;https://auto.drom.ru/ramenskoe/bmw/3-series/485736437.html;;;;;Раменском;бензин, 2.0 л;129 л.с., налог;механика;задний;седан;серый;200 000 км, без пробега по РФ;левый;2 поколение;320i MT;;
BMW;5-Series;1987;180000;https://auto.drom.ru/kromy/bmw/5-series/551595691.html;;;;;Кромах;бензин, 2.0 л;129 л.с., налог;механика;задний;седан;;;левый;3 поколение;520i MT;;
BMW;3-Series;1987;470000;https://auto.drom.ru/spb/bmw/3-series/53322031.html;Мощность двигателя не совпадает с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.4 л;115 л.с., налог;механика;задний;седан;белый;280 000 км;левый;2 поколение;324td MT;;
BMW;7-Series;1987;380000;https://auto.drom.ru/velikiy-novgorod/bmw/7-series/491443572.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Великом Новгороде;бензин, 3.4 л;211 л.с., налог;механика;задний;;синий;300 000 км;левый;2 поколение;735i MT Catalyst;;
BMW;3-Series;1987;470000;https://auto.drom.ru/vidnoe/bmw/3-series/208346905.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Видном;бензин, 1.8 л;102 л.с., налог;механика;задний;седан;зеленый;245 000 км;левый;2 поколение;;;
BMW;7-Series;1988;440000;https://auto.drom.ru/yoshkar-ola/bmw/7-series/53927103.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Йошкар-Оле;бензин, 3.4 л, ГБО;211 л.с., налог;механика;задний;;черный;280 000 км;левый;2 поколение;;;
BMW;5-Series;1988;245000;https://auto.drom.ru/moscow/bmw/5-series/506426504.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.5 л;170 л.с., налог;механика;задний;седан;синий;405 000 км;левый;3 поколение;525i MT;;
BMW;3-Series;1989;375000;https://auto.drom.ru/pavlovskiy-posad/bmw/3-series/248887251.html;Характеристики совпадают с ПТС;12 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Павловском Посаде;бензин, 2.0 л;150 л.с., налог;механика;задний;седан;черный;;левый;2 поколение;;;
BMW;5-Series;1989;1000000;https://auto.drom.ru/donetsk/bmw/5-series/53783169.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Донецке;бензин, 2.0 л, ГБО;129 л.с., налог;механика;задний;седан;серый;50 км;левый;3 поколение;520i MT;;
BMW;5-Series;1989;520000;https://auto.drom.ru/spb/bmw/5-series/53406844.html;;;;;Санкт-Петербурге;бензин, 2.0 л;129 л.с., налог;механика;задний;седан;серый;200 000 км;левый;3 поколение;520i MT;;
BMW;5-Series;1989;190000;https://auto.drom.ru/volgograd/bmw/5-series/143132815.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Волгограде;бензин, 2.0 л;129 л.с., налог;механика;задний;седан;черный;500 000 км;левый;3 поколение;520i MT;;
BMW;3-Series;1989;249000;https://auto.drom.ru/nizhniy-novgorod/bmw/3-series/52413783.html;Цвет не совпадает с ПТС;8 записей о регистрации;Не числится в розыске;Есть ограничения;Нижнем Новгороде;бензин, 2.5 л;170 л.с., налог;механика;задний;седан;голубой;50 000 км;левый;2 поколение;325i MT;;
BMW;5-Series;1989;160000;https://auto.drom.ru/moscow/bmw/5-series/690982623.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Есть ограничения;Москве;бензин, 2.0 л;129 л.с., налог;механика;задний;седан;черный;500 000 км;левый;3 поколение;520i MT;документы с проблемами, ограничения 20 000 рублей, оплачивается.;
BMW;5-Series;1989;200000;https://auto.drom.ru/moscow/bmw/5-series/164350019.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;129 л.с., налог;механика;задний;седан;черный;309 000 км;левый;3 поколение;520i MT;требуется ремонт или не на ходу;
BMW;3-Series;1989;120000;https://auto.drom.ru/spb/bmw/3-series/291939657.html;;;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;129 л.с., налог;механика;задний;седан;черный;33 800 км;левый;2 поколение;320i MT;требуется ремонт или не на ходу;
BMW;3-Series;1989;150000;https://auto.drom.ru/velikie-luki/bmw/3-series/116027604.html;;;;;Великих Луках;бензин, 1.6 л;99 л.с., налог;механика;задний;седан;красный;290 000 км;левый;2 поколение;316i MT;;
BMW;5-Series;1989;250000;https://auto.drom.ru/tula/bmw/5-series/248343913.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Туле;бензин, 2.5 л;170 л.с., налог;механика;задний;седан;серебристый;200 000 км;левый;3 поколение;525i MT;;
BMW;7-Series;1989;411000;https://auto.drom.ru/spb/bmw/7-series/53903850.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 3.0 л;188 л.с., налог;АКПП;задний;;серый;350 000 км;левый;2 поколение;;;
BMW;5-Series;1989;290000;https://auto.drom.ru/kamyshin/bmw/5-series/53897543.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Камышине;дизель, 2.4 л;115 л.с., налог;механика;задний;седан;белый;240 000 км;левый;3 поколение;524td MT;;
BMW;5-Series;1990;450000;https://auto.drom.ru/kursk/bmw/5-series/53403521.html;Характеристики совпадают с ПТС;13 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Курске;бензин, 2.5 л;192 л.с., налог;механика;задний;седан;синий;111 111 км;левый;3 поколение;525i MT;;
BMW;5-Series;1990;155000;https://auto.drom.ru/kirov/bmw/5-series/653878972.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Кирове;бензин, 2.0 л;150 л.с., налог;механика;задний;седан;белый;;левый;3 поколение;520i MT;;
BMW;5-Series;1990;370000;https://auto.drom.ru/shchelkovo/bmw/5-series/520230616.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Есть ограничения;Щёлкове;бензин, 2.0 л;150 л.с., налог;механика;задний;седан;черный;422 222 км;левый;3 поколение;520i MT;;
BMW;5-Series;1990;190000;https://auto.drom.ru/tula/bmw/5-series/148921330.html;;;;;Туле;бензин, 2.0 л;129 л.с., налог;механика;задний;седан;;;левый;3 поколение;520i MT;;
BMW;5-Series;1990;190000;https://auto.drom.ru/tula/bmw/5-series/779230015.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Туле;бензин, 2.0 л;150 л.с., налог;механика;задний;седан;зеленый;200 000 км;левый;3 поколение;520i MT;;
BMW;5-Series;1990;270000;https://auto.drom.ru/spb/bmw/5-series/481863068.html;Объем двигателя, мощность двигателя не совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.5 л;192 л.с., налог;механика;задний;седан;синий;250 000 км;левый;3 поколение;525i MT;;
BMW;3-Series;1990;355000;https://auto.drom.ru/istra/bmw/3-series/54006338.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Истре;бензин, 1.6 л;99 л.с., налог;механика;задний;седан;красный;327 000 км;левый;2 поколение;;;
BMW;5-Series;1990;240000;https://auto.drom.ru/bronnitsy/bmw/5-series/176805360.html;Характеристики совпадают с ПТС;10 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Бронницах;бензин, 2.0 л;150 л.с., налог;механика;задний;седан;синий;300 000 км;левый;3 поколение;520i MT;;
BMW;7-Series;1990;350000;https://auto.drom.ru/kazan/bmw/7-series/253048102.html;Характеристики совпадают с ПТС;8 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;бензин, 3.0 л;188 л.с., налог;механика;задний;;серебристый;381 000 км;левый;2 поколение;730i MT Catalyst Special Equipment;;
BMW;5-Series;1990;325000;https://auto.drom.ru/moscow/bmw/5-series/53893856.html;Мощность двигателя не совпадает с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;150 л.с., налог;механика;задний;седан;белый;200 000 км;левый;3 поколение;520i MT;;
BMW;5-Series;1991;450000;https://auto.drom.ru/moscow/bmw/5-series/54133645.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;150 л.с., налог;механика;задний;седан;синий;280 000 км;левый;3 поколение;520i MT;;
BMW;5-Series;1991;400000;https://auto.drom.ru/kuznetsk/bmw/5-series/53523206.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Кузнецке;бензин, 2.0 л;150 л.с., налог;АКПП;задний;седан;серебристый;420 000 км;левый;3 поколение;520i AT;;
BMW;5-Series;1991;160000;https://auto.drom.ru/orel/bmw/5-series/54102619.html;Характеристики совпадают с ПТС;10 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Орле;бензин, 2.0 л;150 л.с., налог;механика;задний;седан;синий;205 000 км;левый;3 поколение;520i MT;требуется ремонт или не на ходу;
BMW;5-Series;1991;650000;https://auto.drom.ru/moscow/bmw/5-series/53774398.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Есть ограничения;Москве;бензин, 2.0 л;150 л.с., налог;механика;задний;седан;серый;300 000 км;левый;3 поколение;520i MT;;
BMW;5-Series;1991;280000;https://auto.drom.ru/mozhaisk/bmw/5-series/705271890.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Можайске;бензин, 2.0 л;150 л.с., налог;механика;задний;седан;зеленый;200 000 км;левый;3 поколение;520i MT;;
BMW;5-Series;1991;565000;https://auto.drom.ru/moscow/bmw/5-series/53973202.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.4 л;211 л.с., налог;механика;задний;седан;зеленый;211 000 км;левый;3 поколение;535i MT;;
BMW;7-Series;1991;299000;https://auto.drom.ru/spb/bmw/7-series/53969214.html;Характеристики совпадают с ПТС;8 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 3.4 л;211 л.с., налог;АКПП;задний;;синий;280 000 км;левый;2 поколение;735i AT Catalyst Special Equipment;;
BMW;3-Series;1991;200000;https://auto.drom.ru/engels/bmw/3-series/285229229.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Энгельсе;бензин, 1.8 л;113 л.с., налог;механика;задний;седан;белый;286 888 км;левый;3 поколение;318i MT;;
BMW;5-Series;1991;340000;https://auto.drom.ru/volgograd/bmw/5-series/935652204.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Волгограде;бензин, 1.8 л;113 л.с., налог;механика;задний;седан;черный;390 000 км;левый;3 поколение;518i MT;;
BMW;3-Series;1991;330000;https://auto.drom.ru/mtsensk/bmw/3-series/53933224.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Есть ограничения;Мценске;бензин, 1.8 л;113 л.с., налог;механика;задний;седан;черный;400 000 км;левый;3 поколение;318i MT;;
BMW;5-Series;1991;245000;https://auto.drom.ru/yaroslavl/bmw/5-series/53907455.html;Мощность двигателя не совпадает с ПТС;8 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Ярославле;бензин, 2.0 л;150 л.с., налог;механика;задний;седан;;;левый;3 поколение;520i MT;;
BMW;3-Series;1991;230000;https://auto.drom.ru/velikiy-novgorod/bmw/3-series/307447776.html;Характеристики совпадают с ПТС;8 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Великом Новгороде;бензин, 1.8 л;113 л.с., налог;механика;задний;седан;красный;350 000 км;левый;3 поколение;318i MT;;
BMW;5-Series;1991;1100000;https://auto.drom.ru/spb/bmw/5-series/53089893.html;Объем двигателя, цвет, мощность двигателя не совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.5 л;192 л.с., налог;механика;задний;седан;фиолетовый;270 000 км;левый;3 поколение;525i MT;;
