Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Пробег;Руль;Поколение;Цвет;Тип кузова;Комплектация;Особые отметки;VIN;
Mercedes-Benz;E-Class;2020;5100000;https://auto.drom.ru/moscow/mercedes-benz/e-class/582255507.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;194 л.с., налог;АКПП;4WD;50 000 км;левый;5 поколение, рестайлинг;синий;седан;E 220 d 4MATIC Sport;;;
Mercedes-Benz;S-Class;2020;8050000;https://auto.drom.ru/moscow/mercedes-benz/s-class/53693732.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.9 л;249 л.с., налог;АКПП;4WD;185 000 км;левый;6 поколение, рестайлинг;черный;седан;S 350 d 4MATIC L;;;
Mercedes-Benz;GLB-Class;2020;4100000;https://auto.drom.ru/minsk/mercedes-benz/glb/256087935.html;;;;;Минске;бензин, 2.0 л;224 л.с., налог;робот;4WD;37 281 км, без пробега по РФ;левый;1 поколение;бордовый;;GLB 250 4MATIC Sport;;;
Mercedes-Benz;GLS-Class;2020;12990000;https://auto.drom.ru/moscow/mercedes-benz/gls-class/53698577.html;Год не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;362 л.с., налог;АКПП;4WD;55 000 км;левый;2 поколение;белый;;GLS 450 4MATIC;;;
Mercedes-Benz;GLS-Class;2020;23500000;https://auto.drom.ru/moscow/mercedes-benz/gls-class/53692611.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 4.0 л, гибрид;558 л.с., налог;АКПП;4WD;25 000 км;левый;2 поколение;черный;;Mercedes-Maybach GLS 600 4MATIC;;;
Mercedes-Benz;CLS-Class;2020;7065000;https://auto.drom.ru/moscow/mercedes-benz/cls-class/53689589.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.9 л;249 л.с., налог;АКПП;4WD;37 417 км;левый;3 поколение;серый;седан;;;;
Mercedes-Benz;G-Class;2020;17777777;https://auto.drom.ru/voronezh/mercedes-benz/g-class/53298177.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Воронеже;бензин, 4.0 л;422 л.с., налог;АКПП;4WD;38 015 км;левый;3 поколение;серый;джип/suv 5 дв.;;;;
Mercedes-Benz;E-Class;2020;4450000;https://auto.drom.ru/spb/mercedes-benz/e-class/53298060.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;194 л.с., налог;АКПП;4WD;61 689 км;левый;5 поколение;белый;седан;;;;
Mercedes-Benz;GLC;2020;4335000;https://auto.drom.ru/moscow/mercedes-benz/glc-class/53298010.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;245 л.с., налог;АКПП;4WD;80 088 км;левый;1 поколение, рестайлинг;синий;;;;;
Mercedes-Benz;GLE;2020;7550000;https://auto.drom.ru/spb/mercedes-benz/gle-class/53291026.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.9 л;330 л.с., налог;АКПП;4WD;105 459 км;левый;2 поколение;серый;;GLE 400 d 4MATIC Sport;;;
Mercedes-Benz;GLC;2020;5990000;https://auto.drom.ru/moscow/mercedes-benz/glc-class/53290408.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;245 л.с., налог;АКПП;4WD;50 700 км;левый;1 поколение, рестайлинг;черный;;;;;
Mercedes-Benz;GLE;2020;8100000;https://auto.drom.ru/moscow/mercedes-benz/gle-class/52861864.html;;;;;Москве;дизель, 2.9 л;272 л.с., налог;АКПП;4WD;64 200 км;левый;2 поколение;белый;;GLE 350d 4MATIC;;;
Mercedes-Benz;S-Class;2020;9000000;https://auto.drom.ru/spb/mercedes-benz/s-class/53136371.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 3.0 л;367 л.с., налог;АКПП;4WD;174 360 км;левый;;черный;седан;;;;
Mercedes-Benz;GLE Coupe;2020;12000000;https://auto.drom.ru/moscow/mercedes-benz/gle_coupe/578114157.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л, гибрид;435 л.с., налог;АКПП;4WD;17 600 км;левый;2 поколение;серый;;GLE 53 4MATIC+;;;
Mercedes-Benz;S-Class;2020;9900000;https://auto.drom.ru/moscow/mercedes-benz/s-class/54096562.html;;;;;Москве;дизель, 2.9 л;286 л.с., налог;АКПП;4WD;89 000 км, без пробега по РФ;левый;7 поколение;серый;седан;S350 d 4MATIC L;;;
