Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;VIN;
BMW;X5;2022;13800000;https://auto.drom.ru/moscow/bmw/x5/52328666.html;Цвет, мощность двигателя не совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;коричневый;новый автомобиль;левый;4 поколение;xDrive 30d AT M Sport;;WBA**************;
BMW;X5;2022;13300000;https://auto.drom.ru/moscow/bmw/x5/52328683.html;Мощность двигателя не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;белый;новый автомобиль;левый;4 поколение;xDrive 30d AT M Sport;;WBA**************;
BMW;5-Series;2022;7900000;https://auto.drom.ru/moscow/bmw/5-series/52328762.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Есть ограничения;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;седан;белый;новый автомобиль;левый;7 поколение, рестайлинг;520i AT Base;;WBA**************;
BMW;X5;2022;13745000;https://auto.drom.ru/moscow/bmw/x5/51888313.html;;;;;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;белый;новый автомобиль;левый;4 поколение;xDrive 30d AT M Sport;;WBA**************;
BMW;X6;2022;13650000;https://auto.drom.ru/moscow/bmw/x6/52328704.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;;белый;новый автомобиль;левый;3 поколение;xDrive 40i AT Base;;WBA**************;
BMW;X6;2022;14000000;https://auto.drom.ru/moscow/bmw/x6/52328742.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;286 л.с., налог;АКПП;4WD;;синий;новый автомобиль;левый;3 поколение;xDrive30d;;WBA**************;
BMW;X5;2022;13600000;https://auto.drom.ru/moscow/bmw/x5/52328521.html;Цвет не совпадает с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;;черный;новый автомобиль;левый;4 поколение;xDrive 40i AT Base;;WBA**************;
BMW;X5;2022;13800000;https://auto.drom.ru/moscow/bmw/x5/52328668.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;340 л.с., налог;АКПП;4WD;;серый;новый автомобиль;левый;4 поколение;xDrive 40d AT Base;;WBA**************;
BMW;X6;2022;12350000;https://auto.drom.ru/himki/bmw/x6/52664874.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;;белый;новый автомобиль;левый;3 поколение;xDrive 40i AT Base;;WBA**************;
BMW;X1;2022;4950000;https://auto.drom.ru/moscow/bmw/x1/583101615.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;150 л.с., налог;АКПП;4WD;;черный;7 060 км;левый;2 поколение, рестайлинг;;;;
BMW;iX;2022;8390000;https://auto.drom.ru/moscow/bmw/ix/826719133.html;;;;;Москве;электро;;автомат;4WD;;черный;новый автомобиль;левый;1 поколение;;;WBY**************;
BMW;iX;2022;8390000;https://auto.drom.ru/moscow/bmw/ix/257532099.html;;;;;Москве;электро;;автомат;4WD;;черный;новый автомобиль;левый;1 поколение;;;WBY**************;
BMW;X4;2022;7800000;https://auto.drom.ru/cheboksary/bmw/x4/378385292.html;Мощность двигателя не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Чебоксарах;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;;38 000 км;левый;2 поколение, рестайлинг;;;;
BMW;X5;2022;13500000;https://auto.drom.ru/bryansk/bmw/x5/48233964.html;Год не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Брянске;дизель, 3.0 л;340 л.с., налог;АКПП;4WD;;синий;7 800 км, без пробега по РФ;левый;4 поколение;xDrive 40d AT M Sport Pro;;;
