Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Пробег;Руль;Поколение;Цвет;Тип кузова;Комплектация;Особые отметки;VIN;
Mercedes-Benz;V-Class;2023;17329155;https://auto.drom.ru/moscow/mercedes-benz/v-class/53963095.html;;;;;Москве;дизель, 2.0 л;237 л.с., налог;автомат;4WD;новый автомобиль;левый;;черный;;;;W1V**************;
Mercedes-Benz;V-Class;2023;16395515;https://auto.drom.ru/moscow/mercedes-benz/v-class/865891822.html;;;;;Москве;дизель, 2.0 л;237 л.с., налог;автомат;4WD;новый автомобиль;левый;;черный;;;;W1V**************;
Mercedes-Benz;GLS-Class;2023;21000000;https://auto.drom.ru/moscow/mercedes-benz/gls-class/744237028.html;;;;;Москве;дизель, 3.0 л;367 л.с., налог;автомат;4WD;новый автомобиль;левый;;черный;;;;W1N**************;
Mercedes-Benz;GLS-Class;2023;21000000;https://auto.drom.ru/moscow/mercedes-benz/gls-class/315668374.html;;;;;Москве;дизель, 3.0 л;367 л.с., налог;автомат;4WD;новый автомобиль;левый;;черный;;;;W1N**************;
Mercedes-Benz;C-Class;2023;8000000;https://auto.drom.ru/spb/mercedes-benz/c-class/53242228.html;;;;;Санкт-Петербурге;дизель, 2.0 л;200 л.с., налог;АКПП;4WD;новый автомобиль;левый;5 поколение;белый;универсал;C 220 d 4MATIC All-Terrain Avantgarde;;W1K**************;
Mercedes-Benz;G-Class;2023;28900000;https://auto.drom.ru/moscow/mercedes-benz/g-class/53895459.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 4.0 л;585 л.с., налог;робот;4WD;новый автомобиль;левый;3 поколение;серый;джип/suv 5 дв.;G 63 AMG;;W1N**************;
Mercedes-Benz;G-Class;2023;27490000;https://auto.drom.ru/moscow/mercedes-benz/g-class/53835894.html;;;;;Москве;бензин, 4.0 л;585 л.с., налог;робот;4WD;новый автомобиль;левый;3 поколение;серебристый;джип/suv 5 дв.;G 63 AMG;;W1N**************;
Mercedes-Benz;GLE Coupe;2023;14500000;https://auto.drom.ru/moscow/mercedes-benz/gle_coupe/342971578.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;370 л.с., налог;АКПП;4WD;новый автомобиль;левый;2 поколение, рестайлинг;зеленый;;;;W1N**************;
Mercedes-Benz;GLE Coupe;2023;14500000;https://auto.drom.ru/moscow/mercedes-benz/gle_coupe/109745949.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;370 л.с., налог;АКПП;4WD;новый автомобиль;левый;2 поколение, рестайлинг;серый;;;;W1N**************;
Mercedes-Benz;GLE Coupe;2023;14500000;https://auto.drom.ru/moscow/mercedes-benz/gle_coupe/810015401.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;370 л.с., налог;АКПП;4WD;новый автомобиль;левый;2 поколение, рестайлинг;зеленый;;;;W1N**************;
Mercedes-Benz;GLE Coupe;2023;14500000;https://auto.drom.ru/moscow/mercedes-benz/gle_coupe/442747048.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;370 л.с., налог;АКПП;4WD;новый автомобиль;левый;2 поколение, рестайлинг;серый;;;;W1N**************;
Mercedes-Benz;GLE;2023;17680000;https://auto.drom.ru/moscow/mercedes-benz/gle-class/781341592.html;;;;;Москве;дизель, 3.0 л;370 л.с., налог;АКПП;4WD;;левый;2 поколение, рестайлинг;;;;;;
Mercedes-Benz;GLE Coupe;2023;15963600;https://auto.drom.ru/moscow/mercedes-benz/gle_coupe/846376794.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;370 л.с., налог;АКПП;4WD;новый автомобиль;левый;2 поколение, рестайлинг;серый;;;;W1N**************;
Mercedes-Benz;GLE Coupe;2023;13902380;https://auto.drom.ru/moscow/mercedes-benz/gle_coupe/281348250.html;;;;;Москве;дизель, 2.0 л;269 л.с., налог;АКПП;4WD;новый автомобиль;левый;2 поколение, рестайлинг;черный;;;;W1N**************;
Mercedes-Benz;V-Class;2023;19722455;https://auto.drom.ru/moscow/mercedes-benz/v-class/53963094.html;;;;;Москве;дизель, 2.0 л;237 л.с., налог;автомат;4WD;новый автомобиль;левый;;черный;;;;W1V**************;
