Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;VIN;
Mercedes-Benz;GLS-Class;2022;17900000;https://auto.drom.ru/moscow/mercedes-benz/gls-class/52139612.html;;;;;Москве;дизель, 2.9 л;330 л.с., налог;АКПП;4WD;;черный;новый автомобиль;левый;2 поколение;;;Z9M**************;
Mercedes-Benz;GLE;2022;11450000;https://auto.drom.ru/moscow/mercedes-benz/gle-class/52139614.html;;;;;Москве;дизель, 2.0 л;245 л.с., налог;АКПП;4WD;;белый;новый автомобиль;левый;2 поколение;;;Z9M**************;
Mercedes-Benz;GLS-Class;2022;17300000;https://auto.drom.ru/moscow/mercedes-benz/gls-class/52139619.html;;;;;Москве;дизель, 2.9 л;330 л.с., налог;АКПП;4WD;;серый;новый автомобиль;левый;2 поколение;;;Z9M**************;
Mercedes-Benz;GLS-Class;2022;17600000;https://auto.drom.ru/moscow/mercedes-benz/gls-class/52139620.html;;;;;Москве;дизель, 2.9 л;330 л.с., налог;АКПП;4WD;;серый;новый автомобиль;левый;2 поколение;;;Z9M**************;
Mercedes-Benz;GLE;2022;14300000;https://auto.drom.ru/moscow/mercedes-benz/gle-class/52139604.html;;;;;Москве;бензин, 3.0 л;367 л.с., налог;АКПП;4WD;;белый;новый автомобиль;левый;2 поколение;;;Z9M**************;
Mercedes-Benz;GLE;2022;12900000;https://auto.drom.ru/moscow/mercedes-benz/gle-class/52139608.html;;;;;Москве;дизель, 2.0 л;245 л.с., налог;АКПП;4WD;;черный;новый автомобиль;левый;2 поколение;;;Z9M**************;
Mercedes-Benz;GLE;2022;13846000;https://auto.drom.ru/moscow/mercedes-benz/gle-class/51340509.html;;;;;Москве;дизель, 2.0 л;245 л.с., налог;АКПП;4WD;;черный;новый автомобиль;левый;2 поколение;GLE 300 d 4MATIC Sport Plus;;Z9M**************;
Mercedes-Benz;GLC;2022;7292320;https://auto.drom.ru/moscow/mercedes-benz/glc-class/53737348.html;;;;;Москве;дизель, 2.0 л;194 л.с., налог;АКПП;4WD;;белый;новый автомобиль;левый;1 поколение, рестайлинг;GLC 220d AT 4MATIC;;Z9M**************;
Mercedes-Benz;GLC;2022;7292320;https://auto.drom.ru/moscow/mercedes-benz/glc-class/52217957.html;;;;;Москве;дизель, 2.0 л;194 л.с., налог;АКПП;4WD;;белый;новый автомобиль;левый;1 поколение, рестайлинг;GLC 220d AT 4MATIC;;Z9M**************;
Mercedes-Benz;E-Class;2022;8485000;https://auto.drom.ru/moscow/mercedes-benz/e-class/293803118.html;;;;;Москве;дизель, 2.0 л;194 л.с., налог;АКПП;4WD;седан;белый;21 км;левый;5 поколение, рестайлинг;;;;
Mercedes-Benz;V-Class;2022;15000000;https://auto.drom.ru/moscow/mercedes-benz/v-class/49336737.html;;;;;Москве;дизель, 2.1 л;235 л.с., налог;автомат;4WD;;черный;24 км;левый;3 поколение, рестайлинг;;;;
Mercedes-Benz;GLE;2022;16168000;https://auto.drom.ru/spb/mercedes-benz/gle-class/52569442.html;;;;;Санкт-Петербурге;дизель, 2.9 л;330 л.с., налог;АКПП;4WD;;черный;новый автомобиль;левый;2 поколение;GLE 400 d 4MATIC Luxury;;Z9M**************;
Mercedes-Benz;GLC;2022;7292320;https://auto.drom.ru/moscow/mercedes-benz/glc-class/52203085.html;;;;;Москве;дизель, 2.0 л;194 л.с., налог;АКПП;4WD;;белый;новый автомобиль;левый;1 поколение, рестайлинг;GLC 220d AT 4MATIC;;Z9M**************;
Mercedes-Benz;AMG GT;2022;14420000;https://auto.drom.ru/himki/mercedes-benz/amg_gt/248148022.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;бензин, 3.0 л;367 л.с., налог;АКПП;4WD;лифтбек;серый;9 034 км;левый;1 поколение, рестайлинг;3.0 AT GT 43 4MATIC+;;;
Mercedes-Benz;V-Class;2022;11698000;https://auto.drom.ru/moscow/mercedes-benz/v-class/54100091.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;163 л.с., налог;автомат;4WD;;черный;2 640 км;левый;;;;;
Mercedes-Benz;GLE;2022;16231000;https://auto.drom.ru/spb/mercedes-benz/gle-class/52569927.html;;;;;Санкт-Петербурге;дизель, 2.9 л;330 л.с., налог;АКПП;4WD;;черный;новый автомобиль;левый;2 поколение;GLE 400 d 4MATIC Luxury;;Z9M**************;
Mercedes-Benz;GLS-Class;2022;19080000;https://auto.drom.ru/spb/mercedes-benz/gls-class/52569928.html;;;;;Санкт-Петербурге;дизель, 2.9 л;330 л.с., налог;АКПП;4WD;;черный;новый автомобиль;левый;2 поколение;GLS 400 d 4MATIC Luxury;;Z9M**************;
