Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Пробег;Руль;Поколение;Цвет;Тип кузова;Комплектация;Особые отметки;
BMW;5-Series;2018;2500000;https://auto.drom.ru/moscow/bmw/5-series/53116934.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;239 486 км;левый;7 поколение;черный;седан;;;
BMW;5-Series;2018;2500000;https://auto.drom.ru/moscow/bmw/5-series/53116937.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;171 330 км;левый;7 поколение;черный;седан;;;
BMW;5-Series;2018;2650000;https://auto.drom.ru/moscow/bmw/5-series/53116938.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;217 269 км;левый;7 поколение;черный;седан;;;
BMW;3-Series;2018;2050000;https://auto.drom.ru/kazan/bmw/3-series/53114667.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;дизель, 2.0 л;150 л.с., налог;АКПП;задний;145 001 км;левый;6 поколение, рестайлинг;белый;универсал;318d AT;;
BMW;3-Series;2018;2180000;https://auto.drom.ru/moscow/bmw/3-series/52226826.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;150 л.с., налог;АКПП;задний;112 357 км;левый;6 поколение, рестайлинг;черный;универсал;318d AT;;
BMW;X6;2018;5300000;https://auto.drom.ru/spb/bmw/x6/52225415.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;313 л.с., налог;АКПП;4WD;110 000 км;левый;2 поколение;черный;;;;
BMW;4-Series;2018;2449000;https://auto.drom.ru/kirov/bmw/4-series/52184135.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Кирове;дизель, 2.0 л;149 л.с., налог;механика;задний;125 000 км;левый;1 поколение, рестайлинг;черный;купе;;;
BMW;1-Series;2018;1719000;https://auto.drom.ru/spb/bmw/1-series/152849284.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.5 л;136 л.с., налог;АКПП;задний;163 891 км;правый;2 поколение, рестайлинг;оранжевый;хэтчбек 5 дв.;118i M Sport;;
BMW;X2;2018;2700000;https://auto.drom.ru/minsk/bmw/x2/845014587.html;;;;;Минске;бензин, 2.0 л;192 л.с., налог;АКПП;4WD;51 000 км;левый;1 поколение;серый;;;;
BMW;5-Series;2018;3900000;https://auto.drom.ru/spb/bmw/5-series/287504148.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;249 л.с., налог;АКПП;4WD;110 000 км;левый;7 поколение;синий;седан;530i AT xDrive M Sport;;
BMW;X5;2018;5850000;https://auto.drom.ru/moscow/bmw/x5/53888220.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;218 л.с., налог;АКПП;4WD;29 000 км;левый;3 поколение;белый;;xDrive 25d AT Business;;
BMW;X3;2018;4199999;https://auto.drom.ru/cherepovets/bmw/x3/205541737.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Череповце;дизель, 2.0 л;163 л.с., налог;автомат;4WD;88 000 км;левый;3 поколение;серый;;;;
BMW;5-Series;2018;4462000;https://auto.drom.ru/himki/bmw/5-series/375425075.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;77 543 км;левый;7 поколение;черный;седан;;;
BMW;X2;2018;2539000;https://auto.drom.ru/himki/bmw/x2/937728107.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;бензин, 1.5 л;140 л.с., налог;робот;передний;47 296 км;левый;1 поколение;оранжевый;;;;
BMW;5-Series;2018;3690000;https://auto.drom.ru/nizhniy-novgorod/bmw/5-series/517513768.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Нижнем Новгороде;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;110 000 км;левый;7 поколение;черный;седан;520d AT xDrive M Sport;;
BMW;5-Series;2018;4420000;https://auto.drom.ru/moscow/bmw/5-series/53886025.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;46 540 км;левый;7 поколение;синий;седан;;;
BMW;X2;2018;3170000;https://auto.drom.ru/moscow/bmw/x2/53710448.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;69 000 км;левый;1 поколение;белый;;xDrive 20d AT Advantage;;
BMW;5-Series;2018;3300000;https://auto.drom.ru/stariy-oskol/bmw/5-series/53523231.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Старом Осколе;бензин, 2.0 л;184 л.с., налог;АКПП;задний;114 000 км;левый;7 поколение;черный;седан;520i AT Base;;
BMW;i3;2018;2449000;https://auto.drom.ru/moscow/bmw/i3/53513532.html;Мощность двигателя не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;гибрид;;автомат;задний;63 000 км;левый;1 поколение;синий;хэтчбек 5 дв.;;;
BMW;6-Series Gran Turismo;2018;4050000;https://auto.drom.ru/moscow/bmw/6-series_gran_turismo/53512806.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;104 100 км;левый;1 поколение;черный;;;;
BMW;3-Series;2018;1890000;https://auto.drom.ru/minsk/bmw/3-series/53107056.html;;;;;Минске;дизель, 2.0 л;163 л.с., налог;АКПП;задний;187 000 км;левый;6 поколение, рестайлинг;синий;универсал;320d AT EfficientDynamics Edition;;
BMW;5-Series;2018;2500000;https://auto.drom.ru/moscow/bmw/5-series/52650052.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;223 921 км;левый;7 поколение;черный;седан;;;
BMW;5-Series;2018;2600000;https://auto.drom.ru/moscow/bmw/5-series/52640842.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;212 668 км;левый;7 поколение;черный;седан;;;
BMW;3-Series;2018;2230000;https://auto.drom.ru/shatura/bmw/3-series/924325991.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Шатуре;бензин, 1.5 л;136 л.с., налог;механика;задний;80 900 км;левый;6 поколение, рестайлинг;серебристый;седан;318i MT;;
BMW;5-Series;2018;4385000;https://auto.drom.ru/moscow/bmw/5-series/473824340.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;112 000 км;левый;7 поколение;белый;седан;;;
BMW;X3;2018;3599000;https://auto.drom.ru/moscow/bmw/x3/52735631.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;121 000 км;левый;3 поколение;серый;;;;
BMW;X1;2018;2695000;https://auto.drom.ru/spb/bmw/x1/49057796.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;231 л.с., налог;АКПП;4WD;59 900 км;левый;2 поколение;белый;;xDrive 25i AT Model xLine;;
BMW;1-Series;2018;2212612;https://auto.drom.ru/spb/bmw/1-series/287015395.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.5 л;136 л.с., налог;АКПП;задний;95 410 км;левый;2 поколение;синий;хэтчбек 5 дв.;;;
BMW;1-Series;2018;2200000;https://auto.drom.ru/spb/bmw/1-series/345920140.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.5 л;136 л.с., налог;АКПП;задний;54 618 км;левый;2 поколение;синий;хэтчбек 5 дв.;;;
BMW;5-Series;2018;3299400;https://auto.drom.ru/moscow/bmw/5-series/808043022.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;73 000 км;левый;7 поколение;серый;седан;;;
BMW;5-Series;2018;2670000;https://auto.drom.ru/moscow/bmw/5-series/221057888.html;;;;;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;89 500 км;левый;7 поколение;серый;универсал;520d AT;;
BMW;X5;2018;7500000;https://auto.drom.ru/belgorod/bmw/x5/53870964.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Белгороде;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;117 000 км;левый;4 поколение;черный;;;;
BMW;X1;2018;2338000;https://auto.drom.ru/moscow/bmw/x1/53086473.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;150 л.с., налог;АКПП;4WD;74 000 км;левый;2 поколение;черный;;;;
BMW;X5;2018;6001000;https://auto.drom.ru/moscow/bmw/x5/401297313.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;107 685 км;левый;;серый;;;;
BMW;5-Series;2018;3550000;https://auto.drom.ru/moscow/bmw/5-series/54155182.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;93 168 км;левый;7 поколение;белый;седан;;;
BMW;2-Series;2018;2800000;https://auto.drom.ru/kazan/bmw/2-series/53877255.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;150 км;левый;1 поколение, рестайлинг;синий;купе;220d AT xDrive Model M Sport;;
BMW;5-Series;2018;2500000;https://auto.drom.ru/spb/bmw/5-series/53877077.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;184 л.с., налог;АКПП;задний;155 682 км;левый;7 поколение;черный;седан;;;
BMW;4-Series;2018;3099000;https://auto.drom.ru/spb/bmw/4-series/53876201.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;92 000 км;левый;1 поколение, рестайлинг;синий;купе;;;
BMW;5-Series;2018;2600000;https://auto.drom.ru/moscow/bmw/5-series/53874020.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;223 182 км;левый;7 поколение;черный;седан;;;
BMW;5-Series;2018;2500000;https://auto.drom.ru/moscow/bmw/5-series/53874028.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;173 507 км;левый;7 поколение;черный;седан;;;
BMW;5-Series;2018;3450000;https://auto.drom.ru/moscow/bmw/5-series/53095418.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;252 л.с., налог;АКПП;4WD;138 700 км;левый;7 поколение;черный;универсал;530i AT xDrive;;
BMW;X6;2018;4765000;https://auto.drom.ru/spb/bmw/x6/53093063.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;72 700 км;левый;2 поколение;черный;;;;
BMW;5-Series;2018;3349749;https://auto.drom.ru/kazan/bmw/5-series/53089578.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;дизель, 2.0 л;190 л.с., налог;АКПП;задний;103 777 км;левый;7 поколение;серый;седан;;;
BMW;5-Series;2018;2350000;https://auto.drom.ru/voronezh/bmw/5-series/53085423.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Воронеже;дизель, 2.0 л;190 л.с., налог;АКПП;задний;232 239 км;левый;7 поколение;белый;универсал;520d AT;;
BMW;5-Series;2018;2500000;https://auto.drom.ru/moscow/bmw/5-series/52630236.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;207 062 км;левый;7 поколение;черный;седан;;;
BMW;4-Series;2018;3773000;https://auto.drom.ru/saratov/bmw/4-series/52628922.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Саратове;бензин, 2.0 л;184 л.с., налог;автомат;задний;64 714 км;левый;;синий;открытый;;;
BMW;5-Series;2018;2300000;https://auto.drom.ru/moscow/bmw/5-series/52623551.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;239 016 км;левый;7 поколение;черный;седан;;;
BMW;X4;2018;4450000;https://auto.drom.ru/moscow/bmw/x4/54154840.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;249 л.с., налог;АКПП;4WD;49 700 км;левый;2 поколение;красный;;;;
BMW;6-Series Gran Turismo;2018;4300000;https://auto.drom.ru/moscow/bmw/6-series_gran_turismo/54154109.html;Характеристики совпадают с ПТС;;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;124 000 км;левый;1 поколение;черный;;630d AT xDrive Luxury Line;;
BMW;4-Series;2018;3259700;https://auto.drom.ru/moscow/bmw/4-series/54152329.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;70 569 км;левый;1 поколение, рестайлинг;черный;купе;;;
BMW;5-Series;2018;3290000;https://auto.drom.ru/moscow/bmw/5-series/54151565.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;132 494 км;левый;7 поколение;черный;седан;;;
BMW;X5;2018;4700000;https://auto.drom.ru/pskov/bmw/x5/50408367.html;;;;;Пскове;бензин, 2.0 л, гибрид;245 л.с., налог;АКПП;4WD;129 000 км;левый;3 поколение;черный;;;;
BMW;X3;2018;3590000;https://auto.drom.ru/himki/bmw/x3/54147542.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;82 976 км;левый;3 поколение;белый;;;;
BMW;X6;2018;4659000;https://auto.drom.ru/himki/bmw/x6/54147523.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;дизель, 3.0 л;313 л.с., налог;АКПП;4WD;133 253 км;левый;2 поколение;белый;;;;
BMW;5-Series;2018;3418253;https://auto.drom.ru/minsk/bmw/5-series/51952036.html;;;;;Минске;дизель, 3.0 л;265 л.с., налог;АКПП;задний;134 000 км;левый;7 поколение;;универсал;530d AT;;
BMW;3-Series;2018;2216921;https://auto.drom.ru/minsk/bmw/3-series/51965268.html;;;;;Минске;дизель, 2.0 л;190 л.с., налог;АКПП;задний;143 000 км;левый;6 поколение, рестайлинг;;седан;;;
BMW;5-Series;2018;4099000;https://auto.drom.ru/nizhniy-novgorod/bmw/5-series/50744010.html;Характеристики совпадают с ПТС;;Не числится в розыске;Ограничений не обнаружено;Нижнем Новгороде;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;115 547 км, без пробега по РФ;левый;7 поколение;черный;седан;530d AT xDrive;;
BMW;7-Series;2019;7750000;https://auto.drom.ru/kazan/bmw/7-series/615582871.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;140 000 км;левый;6 поколение, рестайлинг;серебристый;;730d AT xDrive Base;;
BMW;3-Series;2019;4140000;https://auto.drom.ru/moscow/bmw/3-series/733931765.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;265 л.с., налог;АКПП;задний;78 000 км;левый;7 поколение;серый;седан;330d AT Advantage;;
BMW;3-Series;2019;3200000;https://auto.drom.ru/donetsk/bmw/3-series/842301404.html;;;;;Донецке;бензин, 2.0 л;258 л.с., налог;АКПП;задний;23 000 км;левый;7 поколение;белый;седан;330i AT;;
