Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Пробег;Руль;Поколение;Цвет;Тип кузова;Комплектация;Особые отметки;VIN;
Mercedes-Benz;E-Class;2002;820000;https://auto.drom.ru/moscow/mercedes-benz/e-class/53538517.html;;;;;Москве;бензин, 3.2 л;224 л.с., налог;АКПП;задний;168 000 км;левый;3 поколение;черный;седан;E 320 AТ Elegance;;;
Mercedes-Benz;C-Class;2002;650000;https://auto.drom.ru/kazan/mercedes-benz/c-class/261932241.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;бензин, 1.8 л;163 л.с., налог;АКПП;задний;240 000 км;левый;2 поколение;серебристый;хэтчбек 3 дв.;;;;
Mercedes-Benz;E-Class;2002;450000;https://auto.drom.ru/kazan/mercedes-benz/e-class/52655052.html;Цвет не совпадает с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;дизель, 2.1 л;143 л.с., налог;АКПП;задний;446 000 км;левый;2 поколение, рестайлинг;черный;универсал;E 220 CDI AT Avantgarde;;;
Mercedes-Benz;M-Class;2002;699990;https://auto.drom.ru/spb/mercedes-benz/m-class/52101745.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 4.0 л;250 л.с., налог;АКПП;4WD;341 570 км;левый;1 поколение, рестайлинг;синий;;;;;
Mercedes-Benz;V-Class;2002;950000;https://auto.drom.ru/moscow/mercedes-benz/v-class/53550442.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.1 л;122 л.с., налог;АКПП;передний;330 000 км;левый;1 поколение, рестайлинг;серебристый;;;;;
Mercedes-Benz;G-Class;2003;3990000;https://auto.drom.ru/moscow/mercedes-benz/g-class/53115810.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 5.0 л;296 л.с., налог;АКПП;4WD;108 000 км;левый;2 поколение, 3 рестайлинг;черный;джип/suv 5 дв.;G 500;;;
Mercedes-Benz;Vito;2003;440000;https://auto.drom.ru/kostroma/mercedes-benz/vito/660321902.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Костроме;дизель, 2.1 л;82 л.с., налог;механика;передний;;левый;1 поколение;белый;;;;;
Mercedes-Benz;CLK-Class;2003;1050000;https://auto.drom.ru/volgograd/mercedes-benz/clk-class/285805876.html;Характеристики совпадают с ПТС;11 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Волгограде;бензин, 3.2 л;218 л.с., налог;АКПП;задний;194 000 км;левый;2 поколение;черный;купе;CLK 320 AT Elegance;;;
Mercedes-Benz;E-Class;2003;1500000;https://auto.drom.ru/spb/mercedes-benz/e-class/127823586.html;Объем двигателя, мощность двигателя не совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 5.0 л;306 л.с., налог;АКПП;задний;328 000 км;левый;3 поколение;черный;седан;E 500 AТ Avantgarde;;;
Mercedes-Benz;E-Class;2003;800000;https://auto.drom.ru/kaluga/mercedes-benz/e-class/53438055.html;Характеристики совпадают с ПТС;;Не числится в розыске;Ограничений не обнаружено;Калуге;бензин, 3.2 л;224 л.с., налог;АКПП;задний;340 000 км;левый;3 поколение;черный;седан;E 320 AТ Elegance;документы с проблемами или отсутствуют;;
Mercedes-Benz;S-Class;2003;300000;https://auto.drom.ru/tula/mercedes-benz/s-class/485511608.html;Характеристики совпадают с ПТС;12 записей о регистрации;Не числится в розыске;Есть ограничения;Туле;бензин, 5.0 л;306 л.с., налог;АКПП;задний;275 000 км;левый;4 поколение, рестайлинг;черный;седан;;документы с проблемами или отсутствуют;;
