Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;
BMW;2-Series Gran Tourer;2017;1800000;https://auto.drom.ru/kazan/bmw/2-series_gran_tourer/51377291.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;дизель, 1.5 л;116 л.с., налог;АКПП;передний;;черный;122 000 км;левый;1 поколение;216d AT;
BMW;5-Series;2017;3329000;https://auto.drom.ru/spb/bmw/5-series/54118925.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;серый;97 791 км;левый;;;
BMW;X1;2017;1819123;https://auto.drom.ru/spb/bmw/x1/53830434.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.5 л;136 л.с., налог;АКПП;передний;;белый;135 045 км;левый;2 поколение;;
BMW;5-Series;2017;3499999;https://auto.drom.ru/spb/bmw/5-series/53829203.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;черный;189 296 км;левый;;;
BMW;7-Series;2017;3950000;https://auto.drom.ru/spb/bmw/7-series/53233194.html;;;;;Санкт-Петербурге;бензин, 3.0 л;326 л.с., налог;АКПП;4WD;;синий;122 547 км;левый;6 поколение;;
BMW;4-Series;2017;2949000;https://auto.drom.ru/moscow/bmw/4-series/53029124.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;лифтбек;белый;125 543 км;левый;1 поколение;;
BMW;X6;2017;5177000;https://auto.drom.ru/moscow/bmw/x6/180939732.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;белый;98 000 км;левый;2 поколение;;
BMW;3-Series;2017;2650000;https://auto.drom.ru/moscow/bmw/3-series/310886019.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;задний;седан;белый;85 500 км;левый;6 поколение, рестайлинг;320d AT;
BMW;3-Series;2017;2747000;https://auto.drom.ru/moscow/bmw/3-series/857602012.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;черный;136 286 км;левый;6 поколение, рестайлинг;;
BMW;i3;2017;2149000;https://auto.drom.ru/spb/bmw/i3/672629524.html;Мощность двигателя не совпадает с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;гибрид;;автомат;задний;хэтчбек 5 дв.;белый;105 953 км;левый;1 поколение;;
BMW;3-Series;2017;2761000;https://auto.drom.ru/kazan/bmw/3-series/934937686.html;;;;;Казани;дизель, 2.0 л;190 л.с., налог;АКПП;задний;седан;белый;124 157 км;левый;6 поколение, рестайлинг;;
BMW;7-Series;2017;4250000;https://auto.drom.ru/spb/bmw/7-series/54100496.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;249 л.с., налог;автомат;задний;;черный;86 620 км;левый;;;
BMW;X1;2017;2129000;https://auto.drom.ru/moscow/bmw/x1/54099672.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.5 л;140 л.с., налог;робот;передний;;синий;75 961 км;левый;2 поколение;;
BMW;5-Series;2017;3800000;https://auto.drom.ru/moscow/bmw/5-series/809203185.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;249 л.с., налог;АКПП;4WD;седан;черный;118 395 км;левый;7 поколение;;
BMW;3-Series;2017;2529789;https://auto.drom.ru/spb/bmw/3-series/601805004.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;задний;седан;синий;134 201 км;левый;6 поколение, рестайлинг;;
BMW;X6;2017;4749000;https://auto.drom.ru/spb/bmw/x6/889331137.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;381 л.с., налог;АКПП;4WD;;черный;155 000 км;левый;2 поколение;;
BMW;2-Series;2017;1969000;https://auto.drom.ru/spb/bmw/2-series/376125941.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.5 л;136 л.с., налог;АКПП;задний;купе;серый;136 000 км;левый;1 поколение;;
BMW;X5;2017;5149000;https://auto.drom.ru/spb/bmw/x5/776312518.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;313 л.с., налог;АКПП;4WD;;белый;146 000 км;левый;3 поколение;;
BMW;1-Series;2017;1585000;https://auto.drom.ru/moscow/bmw/1-series/54098467.html;Цвет не совпадает с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;1.5 л;;автомат;;хэтчбек 5 дв.;коричневый;74 655 км;левый;2 поколение;;
BMW;X3;2017;3130000;https://auto.drom.ru/moscow/bmw/x3/473828853.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;серый;116 540 км;левый;;;
BMW;X1;2017;2376000;https://auto.drom.ru/himki/bmw/x1/54089029.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;бензин, 2.0 л;192 л.с., налог;автомат;4WD;;серый;99 100 км;левый;2 поколение;;
BMW;X1;2017;2221000;https://auto.drom.ru/spb/bmw/x1/54097062.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;150 л.с., налог;АКПП;4WD;;черный;122 000 км;левый;2 поколение;;
BMW;5-Series;2017;3390000;https://auto.drom.ru/moscow/bmw/5-series/54096732.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;249 л.с., налог;АКПП;4WD;седан;черный;83 338 км;левый;7 поколение;;
BMW;5-Series;2017;3489700;https://auto.drom.ru/moscow/bmw/5-series/53438001.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;задний;седан;черный;55 072 км;левый;;;
BMW;X5;2017;4230000;https://auto.drom.ru/moscow/bmw/x5/53437853.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;218 л.с., налог;АКПП;4WD;;черный;108 728 км;левый;3 поколение;xDrive 25d AT Business;
BMW;X6;2017;4890000;https://auto.drom.ru/kazan/bmw/x6/53431619.html;Цвет не совпадает с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;дизель, 3.0 л;381 л.с., налог;АКПП;4WD;;черный;118 303 км;левый;2 поколение;;
BMW;X1;2017;2150000;https://auto.drom.ru/moscow/bmw/x1/53424698.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.5 л;140 л.с., налог;робот;передний;;оранжевый;105 708 км;левый;2 поколение;;
