Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;;
BMW;3-Series;2020;4339000;https://auto.drom.ru/spb/bmw/3-series/53037847.html;;;;;Санкт-Петербурге;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;седан;серый;107 664 км;левый;7 поколение;;;;
BMW;Z4;2020;4790000;https://auto.drom.ru/spb/bmw/z4/52582295.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;197 л.с., налог;автомат;задний;купе;белый;16 476 км;левый;;;;;
BMW;X5;2020;8295000;https://auto.drom.ru/moscow/bmw/x5/51144152.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;белый;67 603 км;левый;4 поколение;;;;
BMW;3-Series;2020;5150000;https://auto.drom.ru/moscow/bmw/3-series/949346660.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;белый;31 791 км;левый;7 поколение;320d AT xDrive M Sport Pro;;;
BMW;X6;2020;8497000;https://auto.drom.ru/moscow/bmw/x6/516559275.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;белый;72 717 км;левый;3 поколение;xDrive 30d AT M Sport Pro;;;
BMW;X1;2020;3699789;https://auto.drom.ru/spb/bmw/x1/907110689.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;192 л.с., налог;автомат;4WD;;синий;65 000 км;левый;2 поколение, рестайлинг;;;;
BMW;X7;2020;8397000;https://auto.drom.ru/moscow/bmw/x7/789146992.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;;серый;93 000 км;левый;1 поколение;;;;
BMW;X1;2020;3749000;https://auto.drom.ru/moscow/bmw/x1/607585915.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;150 л.с., налог;АКПП;4WD;;серый;77 232 км;левый;2 поколение, рестайлинг;;;;
BMW;X7;2020;8000000;https://auto.drom.ru/moscow/bmw/x7/53672481.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;93 000 км;левый;1 поколение;xDrive30d AT Business Plus;;;
BMW;X5;2020;8450000;https://auto.drom.ru/moscow/bmw/x5/644208563.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;белый;61 918 км;левый;4 поколение;;;;
BMW;X5;2020;7390000;https://auto.drom.ru/moscow/bmw/x5/498957193.html;;;;;Москве;дизель, 3.0 л;286 л.с., налог;АКПП;4WD;;зеленый;25 000 км;левый;4 поколение;;;;
BMW;X5;2020;6500000;https://auto.drom.ru/minsk/bmw/x5/51730895.html;;;;;Минске;бензин, 3.0 л, гибрид;286 л.с., налог;АКПП;4WD;;белый;79 000 км;левый;4 поколение;;;;
BMW;X5;2020;7890000;https://auto.drom.ru/moscow/bmw/x5/864414570.html;;;;;Москве;дизель, 3.0 л;286 л.с., налог;АКПП;4WD;;белый;41 500 км, без пробега по РФ;левый;4 поколение;xDrive30d AT M Sport;;;
BMW;X5;2020;5650000;https://auto.drom.ru/minsk/bmw/x5/54116925.html;;;;;Минске;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;;серый;167 000 км;левый;4 поколение;;;;
BMW;X4;2020;5300000;https://auto.drom.ru/moscow/bmw/x4/269671686.html;;;;;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;;белый;34 000 км;левый;2 поколение;;;;
BMW;5-Series;2020;6180000;https://auto.drom.ru/moscow/bmw/5-series/53738003.html;;;;;Москве;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;седан;черный;36 000 км, без пробега по РФ;левый;7 поколение;530d AT xDrive;;;
BMW;X5;2020;9970000;https://auto.drom.ru/voronezh/bmw/x5/949117766.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Воронеже;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;117 814 км;левый;4 поколение;;;;
BMW;X7;2020;9790000;https://auto.drom.ru/kazan/bmw/x7/623075665.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;дизель, 3.0 л;400 л.с., налог;АКПП;4WD;;черный;89 500 км;левый;1 поколение;M50d AT Special by Individual;;;
BMW;X2;2020;2915000;https://auto.drom.ru/moscow/bmw/x2/52623844.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.5 л;140 л.с., налог;робот;передний;;черный;89 200 км;левый;1 поколение;;;;
BMW;X7;2020;9537000;https://auto.drom.ru/moscow/bmw/x7/598892716.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;400 л.с., налог;АКПП;4WD;;черный;85 262 км;левый;1 поколение;M50d AT Special;;;
BMW;5-Series;2020;4467000;https://auto.drom.ru/moscow/bmw/5-series/54118804.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;белый;49 232 км;левый;7 поколение;;;;
BMW;5-Series;2020;4754000;https://auto.drom.ru/moscow/bmw/5-series/53826861.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;249 л.с., налог;АКПП;4WD;седан;черный;43 808 км;левый;7 поколение;;;;
BMW;X3;2020;4765000;https://auto.drom.ru/moscow/bmw/x3/53822048.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;;коричневый;72 000 км;левый;3 поколение;;;;
BMW;X4;2020;5150000;https://auto.drom.ru/moscow/bmw/x4/53452684.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;;черный;61 000 км;левый;2 поколение;;;;
BMW;5-Series;2020;6395000;https://auto.drom.ru/moscow/bmw/5-series/53033643.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;седан;серый;84 306 км;левый;7 поколение;;;;
BMW;X3;2020;5300000;https://auto.drom.ru/spb/bmw/x3/53031782.html;;;;;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;серый;71 235 км;левый;3 поколение;;;;
BMW;2-Series;2020;3150000;https://auto.drom.ru/spb/bmw/2-series/53020136.html;;;;;Санкт-Петербурге;бензин, 2.0 л;231 л.с., налог;автомат;4WD;седан;черный;3 063 км;левый;;;;;
BMW;5-Series;2020;3600000;https://auto.drom.ru/moscow/bmw/5-series/52581579.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;седан;черный;115 000 км;левый;7 поколение;520i AT Base;;;
BMW;X2;2020;2679000;https://auto.drom.ru/moscow/bmw/x2/52579561.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.5 л;140 л.с., налог;робот;передний;;черный;46 400 км;левый;1 поколение;;;;
BMW;5-Series;2020;5450000;https://auto.drom.ru/moscow/bmw/5-series/52572207.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;седан;черный;86 257 км;левый;7 поколение;;;;
BMW;X5;2020;7499000;https://auto.drom.ru/voronezh/bmw/x5/51344544.html;;;;;Воронеже;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;;серый;62 402 км;левый;4 поколение;;;;
BMW;X6;2020;8620000;https://auto.drom.ru/spb/bmw/x6/827284384.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;белый;86 141 км;левый;3 поколение;xDrive 30d AT M Sport Pro;;;
BMW;X5;2020;8070000;https://auto.drom.ru/moscow/bmw/x5/245419862.html;;;;;Москве;бензин, 3.0 л, гибрид;394 л.с., налог;автомат;4WD;;синий;61 700 км, без пробега по РФ;левый;4 поколение;;;;
BMW;X3;2020;4150000;https://auto.drom.ru/spb/bmw/x3/240134134.html;;;;;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;серый;72 000 км;левый;3 поколение;xDrive 20d AT Urban;;;
BMW;X6;2020;11072645;https://auto.drom.ru/minsk/bmw/x6/54109571.html;Мощность двигателя не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Минске;бензин, 4.4 л;450 л.с., налог;АКПП;4WD;;синий;11 043 км;левый;2 поколение;xDrive 50i AT;;;
BMW;5-Series;2020;6650000;https://auto.drom.ru/moscow/bmw/5-series/54106870.html;;;;;Москве;дизель, 3.0 л;286 л.с., налог;АКПП;4WD;универсал;серый;35 558 км, без пробега по РФ;левый;7 поколение, рестайлинг;530d AT xDrive;;;
BMW;5-Series;2020;6850000;https://auto.drom.ru/himki/bmw/5-series/52092407.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;дизель, 3.0 л;340 л.с., налог;АКПП;4WD;седан;черный;46 499 км;левый;7 поколение, рестайлинг;540d AT xDrive;;;
BMW;5-Series;2020;4450000;https://auto.drom.ru/moscow/bmw/5-series/52331679.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;серый;36 400 км;левый;7 поколение;;;;
BMW;X4;2020;4990000;https://auto.drom.ru/moscow/bmw/x4/54106902.html;;;;;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;;серый;49 872 км;левый;2 поколение;;;;
BMW;5-Series;2020;4790000;https://auto.drom.ru/spb/bmw/5-series/54105068.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;черный;48 000 км;левый;7 поколение;520d AT xDrive M Sport;;;
BMW;X1;2020;3270000;https://auto.drom.ru/saratov/bmw/x1/54104455.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Саратове;дизель, 2.0 л;150 л.с., налог;АКПП;4WD;;черный;66 839 км;левый;2 поколение, рестайлинг;xDrive 18d AT Advantage;;;
BMW;X1;2020;3195000;https://auto.drom.ru/spb/bmw/x1/448582068.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.5 л;140 л.с., налог;робот;передний;;синий;59 851 км;левый;2 поколение, рестайлинг;;;;
BMW;X6;2020;9235000;https://auto.drom.ru/moscow/bmw/x6/53450650.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;белый;85 039 км;левый;;;;;
BMW;X6;2020;10490000;https://auto.drom.ru/kazan/bmw/x6/53010256.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;48 452 км;левый;;;;;
BMW;3-Series;2020;3250000;https://auto.drom.ru/moscow/bmw/3-series/53009405.html;;;;;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;задний;универсал;черный;105 000 км;левый;7 поколение;320d AT Sport Line;документы с проблемами или отсутствуют;;
BMW;X6;2020;10500000;https://auto.drom.ru/moscow/bmw/x6/53008266.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;зеленый;31 500 км;левый;3 поколение;xDrive 30d AT Exclusive;;;
BMW;1-Series;2020;2727999;https://auto.drom.ru/moscow/bmw/1-series/52125466.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Есть ограничения;Москве;дизель, 2.0 л;150 л.с., налог;АКПП;передний;хэтчбек 5 дв.;серый;22 000 км;правый;3 поколение;118d Play Edition Joy Plus;;;
BMW;7-Series;2020;6299000;https://auto.drom.ru/moscow/bmw/7-series/559032815.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;89 000 км;левый;6 поколение, рестайлинг;;;;
BMW;X6;2023;14600000;https://auto.drom.ru/spb/bmw/x6/319074914.html;;;;;Санкт-Петербурге;бензин, 3.0 л;381 л.с., налог;АКПП;4WD;;черный;30 км;левый;3 поколение, рестайлинг;xDrive40i AT M Sport;;;
BMW;X5;2023;13990000;https://auto.drom.ru/moscow/bmw/x5/637091323.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;белый;43 км, без пробега по РФ;левый;4 поколение, рестайлинг;xDrive30d AT;;;
BMW;X5;2023;14500000;https://auto.drom.ru/himki/bmw/x5/53783867.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;белый;новый автомобиль;левый;4 поколение, рестайлинг;;;WBA**************;
BMW;3-Series;2023;5900000;https://auto.drom.ru/himki/bmw/3-series/53780914.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;бензин, 2.0 л;156 л.с., налог;АКПП;задний;универсал;черный;новый автомобиль;левый;7 поколение, рестайлинг;318i AT Base;;WBA**************;
BMW;X6;2023;16599000;https://auto.drom.ru/spb/bmw/x6/52975981.html;;;;;Санкт-Петербурге;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;синий;20 км;левый;3 поколение, рестайлинг;xDrive30d AT M Sport;;;
BMW;X5;2023;13900000;https://auto.drom.ru/himki/bmw/x5/52862884.html;;;;;Химках;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;;черный;новый автомобиль;левый;4 поколение;xDrive 40i AT Base;;WBA**************;
BMW;5-Series;2023;10200000;https://auto.drom.ru/moscow/bmw/5-series/487412293.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;197 л.с., налог;автомат;4WD;седан;черный;новый автомобиль;левый;;;;WBA**************;
BMW;X6;2023;13650000;https://auto.drom.ru/moscow/bmw/x6/53633309.html;;;;;Москве;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;;черный;новый автомобиль;левый;3 поколение;xDrive 40i AT Base;;5UX**************;
BMW;X5;2023;11900000;https://auto.drom.ru/moscow/bmw/x5/53635968.html;;;;;Москве;бензин, 3.0 л;333 л.с., налог;АКПП;4WD;;черный;16 км;левый;4 поколение;xDrive40i AT;;;
BMW;X6;2023;13900000;https://auto.drom.ru/moscow/bmw/x6/53837076.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;белый;новый автомобиль;левый;3 поколение, рестайлинг;xDrive30d AT M Sport;;WBA**************;
BMW;X5;2023;13899000;https://auto.drom.ru/moscow/bmw/x5/269780367.html;;;;;Москве;бензин, 3.0 л;381 л.с., налог;АКПП;4WD;;серый;316 км;левый;4 поколение, рестайлинг;;;;
BMW;X6;2023;12500000;https://auto.drom.ru/moscow/bmw/x6/54067203.html;;;;;Москве;дизель, 3.0 л;286 л.с., налог;АКПП;4WD;;синий;15 500 км, без пробега по РФ;левый;3 поколение;;;;
BMW;M3;2023;19490000;https://auto.drom.ru/moscow/bmw/m3/54067199.html;;;;;Москве;бензин, 3.0 л;550 л.с., налог;автомат;4WD;седан;белый;23 км, без пробега по РФ;левый;;;;;
BMW;5-Series;2023;8812796;https://auto.drom.ru/moscow/bmw/5-series/54066411.html;;;;;Москве;дизель, 2.0 л;195 л.с., налог;АКПП;задний;седан;белый;новый автомобиль;левый;7 поколение, рестайлинг;520d AT Base;;WBA**************;
BMW;5-Series;2023;9379296;https://auto.drom.ru/moscow/bmw/5-series/54066412.html;;;;;Москве;дизель, 2.0 л;195 л.с., налог;АКПП;4WD;седан;черный;новый автомобиль;левый;7 поколение, рестайлинг;520d AT xDrive Base;;WBA**************;
BMW;5-Series;2023;9379296;https://auto.drom.ru/moscow/bmw/5-series/54066415.html;;;;;Москве;дизель, 2.0 л;195 л.с., налог;АКПП;4WD;седан;черный;новый автомобиль;левый;7 поколение, рестайлинг;520d AT xDrive Base;;WBA**************;
BMW;5-Series;2023;9224796;https://auto.drom.ru/moscow/bmw/5-series/54066402.html;;;;;Москве;дизель, 2.0 л;195 л.с., налог;АКПП;4WD;седан;белый;новый автомобиль;левый;7 поколение, рестайлинг;520d AT xDrive Base;;WBA**************;
BMW;5-Series;2023;9224796;https://auto.drom.ru/moscow/bmw/5-series/54066403.html;;;;;Москве;дизель, 2.0 л;195 л.с., налог;АКПП;4WD;седан;белый;новый автомобиль;левый;7 поколение, рестайлинг;520d AT xDrive Base;;WBA**************;
BMW;5-Series;2023;8812796;https://auto.drom.ru/moscow/bmw/5-series/54066406.html;;;;;Москве;дизель, 2.0 л;195 л.с., налог;АКПП;задний;седан;белый;новый автомобиль;левый;7 поколение, рестайлинг;520d AT Base;;WBA**************;
BMW;X5;2023;14500000;https://auto.drom.ru/spb/bmw/x5/54066284.html;;;;;Санкт-Петербурге;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;коричневый;55 км;левый;4 поколение, рестайлинг;;;;
BMW;X6;2023;15400000;https://auto.drom.ru/moscow/bmw/x6/54064902.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;серый;новый автомобиль;левый;3 поколение, рестайлинг;xDrive30d AT M Sport;;WBA**************;
BMW;X6;2023;13953250;https://auto.drom.ru/moscow/bmw/x6/54064907.html;Цвет не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;черный;новый автомобиль;левый;3 поколение, рестайлинг;xDrive30d AT M Sport;;WBA**************;
BMW;X5;2023;14700000;https://auto.drom.ru/moscow/bmw/x5/54058577.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;черный;новый автомобиль;левый;4 поколение, рестайлинг;xDrive30d AT;;WBA**************;
BMW;X6;2023;19500000;https://auto.drom.ru/moscow/bmw/x6/54058564.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;синий;новый автомобиль;левый;3 поколение, рестайлинг;xDrive30d AT M Sport;;WBA**************;
BMW;X6;2023;19500000;https://auto.drom.ru/moscow/bmw/x6/54058566.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;серый;новый автомобиль;левый;3 поколение, рестайлинг;xDrive30d AT M Sport;;WBA**************;
BMW;X5;2023;12374495;https://auto.drom.ru/moscow/bmw/x5/54058396.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;серый;новый автомобиль;левый;4 поколение, рестайлинг;;;WBA**************;
BMW;5-Series;2023;9379296;https://auto.drom.ru/himki/bmw/5-series/54057989.html;;;;;Химках;дизель, 2.0 л;195 л.с., налог;АКПП;4WD;седан;черный;новый автомобиль;левый;7 поколение, рестайлинг;520d AT xDrive Base;;WBA**************;
BMW;5-Series;2023;9379296;https://auto.drom.ru/himki/bmw/5-series/54057990.html;;;;;Химках;дизель, 2.0 л;195 л.с., налог;АКПП;4WD;седан;черный;новый автомобиль;левый;7 поколение, рестайлинг;520d AT xDrive Base;;WBA**************;
BMW;5-Series;2023;9379296;https://auto.drom.ru/himki/bmw/5-series/54057993.html;;;;;Химках;дизель, 2.0 л;195 л.с., налог;АКПП;4WD;седан;черный;новый автомобиль;левый;7 поколение, рестайлинг;520d AT xDrive Base;;WBA**************;
BMW;5-Series;2023;9224796;https://auto.drom.ru/himki/bmw/5-series/54057964.html;;;;;Химках;дизель, 2.0 л;195 л.с., налог;АКПП;4WD;седан;белый;новый автомобиль;левый;7 поколение, рестайлинг;520d AT xDrive Base;;WBA**************;
BMW;5-Series;2023;9224796;https://auto.drom.ru/himki/bmw/5-series/54057967.html;;;;;Химках;дизель, 2.0 л;195 л.с., налог;АКПП;4WD;седан;белый;новый автомобиль;левый;7 поколение, рестайлинг;520d AT xDrive Base;;WBA**************;
BMW;5-Series;2023;9224796;https://auto.drom.ru/himki/bmw/5-series/54057973.html;;;;;Химках;дизель, 2.0 л;195 л.с., налог;АКПП;4WD;седан;белый;новый автомобиль;левый;7 поколение, рестайлинг;520d AT xDrive Base;;WBA**************;
BMW;5-Series;2023;9224796;https://auto.drom.ru/himki/bmw/5-series/54057974.html;;;;;Химках;дизель, 2.0 л;195 л.с., налог;АКПП;4WD;седан;белый;новый автомобиль;левый;7 поколение, рестайлинг;520d AT xDrive Base;;WBA**************;
BMW;5-Series;2023;8812796;https://auto.drom.ru/himki/bmw/5-series/54057976.html;;;;;Химках;дизель, 2.0 л;195 л.с., налог;АКПП;задний;седан;белый;новый автомобиль;левый;7 поколение, рестайлинг;520d AT Base;;WBA**************;
BMW;5-Series;2023;8812796;https://auto.drom.ru/himki/bmw/5-series/54057979.html;;;;;Химках;дизель, 2.0 л;195 л.с., налог;АКПП;задний;седан;белый;новый автомобиль;левый;7 поколение, рестайлинг;520d AT Base;;WBA**************;
BMW;5-Series;2023;8812796;https://auto.drom.ru/himki/bmw/5-series/54057980.html;;;;;Химках;дизель, 2.0 л;195 л.с., налог;АКПП;задний;седан;белый;новый автомобиль;левый;7 поколение, рестайлинг;520d AT Base;;WBA**************;
BMW;5-Series;2023;8812796;https://auto.drom.ru/himki/bmw/5-series/54057983.html;;;;;Химках;дизель, 2.0 л;195 л.с., налог;АКПП;задний;седан;белый;новый автомобиль;левый;7 поколение, рестайлинг;520d AT Base;;WBA**************;
BMW;5-Series;2023;9379296;https://auto.drom.ru/himki/bmw/5-series/54057986.html;;;;;Химках;дизель, 2.0 л;195 л.с., налог;АКПП;4WD;седан;черный;новый автомобиль;левый;7 поколение, рестайлинг;520d AT xDrive Base;;WBA**************;
BMW;X5;2023;12790000;https://auto.drom.ru/moscow/bmw/x5/53756514.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;синий;100 км;левый;4 поколение, рестайлинг;;;;
BMW;X6;2023;15540000;https://auto.drom.ru/spb/bmw/x6/462962284.html;;;;;Санкт-Петербурге;бензин, 3.0 л;381 л.с., налог;АКПП;4WD;;черный;49 км;левый;3 поколение, рестайлинг;xDrive40i AT M Sport;;;
BMW;X5;2023;12467115;https://auto.drom.ru/moscow/bmw/x5/53712436.html;;;;;Москве;бензин, 3.0 л;381 л.с., налог;АКПП;4WD;;серый;новый автомобиль;левый;4 поколение, рестайлинг;xDrive40i AT M Sport;;5UX**************;
BMW;XM;2023;18931545;https://auto.drom.ru/moscow/bmw/xm/53708811.html;;;;;Москве;бензин, 4.4 л, гибрид;653 л.с., налог;автомат;4WD;;серый;новый автомобиль;левый;1 поколение;;;5YM**************;
BMW;X5;2023;19393290;https://auto.drom.ru/moscow/bmw/x5/53707224.html;;;;;Москве;бензин, 4.4 л;617 л.с., налог;АКПП;4WD;;серый;новый автомобиль;левый;4 поколение, рестайлинг;M Competition;;5YM**************;
BMW;X6;2023;20316780;https://auto.drom.ru/moscow/bmw/x6/54015825.html;;;;;Москве;бензин, 4.4 л;617 л.с., налог;АКПП;4WD;;белый;новый автомобиль;левый;3 поколение, рестайлинг;M AT Competition;;5YM**************;
BMW;X7;2023;14314095;https://auto.drom.ru/moscow/bmw/x7/54026094.html;;;;;Москве;бензин, 3.0 л;381 л.с., налог;АКПП;4WD;;черный;новый автомобиль;левый;1 поколение, рестайлинг;xDrive40i AT;;5UX**************;
BMW;X7;2023;14230981;https://auto.drom.ru/moscow/bmw/x7/54026426.html;;;;;Москве;бензин, 3.0 л;381 л.с., налог;АКПП;4WD;;зеленый;новый автомобиль;левый;1 поколение, рестайлинг;xDrive40i AT;;5UX**************;
BMW;X7;2023;14314095;https://auto.drom.ru/moscow/bmw/x7/54026614.html;;;;;Москве;бензин, 3.0 л;381 л.с., налог;АКПП;4WD;;серый;новый автомобиль;левый;1 поколение, рестайлинг;xDrive40i AT;;5UX**************;
BMW;X7;2023;14314095;https://auto.drom.ru/moscow/bmw/x7/54030051.html;;;;;Москве;бензин, 3.0 л;381 л.с., налог;АКПП;4WD;;черный;новый автомобиль;левый;1 поколение, рестайлинг;xDrive40i AT;;5UX**************;
BMW;X5;2023;15237585;https://auto.drom.ru/moscow/bmw/x5/54031726.html;Электронный ПТС не выдавался;;;;Москве;бензин, 4.4 л;530 л.с., налог;АКПП;4WD;;серый;8 000 км, без пробега по РФ;левый;4 поколение, рестайлинг;M60i AT;;;
BMW;X7;2023;14314095;https://auto.drom.ru/moscow/bmw/x7/54031825.html;;;;;Москве;бензин, 3.0 л;381 л.с., налог;АКПП;4WD;;зеленый;новый автомобиль;левый;1 поколение, рестайлинг;xDrive40i AT;;5UX**************;
BMW;X7;2023;14498793;https://auto.drom.ru/moscow/bmw/x7/53753680.html;;;;;Москве;бензин, 3.0 л;381 л.с., налог;АКПП;4WD;;серый;новый автомобиль;левый;1 поколение, рестайлинг;xDrive40i AT;;5UX**************;
BMW;X5;2023;15884028;https://auto.drom.ru/moscow/bmw/x5/53366731.html;;;;;Москве;бензин, 4.4 л;530 л.с., налог;АКПП;4WD;;черный;новый автомобиль;левый;4 поколение, рестайлинг;M60i AT;;5UX**************;
BMW;X6;2023;14510000;https://auto.drom.ru/moscow/bmw/x6/53761178.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;черный;30 км;левый;3 поколение, рестайлинг;xDrive30d AT M Sport;;;
BMW;7-Series;2023;17990000;https://auto.drom.ru/spb/bmw/7-series/53759918.html;;;;;Санкт-Петербурге;дизель, 3.0 л;286 л.с., налог;автомат;4WD;;серый;22 км;левый;;;;;
BMW;X5;2023;12190000;https://auto.drom.ru/moscow/bmw/x5/53374205.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;серый;20 км;левый;4 поколение, рестайлинг;;;;
BMW;X5;2023;14850000;https://auto.drom.ru/moscow/bmw/x5/53374214.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;черный;40 км;левый;4 поколение, рестайлинг;;;;
BMW;X5;2023;15380000;https://auto.drom.ru/moscow/bmw/x5/52936766.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;белый;новый автомобиль;левый;4 поколение, рестайлинг;;;WBA**************;
