Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;;
BMW;X1;2019;3450000;https://auto.drom.ru/penza/bmw/x1/54149579.html;Характеристики совпадают с ПТС;;Не числится в розыске;Ограничений не обнаружено;Пензе;бензин, 2.0 л;192 л.с., налог;АКПП;4WD;;черный;54 000 км;левый;2 поколение, рестайлинг;xDrive 20i AT Advantage;;;
BMW;X5;2019;5800000;https://auto.drom.ru/moscow/bmw/x5/54149007.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;160 000 км;левый;4 поколение;xDrive 30d AT Business Plus;;;
BMW;4-Series;2019;2232000;https://auto.drom.ru/pskov/bmw/4-series/54148977.html;;;;;Пскове;бензин, 1.5 л;136 л.с., налог;автомат;задний;лифтбек;черный;56 000 км, без пробега по РФ;левый;1 поколение, рестайлинг;;;;
BMW;X3;2019;3720000;https://auto.drom.ru/ivanovo/bmw/x3/52613269.html;;;;;Иваново;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;;черный;87 719 км;левый;3 поколение;;;;
BMW;1-Series;2019;2221000;https://auto.drom.ru/himki/bmw/1-series/54147533.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;бензин, 1.5 л;136 л.с., налог;АКПП;задний;хэтчбек 5 дв.;оранжевый;65 774 км;левый;2 поколение;;;;
BMW;X4;2019;4589000;https://auto.drom.ru/himki/bmw/x4/52607599.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;бензин, 3.0 л;360 л.с., налог;АКПП;4WD;;белый;25 237 км;левый;2 поколение;xDrive M40i AT Base;;;
BMW;X4;2019;3998000;https://auto.drom.ru/nizhniy-novgorod/bmw/x4/52158199.html;Характеристики совпадают с ПТС;;Не числится в розыске;Ограничений не обнаружено;Нижнем Новгороде;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;белый;81 000 км;левый;2 поколение;;;;
BMW;X2;2019;3369000;https://auto.drom.ru/volgograd/bmw/x2/54146790.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Волгограде;дизель, 2.0 л;150 л.с., налог;АКПП;передний;;черный;143 694 км;левый;1 поколение;sDrive 18d AT Base;;;
BMW;X4;2019;4900000;https://auto.drom.ru/moscow/bmw/x4/53856104.html;;;;;Москве;дизель, 3.0 л;326 л.с., налог;АКПП;4WD;;синий;92 910 км;левый;2 поколение;xDrive M40d AT Base;;;
BMW;5-Series;2019;3697000;https://auto.drom.ru/ulyanovsk/bmw/5-series/54146103.html;Характеристики совпадают с ПТС;;Не числится в розыске;Ограничений не обнаружено;Ульяновске;дизель, 2.0 л;190 л.с., налог;АКПП;задний;седан;черный;94 200 км;левый;7 поколение;520d AT Executive;;;
BMW;5-Series;2020;5450000;https://auto.drom.ru/moscow/bmw/5-series/781838333.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;седан;белый;60 000 км;левый;7 поколение;530d AT xDrive M Sport Pro;;;
BMW;5-Series;2020;6350000;https://auto.drom.ru/moscow/bmw/5-series/464642307.html;;;;;Москве;дизель, 3.0 л;286 л.с., налог;АКПП;4WD;седан;серый;49 990 км, без пробега по РФ;левый;7 поколение, рестайлинг;530d AT xDrive;;;
BMW;X5;2020;6950000;https://auto.drom.ru/nizhniy-novgorod/bmw/x5/54154802.html;;;;;Нижнем Новгороде;дизель, 2.0 л;231 л.с., налог;АКПП;4WD;;черный;67 000 км, без пробега по РФ;левый;4 поколение;xDrive25d AT;;;
BMW;X5;2020;7198000;https://auto.drom.ru/moscow/bmw/x5/53865590.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;белый;22 088 км;левый;4 поколение;;;;
BMW;6-Series Gran Turismo;2020;5790000;https://auto.drom.ru/moscow/bmw/6-series_gran_turismo/53858148.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;249 л.с., налог;АКПП;задний;;синий;85 000 км;левый;1 поколение;;;;
BMW;3-Series;2020;5290000;https://auto.drom.ru/moscow/bmw/3-series/53402129.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л, гибрид;184 л.с., налог;АКПП;4WD;седан;серый;9 530 км;левый;7 поколение;330e AT xDrive M Sport;;;
BMW;X6;2020;9380000;https://auto.drom.ru/moscow/bmw/x6/52620117.html;;;;;Москве;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;;белый;50 500 км;левый;3 поколение;;;;
BMW;3-Series;2020;5200000;https://auto.drom.ru/spb/bmw/3-series/396847759.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;черный;50 000 км;левый;7 поколение;320d AT xDrive M Sport Pro;;;
BMW;X6;2020;10700000;https://auto.drom.ru/spb/bmw/x6/700968474.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 4.4 л;625 л.с., налог;АКПП;4WD;;черный;73 000 км;левый;3 поколение;M Competition M Special;;;
BMW;5-Series;2020;5100000;https://auto.drom.ru/moscow/bmw/5-series/481561117.html;;;;;Москве;дизель, 3.0 л;286 л.с., налог;АКПП;задний;универсал;серый;64 732 км, без пробега по РФ;левый;7 поколение, рестайлинг;530d AT;;;
BMW;2-Series;2020;1916242;https://auto.drom.ru/minsk/bmw/2-series/53483982.html;;;;;Минске;дизель, 1.5 л;116 л.с., налог;автомат;передний;купе;;163 000 км;левый;1 поколение, рестайлинг;;;;
BMW;X5;2020;7550000;https://auto.drom.ru/kazan/bmw/x5/894102743.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;белый;125 000 км;левый;4 поколение;;;;
BMW;5-Series;2020;4500000;https://auto.drom.ru/spb/bmw/5-series/456639683.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;249 л.с., налог;АКПП;4WD;седан;черный;101 000 км;левый;7 поколение;530i AT xDrive M Sport;;;
BMW;X1;2020;2216284;https://auto.drom.ru/minsk/bmw/x1/195576230.html;;;;;Минске;дизель, 2.0 л;150 л.с., налог;АКПП;передний;;черный;122 000 км;левый;2 поколение, рестайлинг;sDrive18d AT xLine;;;
BMW;X3;2020;4690000;https://auto.drom.ru/spb/bmw/x3/186893821.html;;;;;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;черный;62 707 км;левый;3 поколение;;;;
BMW;X5;2020;7890000;https://auto.drom.ru/spb/bmw/x5/140971173.html;;;;;Санкт-Петербурге;дизель, 3.0 л;400 л.с., налог;АКПП;4WD;;серый;63 815 км, без пробега по РФ;левый;4 поколение;;;;
BMW;X5;2020;8790000;https://auto.drom.ru/spb/bmw/x5/870019557.html;;;;;Санкт-Петербурге;дизель, 3.0 л;400 л.с., налог;АКПП;4WD;;черный;58 800 км, без пробега по РФ;левый;4 поколение;;;;
BMW;X6;2020;9390000;https://auto.drom.ru/spb/bmw/x6/170699393.html;;;;;Санкт-Петербурге;дизель, 3.0 л;400 л.с., налог;АКПП;4WD;;зеленый;49 328 км, без пробега по РФ;левый;3 поколение;;;;
