Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Пробег;Руль;Поколение;Цвет;Тип кузова;Комплектация;Особые отметки;VIN;
BMW;X5;2023;16600000;https://auto.drom.ru/moscow/bmw/x5/413521534.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;новый автомобиль;левый;4 поколение, рестайлинг;серый;;xDrive30d AT;;LFP**************;
BMW;X5;2023;15500000;https://auto.drom.ru/moscow/bmw/x5/937883312.html;Цвет не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;новый автомобиль;левый;4 поколение, рестайлинг;черный;;xDrive30d AT;;WBA**************;
BMW;X5;2023;15500000;https://auto.drom.ru/moscow/bmw/x5/899467233.html;Цвет не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;новый автомобиль;левый;4 поколение, рестайлинг;черный;;;;WBA**************;
BMW;X6;2023;17333642;https://auto.drom.ru/moscow/bmw/x6/798401243.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;новый автомобиль;левый;3 поколение, рестайлинг;черный;;xDrive30d AT M Sport;;WBA**************;
BMW;X6;2023;15728420;https://auto.drom.ru/moscow/bmw/x6/402734494.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;новый автомобиль;левый;3 поколение, рестайлинг;синий;;xDrive30d AT M Sport;;WBA**************;
BMW;X6;2023;15510000;https://auto.drom.ru/moscow/bmw/x6/167312096.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;новый автомобиль;левый;3 поколение, рестайлинг;белый;;xDrive30d AT M Sport;;WBA**************;
BMW;X6;2023;17778000;https://auto.drom.ru/moscow/bmw/x6/397991723.html;;;;;Москве;бензин, 3.0 л;381 л.с., налог;АКПП;4WD;новый автомобиль;левый;3 поколение, рестайлинг;черный;;xDrive40i AT M Sport;;WBA**************;
BMW;X6;2023;15400000;https://auto.drom.ru/moscow/bmw/x6/151840862.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;новый автомобиль;левый;3 поколение, рестайлинг;серый;;xDrive30d AT M Sport;;WBA**************;
BMW;X6;2023;17750000;https://auto.drom.ru/moscow/bmw/x6/426427759.html;;;;;Москве;бензин, 3.0 л;381 л.с., налог;АКПП;4WD;новый автомобиль;левый;3 поколение, рестайлинг;белый;;xDrive40i AT M Sport;;WBA**************;
BMW;X3;2023;9000000;https://auto.drom.ru/moscow/bmw/x3/937799089.html;;;;;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;новый автомобиль;левый;3 поколение, рестайлинг;черный;;;;LBV**************;
BMW;X7;2023;20990000;https://auto.drom.ru/moscow/bmw/x7/53638367.html;;;;;Москве;;;автомат;;новый автомобиль;левый;1 поколение, рестайлинг;;;;;WBA**************;
BMW;X7;2023;20990000;https://auto.drom.ru/moscow/bmw/x7/53637071.html;;;;;Москве;;;автомат;;новый автомобиль;левый;1 поколение, рестайлинг;;;;;WBA**************;
BMW;X5;2023;13820000;https://auto.drom.ru/moscow/bmw/x5/53192720.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;16 км;левый;4 поколение, рестайлинг;синий;;;;;
BMW;X6;2023;13870000;https://auto.drom.ru/moscow/bmw/x6/53192726.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;19 км;левый;3 поколение, рестайлинг;серый;;xDrive30d AT M Sport;;;
BMW;7-Series;2023;19800000;https://auto.drom.ru/moscow/bmw/7-series/51519277.html;Электронный ПТС выдан;;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;256 л.с., налог;АКПП;4WD;50 км, без пробега по РФ;левый;7 поколение;серый;;740d xDrive;;;
BMW;X5;2023;12000000;https://auto.drom.ru/saratov/bmw/x5/228885048.html;;;;;Саратове;бензин, 3.0 л;381 л.с., налог;АКПП;4WD;17 км, без пробега по РФ;левый;4 поколение, рестайлинг;белый;;;;;
BMW;X5;2023;14100000;https://auto.drom.ru/moscow/bmw/x5/53088696.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;новый автомобиль;левый;4 поколение, рестайлинг;синий;;xDrive30d AT M Sport Pro;;WBA**************;
