Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;VIN;
BMW;M4;2023;13750000;https://auto.drom.ru/moscow/bmw/m4/913101004.html;;;;;Москве;бензин, 3.0 л;510 л.с., налог;АКПП;4WD;открытый;синий;37 км;левый;2 поколение;3.0 AT xDrive Competition;;;
BMW;X7;2023;14750000;https://auto.drom.ru/minsk/bmw/x7/51638518.html;Мощность двигателя не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Минске;бензин, 3.0 л;340 л.с., налог;автомат;4WD;;серый;новый автомобиль;левый;1 поколение, рестайлинг;;;5UX**************;
BMW;X6;2023;22350000;https://auto.drom.ru/spb/bmw/x6/414507247.html;;;;;Санкт-Петербурге;бензин, 4.4 л;625 л.с., налог;АКПП;4WD;;черный;3 500 км;левый;3 поколение;;;;
BMW;7-Series;2023;17084565;https://auto.drom.ru/minsk/bmw/7-series/54040706.html;;;;;Минске;дизель, 3.0 л;256 л.с., налог;АКПП;4WD;;серый;50 км;левый;7 поколение;740d xDrive;;;
BMW;X6;2023;12790000;https://auto.drom.ru/spb/bmw/x6/649392635.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;340 л.с., налог;АКПП;4WD;;белый;7 736 км;левый;3 поколение;xDrive 40d AT M Sport Pro;;;
BMW;7-Series;2023;16600000;https://auto.drom.ru/moscow/bmw/7-series/52925793.html;;;;;Москве;дизель, 3.0 л;286 л.с., налог;автомат;4WD;;серый;86 км;левый;;;;;
BMW;X5;2023;14050000;https://auto.drom.ru/moscow/bmw/x5/52928143.html;Мощность двигателя не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;синий;новый автомобиль;левый;4 поколение;xDrive 30d AT M Sport;;WBA**************;
BMW;X3;2023;9450000;https://auto.drom.ru/moscow/bmw/x3/52928130.html;;;;;Москве;бензин, 2.0 л;245 л.с., налог;АКПП;4WD;;белый;новый автомобиль;левый;3 поколение, рестайлинг;;;WBA**************;
BMW;X7;2023;17500000;https://auto.drom.ru/moscow/bmw/x7/52928166.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;340 л.с., налог;автомат;4WD;;черный;новый автомобиль;левый;;;;WBA**************;
BMW;X6;2023;14750000;https://auto.drom.ru/moscow/bmw/x6/52928100.html;;;;;Москве;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;;белый;новый автомобиль;левый;3 поколение;xDrive 40i AT Base;;WBA**************;
BMW;X6;2023;14400000;https://auto.drom.ru/moscow/bmw/x6/52928156.html;;;;;Москве;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;;белый;новый автомобиль;левый;3 поколение;xDrive 40i AT Base;;WBA**************;
BMW;X6;2023;14250000;https://auto.drom.ru/moscow/bmw/x6/52928050.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;286 л.с., налог;АКПП;4WD;;белый;новый автомобиль;левый;3 поколение;xDrive30d;;WBA**************;
BMW;X6;2023;14400000;https://auto.drom.ru/moscow/bmw/x6/52928165.html;Цвет не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;286 л.с., налог;АКПП;4WD;;черный;новый автомобиль;левый;3 поколение;xDrive30d;;WBA**************;
BMW;X5;2023;15900000;https://auto.drom.ru/moscow/bmw/x5/52928118.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;серый;новый автомобиль;левый;4 поколение, рестайлинг;;;WBA**************;
BMW;X5;2023;16100000;https://auto.drom.ru/moscow/bmw/x5/52928145.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;черный;новый автомобиль;левый;4 поколение, рестайлинг;;;WBA**************;
BMW;X5;2023;14480000;https://auto.drom.ru/moscow/bmw/x5/52928153.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;черный;новый автомобиль;левый;4 поколение, рестайлинг;;;WBA**************;
BMW;X5;2023;16100000;https://auto.drom.ru/moscow/bmw/x5/52928149.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;черный;новый автомобиль;левый;4 поколение, рестайлинг;;;WBA**************;
BMW;X5;2023;16600000;https://auto.drom.ru/moscow/bmw/x5/52928154.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;серый;новый автомобиль;левый;4 поколение, рестайлинг;;;WBA**************;
BMW;X5;2023;13500000;https://auto.drom.ru/moscow/bmw/x5/52928140.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;;белый;новый автомобиль;левый;4 поколение;xDrive 40i AT Base;;WBA**************;
BMW;X6;2023;12950000;https://auto.drom.ru/moscow/bmw/x6/53677433.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;белый;28 км, без пробега по РФ;левый;3 поколение, рестайлинг;xDrive30d AT M Sport;;;
BMW;X6;2023;13550000;https://auto.drom.ru/moscow/bmw/x6/53677412.html;;;;;Москве;бензин, 3.0 л;381 л.с., налог;АКПП;4WD;;серый;24 км;левый;3 поколение, рестайлинг;xDrive40i AT M Sport;;;
BMW;M3;2023;18990000;https://auto.drom.ru/moscow/bmw/m3/53677381.html;;;;;Москве;бензин, 3.0 л;550 л.с., налог;автомат;4WD;седан;серый;23 км;левый;;;;;
BMW;M5;2023;18300000;https://auto.drom.ru/moscow/bmw/m5/460203453.html;;;;;Москве;бензин, 4.4 л;625 л.с., налог;АКПП;4WD;седан;синий;новый автомобиль;левый;6 поколение, рестайлинг;4.4 AT xDrive M 50 Years Special Edition;;WBS**************;
BMW;X6;2023;17755900;https://auto.drom.ru/moscow/bmw/x6/54036926.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;зеленый;новый автомобиль;левый;3 поколение, рестайлинг;xDrive30d AT M Sport;;WBA**************;
BMW;X5;2023;15115100;https://auto.drom.ru/moscow/bmw/x5/54036893.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;черный;новый автомобиль;левый;4 поколение, рестайлинг;;;WBA**************;
BMW;X5;2023;16100000;https://auto.drom.ru/moscow/bmw/x5/54034720.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;черный;новый автомобиль;левый;4 поколение, рестайлинг;;;WBA**************;
BMW;5-Series;2023;13500000;https://auto.drom.ru/moscow/bmw/5-series/54034676.html;;;;;Москве;дизель, 2.0 л;197 л.с., налог;автомат;4WD;седан;черный;новый автомобиль;левый;;;;WAU**************;
BMW;X5;2023;14540000;https://auto.drom.ru/moscow/bmw/x5/53756510.html;;;;;Москве;бензин, 3.0 л;381 л.с., налог;АКПП;4WD;;серый;155 км;левый;4 поколение, рестайлинг;;;;
BMW;X3;2023;8650000;https://auto.drom.ru/moscow/bmw/x3/53754325.html;;;;;Москве;бензин, 2.0 л;245 л.с., налог;АКПП;4WD;;;новый автомобиль;левый;3 поколение, рестайлинг;;;LBV**************;
BMW;X6;2023;13290000;https://auto.drom.ru/moscow/bmw/x6/53360376.html;;;;;Москве;бензин, 3.0 л;381 л.с., налог;АКПП;4WD;;черный;292 км;левый;3 поколение, рестайлинг;xDrive40i AT M Sport;;;
BMW;X5;2023;15400000;https://auto.drom.ru/himki/bmw/x5/52917110.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;;черный;новый автомобиль;левый;4 поколение, рестайлинг;;;WBA**************;
