Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;
BMW;X3;2014;2049550;https://auto.drom.ru/spb/bmw/x3/53585747.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;184 л.с., налог;АКПП;4WD;;коричневый;171 300 км;левый;2 поколение;;;
BMW;X3;2014;2600000;https://auto.drom.ru/moscow/bmw/x3/834136324.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;2.0 л;;автомат;;;серый;68 000 км;левый;2 поколение;;;
BMW;X3;2014;2455450;https://auto.drom.ru/moscow/bmw/x3/53937588.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;245 л.с., налог;АКПП;4WD;;черный;111 737 км;левый;2 поколение;;;
BMW;X3;2014;2150000;https://auto.drom.ru/kirov/bmw/x3/53935160.html;Характеристики совпадают с ПТС;8 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Кирове;дизель, 2.0 л;184 л.с., налог;АКПП;4WD;;синий;152 000 км;левый;2 поколение;xDrive 20d AT;;
BMW;3-Series;2014;2080000;https://auto.drom.ru/tula/bmw/3-series/53581550.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Туле;дизель, 2.0 л;184 л.с., налог;АКПП;4WD;седан;белый;114 600 км;левый;6 поколение;320d AT xDrive Modern Line;;
BMW;X3;2014;2400000;https://auto.drom.ru/vologda/bmw/x3/53545966.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Вологде;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;белый;210 000 км;левый;2 поколение, рестайлинг;xDrive 20d AT;;
BMW;3-Series;2014;1415000;https://auto.drom.ru/moscow/bmw/3-series/53928847.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;седан;синий;209 581 км;левый;6 поколение;;;
BMW;X1;2014;1430000;https://auto.drom.ru/kazan/bmw/x1/53925237.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;бензин, 2.0 л;150 л.с., налог;АКПП;задний;;белый;154 503 км;левый;1 поколение, рестайлинг;;;
BMW;X3;2014;2400000;https://auto.drom.ru/spb/bmw/x3/53919004.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;серый;199 638 км;левый;2 поколение, рестайлинг;xDrive 20d AT;;
BMW;7-Series;2014;2400000;https://auto.drom.ru/minsk/bmw/7-series/53572021.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Минске;дизель, 3.0 л;258 л.с., налог;АКПП;4WD;;серый;190 000 км;левый;5 поколение, рестайлинг;730d AT xDrive;;
BMW;X3;2014;2290000;https://auto.drom.ru/ulyanovsk/bmw/x3/336532019.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Ульяновске;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;черный;201 600 км;левый;2 поколение, рестайлинг;xDrive 20d AT;;
BMW;X1;2014;1678000;https://auto.drom.ru/himki/bmw/x1/53552426.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;;белый;119 340 км;левый;1 поколение, рестайлинг;;;
BMW;X5;2014;3450000;https://auto.drom.ru/moscow/bmw/x5/706153565.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;серый;174 882 км;левый;3 поколение;;;
BMW;X1;2014;1410000;https://auto.drom.ru/moscow/bmw/x1/779398048.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;;черный;150 361 км;левый;1 поколение, рестайлинг;;;
BMW;3-Series;2014;1899000;https://auto.drom.ru/moscow/bmw/3-series/53916173.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;седан;черный;134 179 км;левый;6 поколение;;;
BMW;3-Series;2014;1800000;https://auto.drom.ru/moscow/bmw/3-series/53910224.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;седан;серый;140 583 км;левый;6 поколение;;;
