Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Пробег;Руль;Поколение;Цвет;Тип кузова;Комплектация;Особые отметки;VIN;
BMW;X5;2023;19350000;https://auto.drom.ru/moscow/bmw/x5/53488961.html;;;;;Москве;бензин, 4.4 л;625 л.с., налог;АКПП;4WD;новый автомобиль;левый;4 поколение, рестайлинг;белый;;M Competition;;5YM**************;
BMW;X5;2023;13950000;https://auto.drom.ru/moscow/bmw/x5/52056516.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;новый автомобиль;левый;4 поколение, рестайлинг;белый;;xDrive30d AT M Sport;;WBA**************;
BMW;X5;2023;13950000;https://auto.drom.ru/moscow/bmw/x5/52053843.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;новый автомобиль;левый;4 поколение, рестайлинг;черный;;xDrive30d AT M Sport;;WBA**************;
BMW;X6;2023;14200000;https://auto.drom.ru/moscow/bmw/x6/52056431.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;новый автомобиль;левый;3 поколение, рестайлинг;белый;;xDrive30d AT M Sport;;WBA**************;
BMW;X5;2023;12800000;https://auto.drom.ru/moscow/bmw/x5/53613735.html;;;;;Москве;бензин, 3.0 л;381 л.с., налог;АКПП;4WD;новый автомобиль;левый;4 поколение, рестайлинг;серебристый;;xDrive40i AT;;WBA**************;
BMW;4-Series;2023;5650000;https://auto.drom.ru/moscow/bmw/4-series/53874877.html;;;;;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;125 км;правый;2 поколение;черный;открытый;420i;;;
BMW;X5;2023;16600000;https://auto.drom.ru/moscow/bmw/x5/53873035.html;;;;;Москве;дизель, 3.0 л;352 л.с., налог;автомат;4WD;новый автомобиль;левый;;черный;;;;WBA**************;
BMW;X6;2023;17250000;https://auto.drom.ru/moscow/bmw/x6/53873027.html;;;;;Москве;дизель, 3.0 л;340 л.с., налог;АКПП;4WD;новый автомобиль;левый;3 поколение;серый;;;;WBA**************;
BMW;X5;2023;16550000;https://auto.drom.ru/moscow/bmw/x5/53504758.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;8 км;левый;4 поколение, рестайлинг;черный;;;;;
BMW;X5;2023;13950000;https://auto.drom.ru/himki/bmw/x5/52622166.html;;;;;Химках;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;новый автомобиль;левый;4 поколение;синий;;xDrive 40i AT Base;;WBA**************;
BMW;X5;2023;13900000;https://auto.drom.ru/himki/bmw/x5/52622132.html;;;;;Химках;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;новый автомобиль;левый;4 поколение;белый;;xDrive 40i AT Base;;WBA**************;
BMW;X5;2023;14100000;https://auto.drom.ru/himki/bmw/x5/52622151.html;;;;;Химках;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;новый автомобиль;левый;4 поколение;черный;;xDrive 40i AT Base;;WBA**************;
BMW;X5;2023;13045208;https://auto.drom.ru/moscow/bmw/x5/51778762.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;новый автомобиль;левый;4 поколение, рестайлинг;белый;;xDrive30d AT;;WBA**************;
BMW;X5;2023;14490000;https://auto.drom.ru/moscow/bmw/x5/54153701.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;27 км;левый;4 поколение, рестайлинг;черный;;;;;
BMW;X7;2023;15986965;https://auto.drom.ru/moscow/bmw/x7/54149211.html;;;;;Москве;бензин, 4.4 л;530 л.с., налог;АКПП;4WD;15 000 км, без пробега по РФ;левый;1 поколение, рестайлинг;белый;;M60i AT;;;
BMW;X6;2023;15986965;https://auto.drom.ru/moscow/bmw/x6/54149025.html;;;;;Москве;бензин, 4.4 л;523 л.с., налог;АКПП;4WD;новый автомобиль;левый;3 поколение, рестайлинг;черный;;M60i AT;;5UX**************;
BMW;X6;2023;13399479;https://auto.drom.ru/moscow/bmw/x6/54148908.html;;;;;Москве;бензин, 3.0 л;381 л.с., налог;АКПП;4WD;1 800 км, без пробега по РФ;левый;3 поколение, рестайлинг;черный;;xDrive40i AT M Sport;;;
BMW;X5;2023;11800000;https://auto.drom.ru/moscow/bmw/x5/53856255.html;;;;;Москве;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;118 км;левый;4 поколение, рестайлинг;белый;;xDrive30d AT;;;
BMW;X3;2023;9050000;https://auto.drom.ru/moscow/bmw/x3/53856260.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;новый автомобиль;левый;3 поколение, рестайлинг;белый;;xDrive 20d AT Base;;WBA**************;
BMW;5-Series;2023;10819000;https://auto.drom.ru/moscow/bmw/5-series/53416440.html;;;;;Москве;дизель, 2.0 л;188 л.с., налог;АКПП;4WD;новый автомобиль;левый;8 поколение;черный;седан;520d AT xDrive M Sport Pro;;WBA**************;
BMW;X6;2024;13700000;https://auto.drom.ru/zhukovskiy/bmw/x6/827841321.html;;;;;Жуковском;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;новый автомобиль;левый;3 поколение, рестайлинг;;;xDrive30d AT M Sport;;WBA**************;
BMW;X5;2024;13900000;https://auto.drom.ru/zhukovskiy/bmw/x5/190454547.html;;;;;Жуковском;дизель, 3.0 л;298 л.с., налог;АКПП;4WD;новый автомобиль;левый;4 поколение, рестайлинг;;;;;WBA**************;
Audi;80;1980;220000;https://auto.drom.ru/volzhskiy/audi/80/582348182.html;;;Не числится в розыске;Ограничений не обнаружено;Волжском;бензин, 1.6 л;75 л.с., налог;механика;передний;109 108 км;левый;2 поколение;белый;седан;;требуется ремонт или не на ходу;;
Audi;100;1982;75000;https://auto.drom.ru/cherepovets/audi/100/900412371.html;Объем двигателя не совпадает с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Череповце;бензин, 1.6 л;86 л.с., налог;механика;передний;174 000 км;левый;2 поколение, рестайлинг;коричневый;седан;;;;
Audi;100;1983;90000;https://auto.drom.ru/kostroma/audi/100/54085020.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Костроме;бензин, 1.8 л;75 л.с., налог;механика;передний;300 000 км;левый;3 поколение;синий;седан;1.8 MT;требуется ремонт или не на ходу;;
Audi;100;1983;40000;https://auto.drom.ru/nizhniy-novgorod/audi/100/853781888.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Нижнем Новгороде;бензин, 2.1 л;131 л.с., налог;механика;передний;236 000 км;левый;3 поколение;бежевый;седан;2.1 MT;требуется ремонт или не на ходу;;
Audi;100;1983;75000;https://auto.drom.ru/liski/audi/100/53953348.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Лисках;бензин, 1.8 л;75 л.с., налог;механика;передний;207 401 км;левый;3 поколение;красный;седан;1.8 MT;требуется ремонт или не на ходу;;
Audi;100;1983;100000;https://auto.drom.ru/volgograd/audi/100/54150271.html;Объем двигателя не совпадает с ПТС;;Не числится в розыске;Ограничений не обнаружено;Волгограде;бензин, 1.8 л;75 л.с., налог;механика;передний;100 000 км;левый;3 поколение;белый;седан;1.8 MT;;;
Audi;100;1984;120000;https://auto.drom.ru/smolensk/audi/100/618164826.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Смоленске;бензин, 1.8 л;75 л.с., налог;механика;передний;350 000 км;левый;3 поколение;черный;седан;1.8 MT;;;
Audi;100;1984;64900;https://auto.drom.ru/rossosh/audi/100/52526477.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Россоши;бензин, 1.8 л;75 л.с., налог;механика;передний;550 000 км;левый;3 поколение;белый;седан;1.8 MT;;;
Audi;100;1984;79000;https://auto.drom.ru/bryansk/audi/100/699663939.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Брянске;бензин, 2.2 л;138 л.с., налог;механика;передний;527 000 км;левый;3 поколение;золотистый;седан;2.2 MT;;;
Audi;100;1984;50000;https://auto.drom.ru/bor/audi/100/54034062.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Боре;бензин, 1.8 л;75 л.с., налог;механика;передний;200 000 км;левый;3 поколение;серый;седан;1.8 MT;;;
Audi;80;1984;88000;https://auto.drom.ru/saratov/audi/80/53969212.html;Объем двигателя, мощность двигателя не совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Саратове;бензин, 1.8 л;115 л.с., налог;механика;передний;126 000 км;левый;2 поколение, рестайлинг;зеленый;седан;;;;
