Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Пробег;Руль;Поколение;Цвет;Тип кузова;Комплектация;Особые отметки;VIN;
Mercedes-Benz;V-Class;2018;5200000;https://auto.drom.ru/moscow/mercedes-benz/v-class/465198229.html;;;;;Москве;дизель, 2.1 л;190 л.с., налог;АКПП;4WD;260 000 км;левый;3 поколение;черный;;;;;
Mercedes-Benz;E-Class;2018;2500000;https://auto.drom.ru/moscow/mercedes-benz/e-class/53918386.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;197 152 км;левый;5 поколение;черный;седан;;;;
Mercedes-Benz;GLC;2018;4150000;https://auto.drom.ru/kazan/mercedes-benz/glc-class/53914423.html;Модель не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;дизель, 2.1 л;170 л.с., налог;АКПП;4WD;97 126 км;левый;1 поколение;черный;;GLC 220d 4MATIC "Особая серия";;;
Mercedes-Benz;GLS-Class;2018;6150000;https://auto.drom.ru/spb/mercedes-benz/gls-class/53139542.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;84 037 км;левый;1 поколение;белый;;350 d 4MATIC Особая серия;;;
Mercedes-Benz;E-Class;2018;2650000;https://auto.drom.ru/moscow/mercedes-benz/e-class/52261270.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;227 276 км;левый;5 поколение;черный;седан;;;;
Mercedes-Benz;E-Class;2018;2500000;https://auto.drom.ru/moscow/mercedes-benz/e-class/52261271.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;164 495 км;левый;5 поколение;черный;седан;;;;
Mercedes-Benz;E-Class;2018;2500000;https://auto.drom.ru/moscow/mercedes-benz/e-class/52249169.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;217 845 км;левый;5 поколение;черный;седан;;;;
Mercedes-Benz;E-Class;2018;3390000;https://auto.drom.ru/moscow/mercedes-benz/e-class/419125414.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;145 400 км;левый;5 поколение;серебристый;седан;;;;
Mercedes-Benz;A-Class;2018;2169000;https://auto.drom.ru/spb/mercedes-benz/a-class/392415537.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.3 л;150 л.с., налог;робот;передний;78 106 км;левый;4 поколение;черный;хэтчбек 5 дв.;;;;
Mercedes-Benz;C-Class;2018;3770000;https://auto.drom.ru/moscow/mercedes-benz/c-class/50329124.html;;;;;Москве;бензин, 1.6 л;150 л.с., налог;АКПП;задний;62 000 км;левый;4 поколение;серый;открытый;C 180 Особая серия;;;
Mercedes-Benz;C-Class;2018;3899000;https://auto.drom.ru/yaroslavl/mercedes-benz/c-class/53335224.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Ярославле;бензин, 1.5 л, гибрид;184 л.с., налог;АКПП;4WD;68 532 км;левый;4 поколение, рестайлинг;синий;седан;C 200 4MATIC Sport;;;
Mercedes-Benz;E-Class;2018;3000000;https://auto.drom.ru/moscow/mercedes-benz/e-class/53131215.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;206 920 км;левый;5 поколение;черный;седан;;;;
Mercedes-Benz;E-Class;2018;2500000;https://auto.drom.ru/moscow/mercedes-benz/e-class/53131217.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;233 806 км;левый;5 поколение;черный;седан;;;;
Mercedes-Benz;E-Class;2018;2500000;https://auto.drom.ru/moscow/mercedes-benz/e-class/52674676.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;204 305 км;левый;5 поколение;черный;седан;;;;
Mercedes-Benz;E-Class;2018;2500000;https://auto.drom.ru/moscow/mercedes-benz/e-class/52674680.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;213 346 км;левый;5 поколение;черный;седан;;;;
Mercedes-Benz;E-Class;2018;2500000;https://auto.drom.ru/moscow/mercedes-benz/e-class/52674687.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;212 584 км;левый;5 поколение;черный;седан;;;;
Mercedes-Benz;Vito;2018;3100000;https://auto.drom.ru/vologda/mercedes-benz/vito/736502739.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Вологде;дизель, 1.6 л;114 л.с., налог;механика;передний;92 300 км;левый;3 поколение;белый;;111 CDI MT Сверхдлинный Pro;;;
Mercedes-Benz;E-Class;2018;2500000;https://auto.drom.ru/moscow/mercedes-benz/e-class/52335129.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;216 133 км;левый;5 поколение;черный;седан;;;;
Mercedes-Benz;E-Class;2018;2500000;https://auto.drom.ru/moscow/mercedes-benz/e-class/53110129.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;179 383 км;левый;5 поколение;черный;седан;;;;
Mercedes-Benz;E-Class;2018;2195000;https://auto.drom.ru/moscow/mercedes-benz/e-class/53110133.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;237 858 км;левый;5 поколение;черный;седан;;;;
Mercedes-Benz;E-Class;2018;3049000;https://auto.drom.ru/spb/mercedes-benz/e-class/52668429.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;149 000 км;левый;5 поколение;черный;седан;;;;
Mercedes-Benz;E-Class;2018;2500000;https://auto.drom.ru/moscow/mercedes-benz/e-class/52657493.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;246 284 км;левый;5 поколение;черный;седан;;;;
Mercedes-Benz;E-Class;2018;2500000;https://auto.drom.ru/moscow/mercedes-benz/e-class/52657495.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;217 160 км;левый;5 поколение;черный;седан;;;;
Mercedes-Benz;E-Class;2018;2500000;https://auto.drom.ru/moscow/mercedes-benz/e-class/52657497.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;204 129 км;левый;5 поколение;черный;седан;;;;
