Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Пробег;Руль;Поколение;Цвет;Тип кузова;Комплектация;Особые отметки;VIN;
Mercedes-Benz;CLS-Class;2014;3100000;https://auto.drom.ru/moscow/mercedes-benz/cls-class/304747853.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;333 л.с., налог;АКПП;4WD;120 000 км;левый;2 поколение, рестайлинг;серебристый;седан;CLS 400 4MATIC;;;
Mercedes-Benz;C-Class;2014;2570000;https://auto.drom.ru/moscow/mercedes-benz/c-class/53656499.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.6 л;156 л.с., налог;АКПП;задний;114 500 км;левый;4 поколение;коричневый;седан;C 180 AT AMG Line;;;
Mercedes-Benz;B-Class;2014;1650000;https://auto.drom.ru/moscow/mercedes-benz/b-class/288241506.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.6 л;122 л.с., налог;робот;передний;91 000 км;левый;2 поколение;белый;;B 180 DCT;;;
Mercedes-Benz;M-Class;2014;2840000;https://auto.drom.ru/moscow/mercedes-benz/m-class/798339338.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;333 л.с., налог;АКПП;4WD;135 965 км;левый;3 поколение;белый;;;;;
Mercedes-Benz;G-Class;2014;7000000;https://auto.drom.ru/nizhniy-novgorod/mercedes-benz/g-class/53461964.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Нижнем Новгороде;бензин, 5.5 л;544 л.с., налог;АКПП;4WD;108 000 км;левый;2 поколение, 6 рестайлинг;коричневый;джип/suv 5 дв.;G 63 AMG;;;
Mercedes-Benz;E-Class;2014;1569841;https://auto.drom.ru/minsk/mercedes-benz/e-class/53200982.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Минске;бензин, 2.0 л;184 л.с., налог;АКПП;задний;149 567 км;левый;4 поколение, рестайлинг;черный;седан;;;;
Mercedes-Benz;CLS-Class;2014;2480000;https://auto.drom.ru/moscow/mercedes-benz/cls-class/53622902.html;Цвет не совпадает с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.1 л;204 л.с., налог;АКПП;задний;135 000 км;левый;2 поколение;бежевый;седан;CLS 250 CDI AT;;;
Mercedes-Benz;C-Class;2014;2200000;https://auto.drom.ru/moscow/mercedes-benz/c-class/53245161.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.6 л;156 л.с., налог;АКПП;задний;155 000 км;левый;3 поколение, рестайлинг;синий;купе;C 180 AT;;;
Mercedes-Benz;Viano;2014;3200000;https://auto.drom.ru/moscow/mercedes-benz/viano/53968296.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.1 л;;автомат;4WD;223 000 км;левый;2 поколение, рестайлинг;черный;;;;;
Mercedes-Benz;C-Class;2014;1739444;https://auto.drom.ru/spb/mercedes-benz/c-class/53649151.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.6 л;156 л.с., налог;АКПП;задний;101 338 км;левый;3 поколение, рестайлинг;белый;купе;;;;
Mercedes-Benz;S-Class;2014;4800000;https://auto.drom.ru/moscow/mercedes-benz/s-class/53238072.html;;;;;Москве;дизель, 3.0 л;258 л.с., налог;АКПП;4WD;32 000 км;левый;6 поколение;черный;седан;;;;
