Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Пробег;Руль;Поколение;Цвет;Тип кузова;Комплектация;Особые отметки;VIN;
Mercedes-Benz;GLE;2023;21958540;https://auto.drom.ru/moscow/mercedes-benz/gle-class/227359629.html;;;;;Москве;дизель, 3.0 л;367 л.с., налог;автомат;4WD;новый автомобиль;левый;;серый;;;;W1N**************;
Mercedes-Benz;GLE Coupe;2023;20317891;https://auto.drom.ru/moscow/mercedes-benz/gle_coupe/174188404.html;;;;;Москве;дизель, 3.0 л;370 л.с., налог;АКПП;4WD;новый автомобиль;левый;2 поколение, рестайлинг;черный;;;;W1N**************;
Mercedes-Benz;CLE-Class;2023;11250000;https://auto.drom.ru/moscow/mercedes-benz/cle-class/430272654.html;;;;;Москве;бензин, 2.0 л;204 л.с., налог;АКПП;задний;новый автомобиль;левый;1 поколение;серый;купе;;;W1K**************;
Mercedes-Benz;AMG GT;2023;32449120;https://auto.drom.ru/moscow/mercedes-benz/amg_gt/610088841.html;;;;;Москве;бензин, 4.0 л;843 л.с., налог;автомат;4WD;новый автомобиль;левый;;серый;лифтбек;;;W1K**************;
Mercedes-Benz;S-Class;2023;42799198;https://auto.drom.ru/moscow/mercedes-benz/s-class/482276473.html;;;;;Москве;4.0 л;802 л.с., налог;автомат;4WD;новый автомобиль;левый;;черный;седан;;;W1K**************;
Mercedes-Benz;S-Class;2023;23900120;https://auto.drom.ru/moscow/mercedes-benz/s-class/820721720.html;;;;;Москве;бензин, 3.0 л;367 л.с., налог;АКПП;4WD;новый автомобиль;левый;7 поколение;черный;седан;;;W1K**************;
Mercedes-Benz;EQE SUV;2023;12825000;https://auto.drom.ru/moscow/mercedes-benz/eqe_suv/315013390.html;;;;;Москве;электро;;автомат;4WD;новый автомобиль;левый;1 поколение;серый;;;;LE4**************;
Mercedes-Benz;GLE Coupe;2023;13390000;https://auto.drom.ru/moscow/mercedes-benz/gle_coupe/636149855.html;;;;;Москве;дизель, 2.9 л;330 л.с., налог;АКПП;4WD;1 300 км;левый;2 поколение;черный;;;;;
Mercedes-Benz;GLE;2023;12500000;https://auto.drom.ru/moscow/mercedes-benz/gle-class/141601152.html;;;;;Москве;бензин, 2.0 л;258 л.с., налог;АКПП;4WD;новый автомобиль;левый;2 поколение;черный;;GLE 350 4MATIC;;4JG**************;
Mercedes-Benz;V-Class;2023;17987350;https://auto.drom.ru/moscow/mercedes-benz/v-class/188772712.html;;;;;Москве;дизель, 2.0 л;237 л.с., налог;автомат;4WD;новый автомобиль;левый;;черный;;;;W1V**************;
Mercedes-Benz;V-Class;2023;17987350;https://auto.drom.ru/moscow/mercedes-benz/v-class/220951649.html;;;;;Москве;дизель, 2.0 л;237 л.с., налог;автомат;4WD;новый автомобиль;левый;;черный;;;;W1V**************;
Mercedes-Benz;V-Class;2023;17987350;https://auto.drom.ru/moscow/mercedes-benz/v-class/262183963.html;;;;;Москве;дизель, 2.0 л;237 л.с., налог;автомат;4WD;новый автомобиль;левый;;черный;;;;W1V**************;
Mercedes-Benz;V-Class;2023;17987350;https://auto.drom.ru/moscow/mercedes-benz/v-class/386521419.html;;;;;Москве;дизель, 2.0 л;237 л.с., налог;автомат;4WD;новый автомобиль;левый;;черный;;;;W1V**************;
Mercedes-Benz;V-Class;2023;17987350;https://auto.drom.ru/moscow/mercedes-benz/v-class/552493418.html;;;;;Москве;дизель, 2.0 л;237 л.с., налог;автомат;4WD;новый автомобиль;левый;;черный;;;;W1V**************;
Mercedes-Benz;G-Class;2023;35900120;https://auto.drom.ru/moscow/mercedes-benz/g-class/170719648.html;;;;;Москве;бензин, 4.0 л;585 л.с., налог;робот;4WD;новый автомобиль;левый;3 поколение;черный;джип/suv 5 дв.;G 63 AMG;;W1N**************;
Mercedes-Benz;G-Class;2023;34450320;https://auto.drom.ru/moscow/mercedes-benz/g-class/221549094.html;;;;;Москве;бензин, 4.0 л;585 л.с., налог;робот;4WD;новый автомобиль;левый;3 поколение;черный;джип/suv 5 дв.;G 63 AMG;;W1N**************;
Mercedes-Benz;G-Class;2023;35775320;https://auto.drom.ru/moscow/mercedes-benz/g-class/782463319.html;;;;;Москве;бензин, 4.0 л;585 л.с., налог;робот;4WD;новый автомобиль;левый;3 поколение;черный;джип/suv 5 дв.;G 63 AMG;;W1N**************;
Mercedes-Benz;G-Class;2023;38570679;https://auto.drom.ru/moscow/mercedes-benz/g-class/916783520.html;;;;;Москве;бензин, 4.0 л;585 л.с., налог;робот;4WD;новый автомобиль;левый;3 поколение;коричневый;джип/suv 5 дв.;G 63 AMG;;W1N**************;
Mercedes-Benz;G-Class;2023;35900120;https://auto.drom.ru/moscow/mercedes-benz/g-class/491110277.html;;;;;Москве;бензин, 4.0 л;585 л.с., налог;робот;4WD;новый автомобиль;левый;3 поколение;черный;джип/suv 5 дв.;G 63 AMG;;W1N**************;
Mercedes-Benz;GLS-Class;2023;21000000;https://auto.drom.ru/moscow/mercedes-benz/gls-class/581614257.html;;;;;Москве;дизель, 3.0 л;367 л.с., налог;автомат;4WD;новый автомобиль;левый;;черный;;;;W1N**************;
Mercedes-Benz;GLS-Class;2023;20800000;https://auto.drom.ru/moscow/mercedes-benz/gls-class/358188503.html;;;;;Москве;дизель, 3.0 л;367 л.с., налог;автомат;4WD;новый автомобиль;левый;;черный;;;;W1N**************;
Mercedes-Benz;GLE Coupe;2023;29748673;https://auto.drom.ru/moscow/mercedes-benz/gle_coupe/219774526.html;;;;;Москве;бензин, 4.0 л;612 л.с., налог;АКПП;4WD;новый автомобиль;левый;2 поколение;серый;;;;W1N**************;
Mercedes-Benz;GLE Coupe;2023;20477100;https://auto.drom.ru/moscow/mercedes-benz/gle_coupe/821069279.html;;;;;Москве;дизель, 3.0 л;370 л.с., налог;АКПП;4WD;новый автомобиль;левый;2 поколение, рестайлинг;черный;;;;W1N**************;
Mercedes-Benz;GLE Coupe;2023;18999000;https://auto.drom.ru/moscow/mercedes-benz/gle_coupe/183286411.html;;;;;Москве;дизель, 3.0 л;370 л.с., налог;АКПП;4WD;новый автомобиль;левый;2 поколение, рестайлинг;черный;;;;W1N**************;
Mercedes-Benz;GLE Coupe;2023;13720000;https://auto.drom.ru/moscow/mercedes-benz/gle_coupe/145950805.html;;;;;Москве;дизель, 2.9 л;330 л.с., налог;АКПП;4WD;новый автомобиль;левый;2 поколение;зеленый;;;;W1N**************;
Mercedes-Benz;GLE Coupe;2023;17266166;https://auto.drom.ru/moscow/mercedes-benz/gle_coupe/452136198.html;;;;;Москве;дизель, 2.0 л;269 л.с., налог;АКПП;4WD;новый автомобиль;левый;2 поколение, рестайлинг;черный;;;;W1N**************;
Mercedes-Benz;GLE Coupe;2023;16981455;https://auto.drom.ru/moscow/mercedes-benz/gle_coupe/698154850.html;;;;;Москве;дизель, 2.0 л;269 л.с., налог;АКПП;4WD;новый автомобиль;левый;2 поколение, рестайлинг;черный;;;;W1N**************;
Mercedes-Benz;GLE Coupe;2023;17278016;https://auto.drom.ru/moscow/mercedes-benz/gle_coupe/748882745.html;;;;;Москве;дизель, 2.0 л;269 л.с., налог;АКПП;4WD;новый автомобиль;левый;2 поколение, рестайлинг;черный;;;;W1N**************;
Mercedes-Benz;GLE Coupe;2023;17258403;https://auto.drom.ru/moscow/mercedes-benz/gle_coupe/775149256.html;;;;;Москве;дизель, 2.0 л;269 л.с., налог;АКПП;4WD;новый автомобиль;левый;2 поколение, рестайлинг;серый;;;;W1N**************;
Mercedes-Benz;GLE;2023;22250000;https://auto.drom.ru/moscow/mercedes-benz/gle-class/264120893.html;;;;;Москве;бензин, 4.0 л;612 л.с., налог;АКПП;4WD;новый автомобиль;левый;2 поколение;серебристый;;AMG GLE 63 S 4MATIC+;;W1N**************;
Mercedes-Benz;GLE;2023;19997334;https://auto.drom.ru/moscow/mercedes-benz/gle-class/711754811.html;;;;;Москве;дизель, 3.0 л;367 л.с., налог;автомат;4WD;новый автомобиль;левый;;серый;;;;W1N**************;
Mercedes-Benz;GLE;2023;21486230;https://auto.drom.ru/moscow/mercedes-benz/gle-class/931921068.html;;;;;Москве;дизель, 3.0 л;367 л.с., налог;автомат;4WD;новый автомобиль;левый;;черный;;;;W1N**************;
Mercedes-Benz;GLE;2023;21958540;https://auto.drom.ru/moscow/mercedes-benz/gle-class/843240040.html;;;;;Москве;дизель, 3.0 л;367 л.с., налог;автомат;4WD;новый автомобиль;левый;;серый;;;;W1N**************;
Mercedes-Benz;GLE Coupe;2023;20317891;https://auto.drom.ru/moscow/mercedes-benz/gle_coupe/153525841.html;;;;;Москве;дизель, 3.0 л;370 л.с., налог;АКПП;4WD;новый автомобиль;левый;2 поколение, рестайлинг;черный;;;;W1N**************;
Mercedes-Benz;SL-Class;2023;25975120;https://auto.drom.ru/moscow/mercedes-benz/sl-class/576222165.html;;;;;Москве;бензин, 2.0 л;381 л.с., налог;АКПП;задний;новый автомобиль;левый;7 поколение;серый;открытый;;;W1K**************;
Mercedes-Benz;CLE-Class;2023;11250000;https://auto.drom.ru/moscow/mercedes-benz/cle-class/684771568.html;;;;;Москве;бензин, 2.0 л;204 л.с., налог;АКПП;задний;новый автомобиль;левый;1 поколение;серый;купе;;;W1K**************;
Mercedes-Benz;AMG GT;2023;32449120;https://auto.drom.ru/moscow/mercedes-benz/amg_gt/928932360.html;;;;;Москве;бензин, 4.0 л;843 л.с., налог;автомат;4WD;новый автомобиль;левый;;серый;лифтбек;;;W1K**************;
Mercedes-Benz;AMG GT;2023;32585000;https://auto.drom.ru/moscow/mercedes-benz/amg_gt/181216856.html;;;;;Москве;бензин, 4.0 л;843 л.с., налог;автомат;4WD;новый автомобиль;левый;;черный;лифтбек;;;W1K**************;
Mercedes-Benz;S-Class;2023;42799198;https://auto.drom.ru/moscow/mercedes-benz/s-class/149198946.html;;;;;Москве;4.0 л;802 л.с., налог;автомат;4WD;новый автомобиль;левый;;черный;седан;;;W1K**************;
Mercedes-Benz;S-Class;2023;23900120;https://auto.drom.ru/moscow/mercedes-benz/s-class/600996885.html;;;;;Москве;бензин, 3.0 л;367 л.с., налог;АКПП;4WD;новый автомобиль;левый;7 поколение;черный;седан;;;W1K**************;
Mercedes-Benz;EQE SUV;2023;12825000;https://auto.drom.ru/moscow/mercedes-benz/eqe_suv/374810399.html;;;;;Москве;электро;;автомат;4WD;новый автомобиль;левый;1 поколение;серый;;;;LE4**************;
Mercedes-Benz;EQE SUV;2023;12825000;https://auto.drom.ru/moscow/mercedes-benz/eqe_suv/753657581.html;;;;;Москве;электро;;автомат;4WD;новый автомобиль;левый;1 поколение;белый;;;;LE4**************;
Mercedes-Benz;G-Class;2023;35900120;https://auto.drom.ru/moscow/mercedes-benz/g-class/53779935.html;;;;;Москве;бензин, 4.0 л;585 л.с., налог;робот;4WD;новый автомобиль;левый;3 поколение;черный;джип/suv 5 дв.;G 63 AMG;;W1N**************;
Mercedes-Benz;G-Class;2023;35900120;https://auto.drom.ru/moscow/mercedes-benz/g-class/53788718.html;;;;;Москве;бензин, 4.0 л;585 л.с., налог;робот;4WD;новый автомобиль;левый;3 поколение;черный;джип/suv 5 дв.;G 63 AMG;;W1N**************;
Mercedes-Benz;SL-Class;2023;25975120;https://auto.drom.ru/moscow/mercedes-benz/sl-class/53788682.html;;;;;Москве;бензин, 2.0 л;381 л.с., налог;АКПП;задний;новый автомобиль;левый;7 поколение;серый;открытый;;;W1K**************;
Mercedes-Benz;GLS-Class;2023;32523960;https://auto.drom.ru/moscow/mercedes-benz/gls-class/52968686.html;;;;;Москве;бензин, 4.0 л;612 л.с., налог;автомат;4WD;новый автомобиль;левый;;черный;;;;W1N**************;
Mercedes-Benz;GLS-Class;2023;33932005;https://auto.drom.ru/moscow/mercedes-benz/gls-class/52968689.html;;;;;Москве;бензин, 4.0 л;558 л.с., налог;автомат;4WD;новый автомобиль;левый;;черный;;;;W1N**************;
Mercedes-Benz;GLS-Class;2023;15700000;https://auto.drom.ru/moscow/mercedes-benz/gls-class/586080495.html;;;;;Москве;бензин, 3.0 л;367 л.с., налог;автомат;4WD;50 км;левый;2 поколение;черный;;;;;
Mercedes-Benz;V-Class;2023;15049440;https://auto.drom.ru/moscow/mercedes-benz/v-class/395923122.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;237 л.с., налог;автомат;4WD;новый автомобиль;левый;;черный;;;;W1V**************;
