Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;VIN;
Mercedes-Benz;M-Class;2014;2650000;https://auto.drom.ru/spb/mercedes-benz/m-class/53812704.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;249 168 км;левый;3 поколение;;;;
Mercedes-Benz;GL-Class;2014;3299000;https://auto.drom.ru/voronezh/mercedes-benz/gl-class/53812219.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Воронеже;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;178 267 км;левый;2 поколение;GL 350 BlueTEC 4MATIC AT Особая серия;;;
Mercedes-Benz;A-Class;2014;1670000;https://auto.drom.ru/moscow/mercedes-benz/a-class/53438112.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.6 л;122 л.с., налог;робот;передний;хэтчбек 5 дв.;белый;160 339 км;левый;3 поколение;;;;
Mercedes-Benz;E-Class;2014;2197000;https://auto.drom.ru/moscow/mercedes-benz/e-class/710548189.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.1 л;204 л.с., налог;АКПП;4WD;седан;черный;134 995 км;левый;4 поколение, рестайлинг;;;;
Mercedes-Benz;E-Class;2014;2770000;https://auto.drom.ru/bryansk/mercedes-benz/e-class/648138341.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Брянске;бензин, 2.0 л;211 л.с., налог;АКПП;задний;седан;черный;152 000 км;левый;4 поколение, рестайлинг;E 250 AT Особая серия;;;
Mercedes-Benz;C-Class;2014;2390000;https://auto.drom.ru/spb/mercedes-benz/c-class/324259817.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.6 л;156 л.с., налог;АКПП;задний;седан;черный;103 000 км;левый;;;;;
Mercedes-Benz;B-Class;2014;2000000;https://auto.drom.ru/ivanovo/mercedes-benz/b-class/51911308.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Иваново;бензин, 1.6 л;122 л.с., налог;робот;передний;;черный;55 000 км;левый;2 поколение;B 180 DCT;;;
Mercedes-Benz;C-Class;2015;2360000;https://auto.drom.ru/moscow/mercedes-benz/c-class/570254995.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.6 л;150 л.с., налог;АКПП;задний;седан;коричневый;94 225 км;левый;4 поколение;;;;
Mercedes-Benz;C-Class;2016;2319000;https://auto.drom.ru/spb/mercedes-benz/c-class/921464779.html;Характеристики совпадают с ПТС;8 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;седан;серебристый;117 000 км;левый;4 поколение;;;;
Mercedes-Benz;GLC;2017;3700000;https://auto.drom.ru/spb/mercedes-benz/glc-class/934523916.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.1 л;204 л.с., налог;АКПП;4WD;;серебристый;102 176 км;левый;1 поколение;;;;
