Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;VIN;
Mercedes-Benz;C-Class;2019;4350000;https://auto.drom.ru/moscow/mercedes-benz/c-class/53413656.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.5 л, гибрид;184 л.с., налог;АКПП;4WD;седан;зеленый;58 600 км;левый;4 поколение, рестайлинг;C 200 4MATIC Sport;;;
Mercedes-Benz;E-Class;2019;6650000;https://auto.drom.ru/moscow/mercedes-benz/e-class/52968187.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;197 л.с., налог;АКПП;4WD;седан;серый;10 600 км;левый;5 поколение;E 200 4MATIC Premium;;;
Mercedes-Benz;C-Class;2019;2180000;https://auto.drom.ru/moscow/mercedes-benz/c-class/52619666.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.6 л;150 л.с., налог;АКПП;задний;седан;черный;132 472 км;левый;4 поколение, рестайлинг;;;;
Mercedes-Benz;C-Class;2019;2750000;https://auto.drom.ru/minsk/mercedes-benz/c-class/52613187.html;;;;;Минске;бензин, 1.5 л, гибрид;184 л.с., налог;АКПП;4WD;седан;серый;66 000 км;левый;4 поколение, рестайлинг;C 200 4MATIC Premium;;;
Mercedes-Benz;G-Class;2019;18000000;https://auto.drom.ru/moscow/mercedes-benz/g-class/50573617.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 4.0 л;585 л.с., налог;робот;4WD;джип/suv 5 дв.;черный;87 000 км;левый;3 поколение;G 63 AMG;;;
Mercedes-Benz;C-Class;2019;2580000;https://auto.drom.ru/moscow/mercedes-benz/c-class/50180450.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.6 л;150 л.с., налог;АКПП;задний;седан;черный;81 747 км;левый;4 поколение, рестайлинг;;;;
Mercedes-Benz;C-Class;2019;2309926;https://auto.drom.ru/minsk/mercedes-benz/c-class/54144820.html;;;;;Минске;дизель, 1.6 л;122 л.с., налог;АКПП;задний;универсал;зеленый;110 000 км;левый;4 поколение, рестайлинг;C 180 d AT Exclusive;;;
Mercedes-Benz;E-Class;2019;4700000;https://auto.drom.ru/moscow/mercedes-benz/e-class/54029260.html;;;;;Москве;бензин, 1.5 л, гибрид;184 л.с., налог;АКПП;задний;седан;белый;17 000 км, без пробега по РФ;правый;5 поколение;E 200 Avantgarde;;;
Mercedes-Benz;GLE;2019;8500000;https://auto.drom.ru/kirov/mercedes-benz/gle-class/53429297.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Кирове;дизель, 2.9 л;330 л.с., налог;АКПП;4WD;;белый;59 880 км;левый;2 поколение;GLE 400 d 4MATIC Sport;;;
Mercedes-Benz;GLA-Class;2019;2697000;https://auto.drom.ru/moscow/mercedes-benz/gla-class/127392474.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.6 л;150 л.с., налог;робот;передний;;черный;97 760 км;левый;1 поколение, рестайлинг;;;;
Mercedes-Benz;GLC Coupe;2019;4799000;https://auto.drom.ru/himki/mercedes-benz/glc_coupe/190850231.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;дизель, 2.0 л;194 л.с., налог;АКПП;4WD;;синий;95 715 км;левый;1 поколение, рестайлинг;;;;
Mercedes-Benz;E-Class;2019;4068000;https://auto.drom.ru/moscow/mercedes-benz/e-class/302782716.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;купе;серебристый;132 000 км;левый;5 поколение;;;;
Mercedes-Benz;V-Class;2019;7600000;https://auto.drom.ru/moscow/mercedes-benz/v-class/53844325.html;;;;;Москве;дизель, 2.0 л;239 л.с., налог;автомат;4WD;;черный;51 301 км;левый;;;;;
Mercedes-Benz;E-Class;2019;3778000;https://auto.drom.ru/moscow/mercedes-benz/e-class/52510601.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;197 л.с., налог;АКПП;4WD;седан;белый;97 973 км;левый;5 поколение;;;;
Mercedes-Benz;E-Class;2019;4100000;https://auto.drom.ru/moscow/mercedes-benz/e-class/54145567.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;197 л.с., налог;АКПП;4WD;седан;черный;73 650 км;левый;5 поколение;E 200 AТ 4MATIC Exclusive;;;
Mercedes-Benz;E-Class;2019;5300000;https://auto.drom.ru/moscow/mercedes-benz/e-class/478160465.html;;;;;Москве;дизель, 2.0 л;194 л.с., налог;АКПП;4WD;седан;черный;47 500 км, без пробега по РФ;левый;5 поколение;E 220 d 4MATIC Exclusive;;;
Mercedes-Benz;GLE;2019;6695000;https://auto.drom.ru/moscow/mercedes-benz/gle-class/54142680.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;автомат;4WD;;синий;78 962 км;левый;;;;;
Mercedes-Benz;C-Class;2019;2850000;https://auto.drom.ru/moscow/mercedes-benz/c-class/53852608.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.5 л;156 л.с., налог;АКПП;задний;седан;черный;130 000 км;левый;4 поколение, рестайлинг;C 180 AT;;;
Mercedes-Benz;GLS-Class;2019;7300000;https://auto.drom.ru/zvenigorod/mercedes-benz/gls-class/53482788.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Звенигороде;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;58 000 км;левый;1 поколение;350 d 4MATIC Особая серия;;;
