Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;
BMW;3-Series;2013;1900000;https://auto.drom.ru/kostroma/bmw/3-series/48997337.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Костроме;дизель, 2.0 л;184 л.с., налог;АКПП;4WD;седан;коричневый;142 000 км;левый;6 поколение;320d AT xDrive Sport Line;;
BMW;3-Series Gran Turismo;2013;1950000;https://auto.drom.ru/stupino/bmw/3-series_gran_turismo/775744349.html;Модель не совпадает с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Ступино;дизель, 2.0 л;143 л.с., налог;автомат;задний;;черный;196 000 км;левый;6 поколение;;;
BMW;5-Series;2013;1750000;https://auto.drom.ru/volgograd/bmw/5-series/831339724.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Волгограде;бензин, 2.0 л;184 л.с., налог;АКПП;задний;седан;серый;193 000 км;левый;6 поколение;;;
BMW;X5;2013;3650000;https://auto.drom.ru/moscow/bmw/x5/458173130.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;174 500 км;левый;3 поколение;xDrive 30d AT;;
BMW;3-Series;2013;1950000;https://auto.drom.ru/spb/bmw/3-series/410146130.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;седан;черный;176 111 км;левый;6 поколение;320i AT xDrive;;
BMW;1-Series;2013;1092000;https://auto.drom.ru/himki/bmw/1-series/53562880.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;бензин, 1.6 л;136 л.с., налог;АКПП;задний;хэтчбек 5 дв.;оранжевый;136 129 км;левый;2 поколение;;;
BMW;5-Series;2013;2429000;https://auto.drom.ru/moscow/bmw/5-series/53150805.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;245 л.с., налог;АКПП;4WD;седан;белый;112 385 км;левый;6 поколение;;;
BMW;X3;2013;2000000;https://auto.drom.ru/moscow/bmw/x3/209404804.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;184 л.с., налог;АКПП;4WD;;синий;159 887 км;левый;2 поколение;;;
BMW;M6;2013;4200000;https://auto.drom.ru/spb/bmw/m6/50246888.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 4.4 л;560 л.с., налог;робот;задний;купе;белый;57 412 км;левый;3 поколение;4.4 AMT;;
BMW;1-Series;2013;1990000;https://auto.drom.ru/spb/bmw/1-series/53918207.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.6 л;136 л.с., налог;АКПП;задний;хэтчбек 5 дв.;белый;160 500 км;левый;2 поколение;116i AT Базовая;;
BMW;X1;2013;1630000;https://auto.drom.ru/moscow/bmw/x1/53912410.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;;черный;60 000 км;левый;1 поколение, рестайлинг;xDrive 20i AT;;
BMW;X1;2013;1825000;https://auto.drom.ru/moscow/bmw/x1/53559615.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;;черный;210 000 км;левый;1 поколение, рестайлинг;xDrive 20i AT Business;;
BMW;X5;2013;2999999;https://auto.drom.ru/roslavl/bmw/x5/51026440.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Рославле;бензин, 3.0 л;306 л.с., налог;АКПП;4WD;;коричневый;161 000 км;левый;2 поколение, рестайлинг;xDrive 35i AT Luxury;;
BMW;5-Series;2013;1873000;https://auto.drom.ru/kazan/bmw/5-series/670567992.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;бензин, 2.0 л;184 л.с., налог;АКПП;задний;седан;черный;147 060 км;левый;6 поколение;;;
BMW;X3;2013;1708411;https://auto.drom.ru/kazan/bmw/x3/53114428.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;;серый;246 000 км;левый;2 поколение;xDrive 20i AT Urban;;
BMW;5-Series;2013;2558000;https://auto.drom.ru/moscow/bmw/5-series/187404678.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;245 л.с., налог;автомат;4WD;седан;серебристый;142 050 км;левый;;;;
BMW;1-Series;2013;1150000;https://auto.drom.ru/moscow/bmw/1-series/53905534.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.6 л;136 л.с., налог;АКПП;задний;хэтчбек 5 дв.;белый;122 999 км;левый;2 поколение;;;
