Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;
BMW;X5;2003;1000000;https://auto.drom.ru/elektrostal/bmw/x5/53516895.html;Год, объем двигателя, мощность двигателя не совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Электростали;бензин, 3.0 л;231 л.с., налог;АКПП;4WD;;серебристый;328 000 км;левый;1 поколение;3.0i AT xDrive;;
BMW;X5;2003;650000;https://auto.drom.ru/spb/bmw/x5/362413363.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 3.0 л;231 л.с., налог;АКПП;4WD;;черный;280 000 км;левый;1 поколение;3.0i AT xDrive;;
BMW;X5;2004;1300000;https://auto.drom.ru/spb/bmw/x5/52612167.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 3.0 л;225 л.с., налог;АКПП;4WD;;зеленый;270 000 км;левый;1 поколение, рестайлинг;3.0i AT xDrive;;
BMW;5-Series;2004;880000;https://auto.drom.ru/staraya-kupavna/bmw/5-series/53845399.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Старой Купавне;дизель, 2.5 л;177 л.с., налог;АКПП;задний;седан;серый;512 000 км;левый;5 поколение;525d AT;;
BMW;7-Series;2004;850000;https://auto.drom.ru/moscow/bmw/7-series/788632346.html;Характеристики совпадают с ПТС;10 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 6.0 л;445 л.с., налог;АКПП;задний;;черный;290 000 км;левый;4 поколение;760Li AT;;
BMW;5-Series;2004;1111111;https://auto.drom.ru/nizhniy-novgorod/bmw/5-series/54133484.html;Характеристики совпадают с ПТС;10 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Нижнем Новгороде;бензин, 3.0 л;231 л.с., налог;АКПП;задний;седан;черный;216 300 км;левый;5 поколение;530i AT;;
BMW;X5;2004;1883474;https://auto.drom.ru/minsk/bmw/x5/54126216.html;;;;;Минске;бензин, 3.0 л;231 л.с., налог;АКПП;4WD;;белый;355 000 км;левый;1 поколение, рестайлинг;3.0i AT xDrive;;
BMW;X5;2004;850000;https://auto.drom.ru/kolomna/bmw/x5/156955902.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Коломне;бензин, 3.0 л;231 л.с., налог;АКПП;4WD;;серый;;левый;1 поколение, рестайлинг;;;
BMW;X5;2004;1200000;https://auto.drom.ru/kolomna/bmw/x5/54120230.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Коломне;дизель, 3.0 л;218 л.с., налог;АКПП;4WD;;серебристый;348 000 км;левый;1 поколение, рестайлинг;3.0d AT xDrive;;
BMW;X5;2004;1050000;https://auto.drom.ru/moscow/bmw/x5/54108206.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;231 л.с., налог;АКПП;4WD;;серебристый;314 000 км;левый;1 поколение, рестайлинг;3.0i AT xDrive;;
BMW;3-Series;2004;400000;https://auto.drom.ru/kletskaya/bmw/3-series/53816988.html;;;;;Клетской;дизель, 2.0 л;150 л.с., налог;АКПП;задний;седан;синий;375 000 км;левый;4 поколение, рестайлинг;320d АT;;
BMW;X5;2004;1500000;https://auto.drom.ru/gomel/bmw/x5/53433481.html;;;;;Гомеле;дизель, 3.0 л;218 л.с., налог;АКПП;4WD;;серебристый;395 986 км;левый;1 поколение, рестайлинг;;;
BMW;5-Series;2004;1200000;https://auto.drom.ru/moscow/bmw/5-series/54093102.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.5 л;192 л.с., налог;АКПП;задний;седан;серый;269 000 км;левый;5 поколение;525i AT;;
