Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;
BMW;X5;2019;7300000;https://auto.drom.ru/spb/bmw/x5/53981075.html;;;;;Санкт-Петербурге;дизель, 3.0 л;400 л.с., налог;АКПП;4WD;;серый;89 941 км;левый;4 поколение;;
BMW;X6;2019;5175000;https://auto.drom.ru/moscow/bmw/x6/53276629.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;белый;81 193 км;левый;;;
BMW;X4;2019;7060000;https://auto.drom.ru/moscow/bmw/x4/53276032.html;;;;;Москве;бензин, 3.0 л;480 л.с., налог;АКПП;4WD;;красный;28 000 км;левый;2 поколение;xDrive AT M Special Edition;
BMW;i3;2019;2650000;https://auto.drom.ru/moscow/bmw/i3/53263562.html;;;;;Москве;электро;184 л.с., налог;АКПП;задний;хэтчбек 5 дв.;черный;59 000 км;левый;1 поколение, рестайлинг;i3s 120 Ah;
BMW;X5;2019;6720000;https://auto.drom.ru/kazan/bmw/x5/52820725.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;синий;97 582 км;левый;4 поколение;;
BMW;X5;2019;6620000;https://auto.drom.ru/moscow/bmw/x5/318411051.html;;;;;Москве;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;;серый;85 000 км, без пробега по РФ;левый;4 поколение;xDrive30d AT M Sport;
BMW;X4;2019;5460000;https://auto.drom.ru/moscow/bmw/x4/319589298.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;белый;74 501 км;левый;2 поколение;;
BMW;2-Series Gran Tourer;2019;1994738;https://auto.drom.ru/minsk/bmw/2-series_gran_tourer/189050004.html;;;;;Минске;дизель, 2.0 л;150 л.с., налог;АКПП;передний;;синий;163 466 км;левый;1 поколение, рестайлинг;218d AT;
BMW;X4;2019;4540000;https://auto.drom.ru/moscow/bmw/x4/120213220.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;;серый;58 990 км;левый;2 поколение;xDrive 20i AT Lifestyle;
BMW;X7;2019;10800000;https://auto.drom.ru/moscow/bmw/x7/865036186.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;400 л.с., налог;АКПП;4WD;;синий;36 945 км;левый;1 поколение;;
BMW;X5;2019;7250000;https://auto.drom.ru/spb/bmw/x5/657826282.html;;;;;Санкт-Петербурге;дизель, 3.0 л;265 л.с., налог;АКПП;4WD;;черный;51 800 км;левый;4 поколение;;
BMW;5-Series;2019;3675000;https://auto.drom.ru/moscow/bmw/5-series/321590270.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Есть ограничения;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;синий;75 600 км;левый;7 поколение;520d AT xDrive Base;
BMW;X1;2019;2080000;https://auto.drom.ru/bryansk/bmw/x1/791000885.html;;;;;Брянске;дизель, 1.5 л;116 л.с., налог;автомат;передний;;черный;165 000 км;левый;2 поколение;;
