Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Пробег;Руль;Поколение;Цвет;Тип кузова;Комплектация;Особые отметки;VIN;
Mercedes-Benz;E-Class;2007;1134000;https://auto.drom.ru/voronezh/mercedes-benz/e-class/562988276.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Воронеже;дизель, 2.1 л;170 л.с., налог;АКПП;задний;395 598 км;левый;3 поколение, рестайлинг;черный;универсал;;;;
Mercedes-Benz;GL-Class;2007;1250000;https://auto.drom.ru/tver/mercedes-benz/gl-class/44533505.html;Цвет не совпадает с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Твери;бензин, 5.5 л;388 л.с., налог;АКПП;4WD;190 000 км;левый;1 поколение;черный;;GL 500 4MATIC;;;
Mercedes-Benz;C-Class;2007;1055000;https://auto.drom.ru/moscow/mercedes-benz/c-class/54123744.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.8 л;184 л.с., налог;АКПП;задний;110 000 км;левый;3 поколение;серый;седан;;;;
Mercedes-Benz;Viano;2007;1650000;https://auto.drom.ru/tver/mercedes-benz/viano/53842071.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Твери;дизель, 2.1 л;150 л.с., налог;АКПП;задний;172 000 км;левый;2 поколение;черный;;;;;
Mercedes-Benz;S-Class;2007;1750000;https://auto.drom.ru/volgograd/mercedes-benz/s-class/52563201.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Волгограде;бензин, 5.5 л;388 л.с., налог;АКПП;4WD;210 800 км;левый;5 поколение;серый;седан;S 500 AT;;;
Mercedes-Benz;S-Class;2007;1280000;https://auto.drom.ru/moscow/mercedes-benz/s-class/602948650.html;Характеристики совпадают с ПТС;9 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 5.5 л;388 л.с., налог;АКПП;задний;280 000 км;левый;5 поколение;черный;седан;;;;
Mercedes-Benz;S-Class;2007;1250000;https://auto.drom.ru/kursk/mercedes-benz/s-class/53034190.html;Характеристики совпадают с ПТС;8 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Курске;бензин, 3.5 л;272 л.с., налог;АКПП;задний;236 000 км;левый;5 поколение;черный;седан;S 350 AT L;;;
Mercedes-Benz;GL-Class;2007;1262000;https://auto.drom.ru/spb/mercedes-benz/gl-class/569589246.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 4.7 л;340 л.с., налог;АКПП;4WD;282 904 км;левый;1 поколение;черный;;;;;
Mercedes-Benz;B-Class;2007;695000;https://auto.drom.ru/belgorod/mercedes-benz/b-class/53810504.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Белгороде;бензин, 1.7 л;116 л.с., налог;вариатор;передний;207 000 км;левый;1 поколение;серый;;;;;
Mercedes-Benz;S-Class;2007;1850000;https://auto.drom.ru/moscow/mercedes-benz/s-class/53437821.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;5.5 л;;автомат;;105 382 км;левый;5 поколение;черный;седан;;;;
