Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;
BMW;7-Series;1999;2200000;https://auto.drom.ru/moscow/bmw/7-series/54140810.html;Характеристики совпадают с ПТС;12 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 4.4 л;286 л.с., налог;АКПП;задний;;черный;156 000 км;левый;3 поколение, рестайлинг;;;
BMW;5-Series;1999;420000;https://auto.drom.ru/arzamas/bmw/5-series/53482914.html;Характеристики совпадают с ПТС;10 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Арзамасе;бензин, 2.0 л;150 л.с., налог;механика;задний;седан;серый;220 000 км;левый;4 поколение;;;
BMW;X5;1999;750000;https://auto.drom.ru/moscow/bmw/x5/54095219.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 4.4 л;286 л.с., налог;АКПП;4WD;;золотистый;300 010 км;левый;1 поколение;;;
BMW;5-Series;1999;360000;https://auto.drom.ru/murino/bmw/5-series/202418994.html;Характеристики совпадают с ПТС;15 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Мурино;бензин, 2.5 л;170 л.с., налог;АКПП;задний;седан;зеленый;270 000 км;левый;4 поколение;523i AT;;
BMW;5-Series;1999;1400000;https://auto.drom.ru/nizhniy-novgorod/bmw/5-series/53779114.html;Характеристики совпадают с ПТС;8 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Нижнем Новгороде;бензин, 2.8 л;193 л.с., налог;АКПП;задний;седан;серебристый;78 000 км;левый;4 поколение;528i AT;;
BMW;5-Series;1999;530000;https://auto.drom.ru/mtsensk/bmw/5-series/54056890.html;Характеристики совпадают с ПТС;10 записей о регистрации;Не числится в розыске;Есть ограничения;Мценске;бензин, 2.0 л;150 л.с., налог;механика;задний;седан;черный;452 000 км;левый;4 поколение;520i MT;;
BMW;7-Series;1999;600000;https://auto.drom.ru/orehovo-zuevo/bmw/7-series/54015482.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Есть ограничения;Орехово-Зуево;бензин, 3.5 л;238 л.с., налог;АКПП;задний;;серый;300 000 км;левый;3 поколение, рестайлинг;;требуется ремонт или не на ходу;
BMW;3-Series;1999;888000;https://auto.drom.ru/moscow/bmw/3-series/51216383.html;Объем двигателя, мощность двигателя не совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.5 л;170 л.с., налог;механика;задний;седан;;283 000 км;левый;4 поколение;323i MT;;
BMW;5-Series;1999;540000;https://auto.drom.ru/ulyanovsk/bmw/5-series/214769876.html;Объем двигателя, мощность двигателя не совпадают с ПТС;8 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Ульяновске;бензин, 2.0 л;150 л.с., налог;АКПП;задний;седан;черный;271 500 км;левый;4 поколение;;;
BMW;5-Series;1999;400000;https://auto.drom.ru/moscow/bmw/5-series/444426193.html;Характеристики совпадают с ПТС;12 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.5 л;170 л.с., налог;АКПП;задний;седан;серебристый;350 000 км;левый;4 поколение;523i AT;;
