Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;VIN;
Mercedes-Benz;Vito;2008;1100000;https://auto.drom.ru/spb/mercedes-benz/vito/343204588.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.1 л;116 л.с., налог;механика;задний;;белый;348 000 км;левый;2 поколение;111 CDI MT L1;;;
Mercedes-Benz;E-Class;2008;780000;https://auto.drom.ru/togliatti/mercedes-benz/e-class/53133799.html;Характеристики совпадают с ПТС;8 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Тольятти;дизель, 2.1 л;170 л.с., налог;АКПП;задний;седан;черный;366 200 км;левый;3 поколение, рестайлинг;;;;
Mercedes-Benz;CL-Class;2008;2400000;https://auto.drom.ru/spb/mercedes-benz/cl-class/53531469.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 5.5 л;388 л.с., налог;АКПП;4WD;;черный;189 000 км;левый;3 поколение;CL 500 4MATIC AT;;;
Mercedes-Benz;C-Class;2008;900000;https://auto.drom.ru/rzhev/mercedes-benz/c-class/53113087.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Ржеве;бензин, 3.0 л;231 л.с., налог;АКПП;4WD;седан;черный;195 000 км;левый;3 поколение;;;;
Mercedes-Benz;CLS-Class;2008;830000;https://auto.drom.ru/moscow/mercedes-benz/cls-class/740403978.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.5 л, ГБО;272 л.с., налог;АКПП;задний;седан;белый;255 000 км;левый;1 поколение, рестайлинг;CLS 350 AT;документы с проблемами, с документами порядок. Не могу опубликовать объявление за такую низкую цену. Не пропускает.;;
Mercedes-Benz;E-Class;2008;1300000;https://auto.drom.ru/saratov/mercedes-benz/e-class/53870900.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Саратове;бензин, 3.0 л;231 л.с., налог;АКПП;4WD;седан;черный;145 000 км;левый;3 поколение, рестайлинг;E 280 AT 4MATIC Avantgarde;;;
Mercedes-Benz;C-Class;2008;899000;https://auto.drom.ru/vitebsk/mercedes-benz/c-class/50968100.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Витебске;бензин, 1.8 л;184 л.с., налог;АКПП;задний;седан;серебристый;318 269 км;левый;3 поколение;C 200 Kompressor AT Elegance;;;
Mercedes-Benz;M-Class;2009;1350604;https://auto.drom.ru/minsk/mercedes-benz/m-class/220376948.html;;;;;Минске;бензин, 3.5 л;272 л.с., налог;АКПП;4WD;;серебристый;169 000 км;левый;2 поколение, рестайлинг;ML 350 AT 4MATIC;;;
Mercedes-Benz;GL-Class;2009;2200000;https://auto.drom.ru/moscow/mercedes-benz/gl-class/257221140.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 5.5 л;388 л.с., налог;АКПП;4WD;;коричневый;162 000 км;левый;1 поколение, рестайлинг;GL 500 "Особая серия";;;
Mercedes-Benz;GLK-Class;2009;1700000;https://auto.drom.ru/vyazniki/mercedes-benz/glk-class/756400216.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Вязниках;бензин, 3.5 л;272 л.с., налог;АКПП;4WD;;черный;220 000 км;левый;1 поколение;GLK 350 4MATIC AT Особая серия;;;
