Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;
BMW;5-Series;2012;1980000;https://auto.drom.ru/lipetsk/bmw/5-series/54110236.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Липецке;дизель, 3.0 л;258 л.с., налог;АКПП;4WD;седан;черный;298 500 км;левый;6 поколение;530d AT xDrive Business;;
BMW;6-Series;2012;2650000;https://auto.drom.ru/moscow/bmw/6-series/54109928.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;320 л.с., налог;АКПП;задний;седан;черный;159 240 км;левый;3 поколение;640i AT;;
BMW;7-Series;2012;2249000;https://auto.drom.ru/spb/bmw/7-series/731135643.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;258 л.с., налог;АКПП;задний;;синий;251 056 км;левый;5 поколение, рестайлинг;;;
BMW;X3;2012;2150000;https://auto.drom.ru/spb/bmw/x3/53815439.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;белый;217 000 км;левый;2 поколение;xDrive 30d AT Lifestyle;;
BMW;X6;2012;2100000;https://auto.drom.ru/moscow/bmw/x6/131932274.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 4.4 л;407 л.с., налог;АКПП;4WD;;черный;207 980 км;левый;1 поколение;xDrive 50i AT;;
BMW;X3;2012;1723000;https://auto.drom.ru/moscow/bmw/x3/54088214.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;245 л.с., налог;АКПП;4WD;;коричневый;138 215 км;левый;2 поколение;;;
BMW;1-Series;2012;1358000;https://auto.drom.ru/himki/bmw/1-series/473165719.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;бензин, 1.6 л;136 л.с., налог;АКПП;задний;хэтчбек 5 дв.;голубой;79 000 км;левый;2 поколение;;;
BMW;X3;2012;1939000;https://auto.drom.ru/spb/bmw/x3/54093463.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;184 л.с., налог;АКПП;4WD;;голубой;168 800 км;левый;2 поколение;;;
BMW;5-Series;2012;1850000;https://auto.drom.ru/cheboksary/bmw/5-series/54091215.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Чебоксарах;дизель, 2.0 л;184 л.с., налог;АКПП;задний;седан;белый;208 900 км;левый;6 поколение;520d AT;;
BMW;X1;2012;1084990;https://auto.drom.ru/spb/bmw/x1/53425450.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;150 л.с., налог;АКПП;задний;;черный;163 000 км;левый;1 поколение;;;
