Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Пробег;Руль;Поколение;Цвет;Тип кузова;Комплектация;Особые отметки;VIN;
Mercedes-Benz;GLE;2019;7850000;https://auto.drom.ru/moscow/mercedes-benz/gle-class/528165945.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.9 л;330 л.с., налог;АКПП;4WD;63 251 км;левый;2 поколение;белый;;;;;
Mercedes-Benz;GLA-Class;2019;2820000;https://auto.drom.ru/moscow/mercedes-benz/gla-class/912173000.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;211 л.с., налог;робот;4WD;79 450 км;левый;1 поколение, рестайлинг;белый;;GLA 250 4MATIC Особая серия;;;
Mercedes-Benz;GLS-Class;2019;9259000;https://auto.drom.ru/moscow/mercedes-benz/gls-class/284326493.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.9 л;330 л.с., налог;АКПП;4WD;67 711 км;левый;2 поколение;белый;;GLS 400 d 4MATIC Premium;;;
Mercedes-Benz;A-Class;2019;2558000;https://auto.drom.ru/voronezh/mercedes-benz/a-class/518799164.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Воронеже;бензин, 1.3 л;150 л.с., налог;робот;передний;94 866 км;левый;4 поколение;черный;хэтчбек 5 дв.;;;;
Mercedes-Benz;E-Class;2019;5600000;https://auto.drom.ru/moscow/mercedes-benz/e-class/52872328.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л, гибрид;197 л.с., налог;АКПП;4WD;22 000 км;левый;5 поколение;черный;купе;E 200 4MATIC Sport;;;
Mercedes-Benz;A-Class;2019;2590000;https://auto.drom.ru/moscow/mercedes-benz/a-class/568947785.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.3 л;150 л.с., налог;робот;передний;92 194 км;левый;4 поколение;белый;седан;;;;
Mercedes-Benz;GLC Coupe;2019;3950000;https://auto.drom.ru/kursk/mercedes-benz/glc_coupe/53877120.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Курске;дизель, 3.0 л;258 л.с., налог;АКПП;4WD;87 000 км;левый;1 поколение;серый;;GLC 350d 4MATIC;;;
Mercedes-Benz;GLC;2019;3980000;https://auto.drom.ru/ulyanovsk/mercedes-benz/glc-class/598100856.html;;;;;Ульяновске;бензин, 2.0 л;258 л.с., налог;АКПП;4WD;56 000 км;левый;1 поколение, рестайлинг;синий;;GLC 300 4MATIC AT Sport Plus;;;
Mercedes-Benz;C-Class;2019;4179000;https://auto.drom.ru/moscow/mercedes-benz/c-class/488455738.html;;;;;Москве;бензин, 1.5 л;184 л.с., налог;АКПП;задний;50 958 км;левый;4 поколение, рестайлинг;белый;открытый;C 200 AT AMG Line;;;
Mercedes-Benz;G-Class;2019;16789000;https://auto.drom.ru/moscow/mercedes-benz/g-class/807094844.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 4.0 л;585 л.с., налог;автомат;4WD;98 800 км;левый;3 поколение;черный;джип/suv 5 дв.;;;;
Mercedes-Benz;E-Class;2019;6490000;https://auto.drom.ru/moscow/mercedes-benz/e-class/551529108.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;435 л.с., налог;робот;4WD;71 085 км;левый;5 поколение;белый;купе;AMG E 53 4MATIC+;;;
Mercedes-Benz;GLC;2019;4750000;https://auto.drom.ru/spb/mercedes-benz/glc-class/749144367.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;197 л.с., налог;АКПП;4WD;33 798 км;левый;1 поколение, рестайлинг;черный;;GLC 200 4MATIC AT Premium;;;
Mercedes-Benz;E-Class;2019;3499000;https://auto.drom.ru/moscow/mercedes-benz/e-class/841855298.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;197 л.с., налог;АКПП;задний;61 000 км;левый;5 поколение;белый;седан;;;;
Mercedes-Benz;C-Class;2019;3135000;https://auto.drom.ru/moscow/mercedes-benz/c-class/53957311.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.5 л;150 л.с., налог;автомат;задний;56 000 км;левый;;черный;седан;;;;
Mercedes-Benz;E-Class;2019;3850000;https://auto.drom.ru/moscow/mercedes-benz/e-class/53957317.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;197 л.с., налог;АКПП;4WD;77 000 км;левый;5 поколение;черный;седан;;;;
Mercedes-Benz;GLE;2019;13900000;https://auto.drom.ru/moscow/mercedes-benz/gle-class/53956671.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л, гибрид;367 л.с., налог;АКПП;4WD;44 500 км;левый;2 поколение;серый;;GLE 450 4MATIC Sport Plus;;;
Mercedes-Benz;V-Class;2019;9250000;https://auto.drom.ru/moscow/mercedes-benz/v-class/53205354.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.1 л, ГБО;190 л.с., налог;АКПП;4WD;101 000 км;левый;3 поколение, рестайлинг;белый;;250 d AT L2 AMG Line 4Matic Marco Polo;;;
Mercedes-Benz;GLC;2019;3250000;https://auto.drom.ru/moscow/mercedes-benz/glc-class/52590029.html;;;;;Москве;бензин, 2.0 л;197 л.с., налог;АКПП;4WD;128 500 км, без пробега по РФ;левый;1 поколение, рестайлинг;черный;;GLC 200 AT 4MATIC;;;
Mercedes-Benz;E-Class;2019;5600000;https://auto.drom.ru/kazan/mercedes-benz/e-class/52329282.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;52 850 км;левый;5 поколение;черный;открытый;E 200 4MATIC Sport;;;
Mercedes-Benz;GLA-Class;2019;2899000;https://auto.drom.ru/moscow/mercedes-benz/gla-class/794378551.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.6 л;150 л.с., налог;робот;передний;44 000 км;левый;1 поколение, рестайлинг;черный;;;;;
Mercedes-Benz;C-Class;2019;2880000;https://auto.drom.ru/yaroslavl/mercedes-benz/c-class/726818220.html;;;;;Ярославле;дизель, 1.6 л;160 л.с., налог;механика;задний;169 616 км;левый;4 поколение, рестайлинг;черный;универсал;;;;
Mercedes-Benz;E-Class;2019;2820000;https://auto.drom.ru/moscow/mercedes-benz/e-class/618997294.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;150 л.с., налог;АКПП;задний;185 000 км;левый;5 поколение;черный;седан;E 200 d AТ Exclusive;;;
Mercedes-Benz;GLS-Class;2019;9150000;https://auto.drom.ru/moscow/mercedes-benz/gls-class/53150402.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л, гибрид;367 л.с., налог;АКПП;4WD;91 000 км;левый;2 поколение;черный;;GLS 450 4MATIC Premium Plus;;;
Mercedes-Benz;A-Class;2019;1939000;https://auto.drom.ru/spb/mercedes-benz/a-class/745650524.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.3 л;150 л.с., налог;робот;передний;135 000 км;левый;4 поколение;желтый;хэтчбек 5 дв.;;;;
Mercedes-Benz;E-Class;2019;3444000;https://auto.drom.ru/spb/mercedes-benz/e-class/919905469.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;194 л.с., налог;АКПП;4WD;158 362 км;левый;5 поколение;черный;седан;;;;
Mercedes-Benz;C-Class;2019;3263500;https://auto.drom.ru/spb/mercedes-benz/c-class/747367542.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.5 л;184 л.с., налог;АКПП;4WD;76 700 км;левый;4 поколение, рестайлинг;белый;седан;;;;
Mercedes-Benz;C-Class;2019;2895000;https://auto.drom.ru/spb/mercedes-benz/c-class/637601013.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.5 л;150 л.с., налог;автомат;задний;42 510 км;левый;;синий;седан;;;;
Mercedes-Benz;GLA-Class;2019;2710000;https://auto.drom.ru/moscow/mercedes-benz/gla-class/780549538.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.6 л;150 л.с., налог;робот;передний;67 800 км;левый;1 поколение, рестайлинг;черный;;;;;
Mercedes-Benz;A-Class;2019;2369000;https://auto.drom.ru/spb/mercedes-benz/a-class/938586538.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.3 л;163 л.с., налог;робот;передний;91 000 км;левый;4 поколение;черный;седан;;;;
Mercedes-Benz;C-Class;2019;4719789;https://auto.drom.ru/spb/mercedes-benz/c-class/671655282.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 3.0 л;390 л.с., налог;АКПП;4WD;85 598 км;левый;4 поколение, рестайлинг;серый;седан;;;;
Mercedes-Benz;GLE;2019;11450000;https://auto.drom.ru/spb/mercedes-benz/gle-class/500874747.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 3.0 л, гибрид;435 л.с., налог;АКПП;4WD;27 222 км;левый;2 поколение;черный;;GLE 53 4MATIC+;;;
Mercedes-Benz;E-Class;2019;3050000;https://auto.drom.ru/himki/mercedes-benz/e-class/46543872.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;дизель, 2.0 л;150 л.с., налог;АКПП;задний;160 000 км, без пробега по РФ;левый;5 поколение;черный;седан;E 200 d Premium;;;
