Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Пробег;Руль;Поколение;Цвет;Тип кузова;Комплектация;Особые отметки;VIN;
Audi;100;1991;280000;https://auto.drom.ru/kamenka/audi/100/116373954.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Каменке;бензин, 2.3 л;133 л.с., налог;механика;4WD;300 000 км;левый;4 поколение;серебристый;седан;2.3 MT CS Quattro;;;
Audi;100;1992;575000;https://auto.drom.ru/ramenskoe/audi/100/53493038.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Раменском;бензин, 2.3 л;133 л.с., налог;механика;4WD;5 000 км;левый;4 поколение;серый;седан;;;;
Audi;80;1992;300000;https://auto.drom.ru/smolensk/audi/80/400514292.html;Характеристики совпадают с ПТС;10 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Смоленске;бензин, 2.0 л;90 л.с., налог;механика;передний;;левый;4 поколение;красный;седан;;;;
Audi;100;1992;165500;https://auto.drom.ru/moscow/audi/100/207251523.html;Цвет не совпадает с ПТС;11 записей о регистрации;Не числится в розыске;Есть ограничения;Москве;бензин, 2.8 л;174 л.с., налог;механика;передний;410 000 км;правый;;фиолетовый;седан;;;;
Audi;80;1992;199000;https://auto.drom.ru/kaluga/audi/80/54109402.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Калуге;бензин, 2.0 л;115 л.с., налог;механика;передний;199 000 км;левый;4 поколение;зеленый;седан;2.0 E MT Base;;;
Audi;80;1992;265000;https://auto.drom.ru/glushkovo/audi/80/402849634.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Глушково;бензин, 2.0 л;90 л.с., налог;механика;передний;380 500 км;левый;4 поколение;серый;седан;2.0 MT Base;;;
Audi;100;1992;320000;https://auto.drom.ru/nizhniy-novgorod/audi/100/51705639.html;Год не совпадает с ПТС;12 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Нижнем Новгороде;бензин, 2.3 л;133 л.с., налог;механика;передний;355 000 км;левый;4 поколение;;седан;;;;
Audi;100;1992;300000;https://auto.drom.ru/novozybkov/audi/100/54075103.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Новозыбкове;бензин, 2.3 л;133 л.с., налог;механика;передний;419 000 км;левый;4 поколение;серый;седан;;;;
Audi;80;1992;280000;https://auto.drom.ru/spb/audi/80/444465400.html;Характеристики совпадают с ПТС;10 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;90 л.с., налог;механика;передний;25 000 км;левый;4 поколение;зеленый;седан;2.0 MT Base;;;
Audi;100;1992;140000;https://auto.drom.ru/rybinsk/audi/100/52886925.html;Объем двигателя, мощность двигателя не совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Рыбинске;бензин, 2.3 л;133 л.с., налог;механика;передний;502 000 км;левый;4 поколение;бежевый;седан;;;;
Audi;100;1992;1325000;https://auto.drom.ru/spb/audi/100/52823814.html;Характеристики совпадают с ПТС;9 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.3 л;133 л.с., налог;механика;передний;277 500 км;левый;4 поколение;голубой;седан;2.3 MT CS;;;
Audi;100;1992;195000;https://auto.drom.ru/yaroslavl/audi/100/721126759.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Ярославле;дизель, 2.5 л;115 л.с., налог;механика;передний;;левый;4 поколение;серый;седан;;;;
Audi;100;1992;100000;https://auto.drom.ru/zelenodolsk/audi/100/53765443.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Зеленодольске;бензин, 2.3 л;133 л.с., налог;механика;передний;350 000 км;левый;4 поколение;синий;седан;2.3 MT CS;требуется ремонт или не на ходу;;
