Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;VIN;
BMW;5-Series;2020;4350000;https://auto.drom.ru/moscow/bmw/5-series/390388186.html;Электронный ПТС не выдавался;;;;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;белый;71 000 км, без пробега по РФ;левый;7 поколение;520d AT xDrive M Sport;документы с проблемами, машина пригнана из Германии;;
BMW;3-Series;2020;3850000;https://auto.drom.ru/moscow/bmw/3-series/562918978.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;синий;66 353 км;левый;7 поколение;;;;
BMW;2-Series;2020;3259920;https://auto.drom.ru/minsk/bmw/2-series/232495140.html;;;;;Минске;бензин, 2.0 л;230 л.с., налог;автомат;4WD;седан;серый;21 160 км;левый;1 поколение, рестайлинг;;;;
BMW;X3;2020;4600000;https://auto.drom.ru/togliatti/bmw/x3/229980551.html;;;;;Тольятти;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;белый;86 300 км, без пробега по РФ;левый;3 поколение;xDrive 20d AT M Sport;;;
BMW;1-Series;2020;3950000;https://auto.drom.ru/moscow/bmw/1-series/53949684.html;;;;;Москве;бензин, 1.5 л;140 л.с., налог;робот;передний;хэтчбек 5 дв.;синий;34 200 км;левый;3 поколение;;;;
BMW;X1;2020;4030000;https://auto.drom.ru/moscow/bmw/x1/53881598.html;;;;;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;;черный;69 100 км;левый;2 поколение, рестайлинг;;;;
BMW;6-Series Gran Turismo;2020;6350000;https://auto.drom.ru/moscow/bmw/6-series_gran_turismo/576223053.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;белый;84 326 км;левый;1 поколение;;;;
BMW;2-Series;2020;2724295;https://auto.drom.ru/minsk/bmw/2-series/772019729.html;;;;;Минске;дизель, 2.0 л;190 л.с., налог;автомат;передний;седан;черный;147 000 км;левый;1 поколение, рестайлинг;;;;
BMW;X6;2020;8560003;https://auto.drom.ru/spb/bmw/x6/240319622.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;;черный;73 000 км;левый;3 поколение;xDrive 30d AT M Sport Plus;;;
BMW;5-Series;2020;4399000;https://auto.drom.ru/moscow/bmw/5-series/208784896.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;седан;серый;78 001 км;левый;7 поколение;;;;
