Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;VIN;
Mercedes-Benz;E-Class;2011;1500000;https://auto.drom.ru/kuzovatovo/mercedes-benz/e-class/53986219.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Кузоватово;бензин, 1.8 л;184 л.с., налог;АКПП;задний;седан;коричневый;221 223 км;левый;4 поколение;E 200 CGI BlueEfficiency AТ Avantgarde;;;
Mercedes-Benz;G-Class;2011;4571275;https://auto.drom.ru/minsk/mercedes-benz/g-class/53672493.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Минске;бензин, 5.5 л;388 л.с., налог;АКПП;4WD;джип/suv 5 дв.;черный;142 000 км;левый;2 поколение, 5 рестайлинг;G 500;;;
Mercedes-Benz;G-Class;2011;4870000;https://auto.drom.ru/moscow/mercedes-benz/g-class/53194750.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 5.4 л;507 л.с., налог;АКПП;4WD;джип/suv 5 дв.;коричневый;140 000 км;левый;2 поколение, 5 рестайлинг;G 55 AMG Компрессор;;;
Mercedes-Benz;R-Class;2011;1883920;https://auto.drom.ru/minsk/mercedes-benz/r-class/53930914.html;;;;;Минске;дизель, 3.0 л;265 л.с., налог;автомат;4WD;;черный;229 000 км;левый;1 поколение, рестайлинг;;;;
Mercedes-Benz;M-Class;2011;1700000;https://auto.drom.ru/moscow/mercedes-benz/m-class/139352809.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.5 л;272 л.с., налог;АКПП;4WD;;черный;233 732 км;левый;2 поколение, рестайлинг;;;;
Mercedes-Benz;E-Class;2011;1800000;https://auto.drom.ru/moscow/mercedes-benz/e-class/671689828.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;231 л.с., налог;АКПП;задний;седан;серый;184 000 км;левый;4 поколение;E 300 AT Особая серия;;;
Mercedes-Benz;A-Class;2011;889000;https://auto.drom.ru/moscow/mercedes-benz/a-class/925972917.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.7 л;116 л.с., налог;вариатор;передний;хэтчбек 5 дв.;белый;115 100 км;левый;2 поколение, рестайлинг;;;;
Mercedes-Benz;S-Class;2011;2400000;https://auto.drom.ru/moscow/mercedes-benz/s-class/146341392.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.5 л;306 л.с., налог;АКПП;4WD;седан;коричневый;146 500 км;левый;5 поколение, рестайлинг;S350 L 4MATIC Базовая;;;
Mercedes-Benz;E-Class;2011;1100000;https://auto.drom.ru/kursk/mercedes-benz/e-class/377990227.html;;;;;Курске;бензин, 1.8 л;184 л.с., налог;АКПП;задний;седан;белый;264 000 км;левый;4 поколение;;требуется ремонт или не на ходу;;
Mercedes-Benz;S-Class;2011;7500000;https://auto.drom.ru/moscow/mercedes-benz/s-class/290130642.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 5.5 л;517 л.с., налог;АКПП;задний;седан;черный;67 000 км;левый;5 поколение, рестайлинг;S 600 AT Guard;;;
Mercedes-Benz;C-Class;2011;1540000;https://auto.drom.ru/spb/mercedes-benz/c-class/352734840.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.8 л;184 л.с., налог;АКПП;задний;седан;коричневый;221 110 км;левый;3 поколение;;;;
Mercedes-Benz;C-Class;2011;1180000;https://auto.drom.ru/moscow/mercedes-benz/c-class/533244746.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.8 л;156 л.с., налог;АКПП;задний;седан;синий;192 416 км;левый;3 поколение;;;;
Mercedes-Benz;C-Class;2011;1700000;https://auto.drom.ru/belgorod/mercedes-benz/c-class/53965329.html;Характеристики совпадают с ПТС;7 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Белгороде;бензин, 1.8 л;184 л.с., налог;АКПП;задний;седан;черный;250 000 км;левый;3 поколение;;;;
Mercedes-Benz;GL-Class;2011;2200000;https://auto.drom.ru/kazan/mercedes-benz/gl-class/53229486.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;дизель, 3.0 л;224 л.с., налог;автомат;4WD;;черный;241 528 км;;;;;;
