Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;
BMW;X5;2015;2799000;https://auto.drom.ru/moscow/bmw/x5/53904350.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 3.0 л;306 л.с., налог;АКПП;4WD;;серый;242 878 км;левый;3 поколение;;;
BMW;X5;2015;5000000;https://auto.drom.ru/serpuhov/bmw/x5/53551451.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Серпухове;бензин, 4.4 л;575 л.с., налог;АКПП;4WD;;черный;54 588 км;левый;3 поколение;M;;
BMW;1-Series;2015;1890000;https://auto.drom.ru/ryazan/bmw/1-series/53550551.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Рязани;бензин, 1.5 л;136 л.с., налог;АКПП;задний;хэтчбек 5 дв.;красный;74 000 км;правый;2 поколение, рестайлинг;;;
BMW;3-Series;2015;1950000;https://auto.drom.ru/vologda/bmw/3-series/811690927.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Вологде;дизель, 2.0 л;184 л.с., налог;АКПП;4WD;седан;черный;211 000 км;левый;6 поколение;320d AT xDrive Sport Line;;
