Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Пробег;Руль;Поколение;Цвет;Тип кузова;Комплектация;Особые отметки;
BMW;X3;2018;4197000;https://auto.drom.ru/spb/bmw/x3/296849377.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;104 772 км;левый;3 поколение;черный;;;;
BMW;X4;2018;4350000;https://auto.drom.ru/himki/bmw/x4/53688007.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;50 602 км;левый;;синий;;;;
BMW;X3;2018;4190000;https://auto.drom.ru/moscow/bmw/x3/53300138.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;138 124 км;левый;3 поколение;серебристый;;;;
BMW;2-Series Gran Tourer;2018;1850000;https://auto.drom.ru/ivanovo/bmw/2-series_gran_tourer/50380405.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Иваново;дизель, 1.5 л;116 л.с., налог;механика;передний;69 146 км;левый;1 поколение, рестайлинг;синий;;216d MT;;
BMW;X5;2018;7520000;https://auto.drom.ru/spb/bmw/x5/49088657.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 4.4 л;462 л.с., налог;АКПП;4WD;68 000 км;левый;4 поколение;белый;;xDrive 50i AT;;
BMW;X3;2018;4290000;https://auto.drom.ru/moscow/bmw/x3/837728167.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;265 л.с., налог;автомат;4WD;128 000 км;левый;3 поколение;черный;;;;
BMW;3-Series;2018;3497000;https://auto.drom.ru/penza/bmw/3-series/52807045.html;Год не совпадает с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Пензе;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;34 200 км;левый;6 поколение, рестайлинг;;седан;;;
BMW;X1;2018;2060748;https://auto.drom.ru/minsk/bmw/x1/481110928.html;;;;;Минске;бензин, 2.0 л;245 л.с., налог;автомат;передний;110 000 км;левый;2 поколение;черный;;;;
BMW;X3;2018;4500000;https://auto.drom.ru/spb/bmw/x3/459218244.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;56 000 км;левый;3 поколение;серебристый;;xDrive 20d AT M Sport;;
BMW;5-Series;2018;3199000;https://auto.drom.ru/moscow/bmw/5-series/936699437.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;задний;79 000 км;левый;7 поколение;черный;седан;;;
