Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;
BMW;7-Series;2013;3200000;https://auto.drom.ru/himki/bmw/7-series/53540809.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Химках;дизель, 3.0 л;381 л.с., налог;АКПП;4WD;;серый;202 000 км;левый;5 поколение, рестайлинг;750Ld AT xDrive;;
BMW;5-Series;2013;2199999;https://auto.drom.ru/mihaylovka/bmw/5-series/862885453.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Михайловке;бензин, 2.0 л;184 л.с., налог;АКПП;задний;седан;белый;160 000 км;левый;6 поколение;520i AT Special Edition;;
BMW;X3;2013;1775000;https://auto.drom.ru/spb/bmw/x3/870379088.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;184 л.с., налог;АКПП;4WD;;черный;192 863 км;правый;2 поколение;xDrive 20d;;
BMW;X1;2013;1680000;https://auto.drom.ru/moscow/bmw/x1/157065838.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;184 л.с., налог;АКПП;4WD;;белый;169 225 км;левый;1 поколение, рестайлинг;xDrive 20d AT Business;;
BMW;1-Series;2013;1065000;https://auto.drom.ru/spb/bmw/1-series/825619448.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.6 л;136 л.с., налог;АКПП;задний;хэтчбек 5 дв.;белый;169 895 км;левый;2 поколение;;;
BMW;3-Series;2013;1549000;https://auto.drom.ru/spb/bmw/3-series/52773991.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.6 л;136 л.с., налог;АКПП;задний;седан;коричневый;109 000 км;левый;6 поколение;;;
BMW;5-Series;2013;2150000;https://auto.drom.ru/donetsk/bmw/5-series/53897121.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Донецке;бензин, 3.0 л;306 л.с., налог;АКПП;4WD;седан;черный;257 000 км;левый;6 поколение, рестайлинг;535i AT xDrive;;
BMW;3-Series Gran Turismo;2013;1788669;https://auto.drom.ru/spb/bmw/3-series_gran_turismo/53894124.html;Модель не совпадает с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;245 л.с., налог;автомат;задний;;черный;136 407 км;левый;;;;
BMW;3-Series Gran Turismo;2013;1619000;https://auto.drom.ru/spb/bmw/3-series_gran_turismo/53894056.html;Модель не совпадает с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;245 л.с., налог;АКПП;4WD;;серебристый;247 000 км;левый;6 поколение;328i AT xDrive;;
BMW;X1;2013;1800000;https://auto.drom.ru/moscow/bmw/x1/53536267.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;4WD;;белый;122 000 км;левый;1 поколение, рестайлинг;xDrive 20i AT Sport Line;;
