Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Тип кузова;Цвет;Пробег;Руль;Поколение;Комплектация;Особые отметки;
BMW;X1;2011;1350000;https://auto.drom.ru/moscow/bmw/x1/909302493.html;Характеристики совпадают с ПТС;6 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;177 л.с., налог;АКПП;4WD;;черный;253 130 км;левый;1 поколение;xDrive 20d AT Базовая;;
BMW;5-Series;2011;1829000;https://auto.drom.ru/moscow/bmw/5-series/117714676.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;245 л.с., налог;АКПП;задний;седан;серый;148 000 км;левый;6 поколение;;;
BMW;X1;2011;1298000;https://auto.drom.ru/spb/bmw/x1/54054906.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;150 л.с., налог;АКПП;задний;;белый;95 500 км;левый;1 поколение;;;
BMW;3-Series;2011;1260000;https://auto.drom.ru/urmary/bmw/3-series/52707944.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Урмарах;бензин, 2.0 л, ГБО;136 л.с., налог;АКПП;задний;седан;белый;156 000 км;левый;5 поколение, рестайлинг;318i AT Базовая;;
BMW;3-Series;2011;1070000;https://auto.drom.ru/moscow/bmw/3-series/54043146.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;156 л.с., налог;АКПП;задний;купе;красный;180 000 км;левый;5 поколение, рестайлинг;320i AT;;
BMW;5-Series;2011;1700000;https://auto.drom.ru/bryansk/bmw/5-series/54041780.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Брянске;бензин, 2.0 л;245 л.с., налог;механика;задний;седан;черный;173 000 км;левый;6 поколение;;;
BMW;3-Series;2011;1285000;https://auto.drom.ru/moscow/bmw/3-series/52931507.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;156 л.с., налог;АКПП;задний;седан;белый;177 000 км;левый;5 поколение, рестайлинг;320i AT Edition Exclusive;;
BMW;X6;2011;2400000;https://auto.drom.ru/krasnogorsk/bmw/x6/54062309.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Красногорске;бензин, 3.0 л;306 л.с., налог;АКПП;4WD;;черный;160 000 км;левый;1 поколение;;;
BMW;5-Series;2011;1770000;https://auto.drom.ru/moscow/bmw/5-series/806667868.html;Характеристики совпадают с ПТС;5 записей о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;184 л.с., налог;АКПП;задний;седан;белый;334 292 км;левый;6 поколение;;;
BMW;1-Series;2011;1100000;https://auto.drom.ru/moscow/bmw/1-series/116374432.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.6 л;116 л.с., налог;АКПП;задний;хэтчбек 5 дв.;белый;172 205 км;левый;1 поколение, рестайлинг;116i AT Base;требуется ремонт или не на ходу, документы с проблемами, автомобиль оформлен на ребенка. При продаже согласие опеки будет, но займет некоторое время- около месяца;
