Бренд;Модель;Год;Цена;URL;ПТС;Владельцы;Розыск;Ограничения;Город;Двигатель;Мощность;Коробка передач;Привод;Пробег;Руль;Поколение;Цвет;Тип кузова;Комплектация;Особые отметки;
BMW;5-Series;2018;2650000;https://auto.drom.ru/moscow/bmw/5-series/52335122.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;206 897 км;левый;7 поколение;черный;седан;;;
BMW;5-Series;2018;3000000;https://auto.drom.ru/moscow/bmw/5-series/52123887.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;217 192 км;левый;7 поколение;черный;седан;;;
BMW;5-Series;2018;2195000;https://auto.drom.ru/moscow/bmw/5-series/52123888.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;202 034 км;левый;7 поколение;черный;седан;;;
BMW;5-Series;2018;2350000;https://auto.drom.ru/moscow/bmw/5-series/52116829.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;197 804 км;левый;7 поколение;черный;седан;;;
BMW;X5;2018;5800000;https://auto.drom.ru/moscow/bmw/x5/106473576.html;;;;;Москве;бензин, 3.0 л;340 л.с., налог;АКПП;4WD;28 352 км;левый;4 поколение;черный;;;;
BMW;X1;2018;2350000;https://auto.drom.ru/gomel/bmw/x1/305077875.html;;;;;Гомеле;бензин, 2.0 л;231 л.с., налог;АКПП;4WD;61 000 км;левый;2 поколение;серебристый;;;;
BMW;X1;2018;2849000;https://auto.drom.ru/tula/bmw/x1/407035622.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Туле;бензин, 2.0 л;192 л.с., налог;автомат;4WD;89 698 км;левый;2 поколение;белый;;;;
BMW;X3;2018;4350000;https://auto.drom.ru/spb/bmw/x3/249251932.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;123 360 км;левый;3 поколение;синий;;;;
BMW;5-Series;2018;3148000;https://auto.drom.ru/moscow/bmw/5-series/53169479.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;задний;92 505 км;левый;7 поколение;черный;универсал;520d AT;;
BMW;X5;2018;3959000;https://auto.drom.ru/moscow/bmw/x5/54099238.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;258 л.с., налог;АКПП;4WD;178 371 км;левый;3 поколение;черный;;;;
BMW;3-Series;2018;2570000;https://auto.drom.ru/spb/bmw/3-series/54092895.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 2.0 л;184 л.с., налог;автомат;4WD;138 000 км;левый;;черный;лифтбек;;;
BMW;5-Series;2018;3300000;https://auto.drom.ru/moscow/bmw/5-series/54090129.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;142 244 км;левый;7 поколение;серый;универсал;520d AT xDrive;;
BMW;X5;2018;4388000;https://auto.drom.ru/moscow/bmw/x5/53811467.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;231 л.с., налог;АКПП;4WD;141 325 км;левый;;черный;;xDrive 25d AT;;
BMW;5-Series;2018;3839000;https://auto.drom.ru/spb/bmw/5-series/53809834.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;320 л.с., налог;АКПП;4WD;206 002 км;левый;7 поколение;серый;универсал;540d AT xDrive;;
BMW;X6;2018;4830000;https://auto.drom.ru/spb/bmw/x6/53004062.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;71 329 км;левый;2 поколение;белый;;;;
BMW;X6;2018;4830000;https://auto.drom.ru/spb/bmw/x6/53004062.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;71 329 км;левый;2 поколение;белый;;;;
BMW;5-Series;2018;2500000;https://auto.drom.ru/moscow/bmw/5-series/52109578.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;215 449 км;левый;7 поколение;черный;седан;;;
BMW;5-Series;2018;2600000;https://auto.drom.ru/moscow/bmw/5-series/52104612.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;201 420 км;левый;7 поколение;черный;седан;;;
BMW;X3;2018;3500000;https://auto.drom.ru/minsk/bmw/x3/50895482.html;;;;;Минске;бензин, 2.0 л;252 л.с., налог;автомат;4WD;80 000 км, без пробега по РФ;левый;3 поколение;синий;;;;
BMW;3-Series;2018;2450000;https://auto.drom.ru/moscow/bmw/3-series/475607380.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;2.0 л;;автомат;;188 024 км;левый;;серый;седан;;;
BMW;X6;2018;4700000;https://auto.drom.ru/moscow/bmw/x6/883603778.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;144 240 км;левый;2 поколение;серый;;;;
BMW;X4;2018;3690000;https://auto.drom.ru/spb/bmw/x4/367201141.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;74 000 км;левый;;белый;;;;
BMW;X5;2018;5200000;https://auto.drom.ru/moscow/bmw/x5/819022373.html;Цвет не совпадает с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;84 919 км;левый;;серебристый;;;;
BMW;4-Series;2018;3326675;https://auto.drom.ru/minsk/bmw/4-series/53414098.html;;;;;Минске;бензин, 3.0 л;326 л.с., налог;автомат;задний;126 928 км;левый;1 поколение, рестайлинг;белый;лифтбек;;;
BMW;2-Series;2018;2615209;https://auto.drom.ru/minsk/bmw/2-series/53402978.html;;;;;Минске;бензин, 2.0 л;252 л.с., налог;автомат;4WD;40 000 км;левый;1 поколение, рестайлинг;черный;купе;;;
BMW;6-Series Gran Turismo;2018;3999000;https://auto.drom.ru/moscow/bmw/6-series_gran_turismo/54087146.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;265 л.с., налог;автомат;4WD;136 726 км;левый;;коричневый;;;;
BMW;X1;2018;2398045;https://auto.drom.ru/minsk/bmw/x1/52968391.html;;;;;Минске;бензин, 2.0 л;231 л.с., налог;робот;4WD;88 000 км;левый;2 поколение;синий;;xDrive25i AT xLine;;
BMW;5-Series;2018;3269000;https://auto.drom.ru/moscow/bmw/5-series/860724345.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;137 650 км;левый;7 поколение;серый;седан;;;
BMW;6-Series Gran Turismo;2018;4178000;https://auto.drom.ru/moscow/bmw/6-series_gran_turismo/54086632.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 3.0 л;249 л.с., налог;АКПП;4WD;60 350 км;левый;1 поколение;черный;;;;
BMW;4-Series;2018;3069000;https://auto.drom.ru/moscow/bmw/4-series/54085709.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;114 292 км;левый;1 поколение, рестайлинг;черный;лифтбек;420d AT xDrive Base;;
BMW;5-Series;2018;3033000;https://auto.drom.ru/kazan/bmw/5-series/53800942.html;Характеристики совпадают с ПТС;4 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;бензин, 2.0 л;184 л.с., налог;автомат;задний;101 526 км;;;черный;седан;;;
BMW;X1;2018;3050000;https://auto.drom.ru/moscow/bmw/x1/53797525.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 1.5 л;140 л.с., налог;робот;передний;51 500 км;левый;2 поколение;синий;;sDrive18i DKG Advantage;;
BMW;X6;2018;5990000;https://auto.drom.ru/tambov/bmw/x6/53769128.html;Характеристики совпадают с ПТС;3 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Тамбове;дизель, 3.0 л;313 л.с., налог;АКПП;4WD;63 500 км;левый;2 поколение;белый;;xDrive 40d AT M Sport;;
BMW;5-Series;2018;2500000;https://auto.drom.ru/moscow/bmw/5-series/53421743.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;219 852 км;левый;7 поколение;черный;седан;;;
BMW;5-Series;2018;2500000;https://auto.drom.ru/moscow/bmw/5-series/53421745.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;208 744 км;левый;7 поколение;черный;седан;;;
BMW;5-Series;2018;4290000;https://auto.drom.ru/moscow/bmw/5-series/53421771.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;249 л.с., налог;АКПП;4WD;63 000 км;левый;7 поколение;черный;седан;;;
BMW;1-Series;2018;1834000;https://auto.drom.ru/spb/bmw/1-series/53419727.html;Характеристики совпадают с ПТС;2 записи о регистрации;Не числится в розыске;Ограничений не обнаружено;Санкт-Петербурге;бензин, 1.5 л;136 л.с., налог;АКПП;задний;90 245 км;правый;2 поколение, рестайлинг;оранжевый;хэтчбек 5 дв.;118i M Sport;;
BMW;X3;2018;3830578;https://auto.drom.ru/kazan/bmw/x3/52535122.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Казани;дизель, 2.0 л;190 л.с., налог;АКПП;4WD;88 500 км;левый;3 поколение;серый;;;;
BMW;5-Series;2018;2350000;https://auto.drom.ru/moscow/bmw/5-series/52093347.html;Характеристики совпадают с ПТС;1 запись о регистрации;Не числится в розыске;Ограничений не обнаружено;Москве;бензин, 2.0 л;184 л.с., налог;АКПП;задний;222 000 км;левый;7 поколение;черный;седан;;;
